"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown00",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/wordtest/2_104960000_5700000000_0.5.csv",,,,"Date:","11 Mar 2016 23:12:28 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
18.533,1.303,78.585,1.470,0.000,0.110,829892.848,3595295.475,0.0,0.0,1326.808,1352.185,1650.907,1935.851,1457734348.639
1.372,0.249,97.756,0.623,0.0,0.0,0.0,65536.0,11760.0,17442.0,0.0,0.0,731.0,1181.0,1457734349.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,4096.0,2767.0,687.0,0.0,0.0,456.0,890.0,1457734350.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1023.0,345.0,0.0,0.0,465.0,919.0,1457734351.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1087.0,345.0,0.0,0.0,475.0,921.0,1457734352.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2703.0,687.0,0.0,0.0,451.0,894.0,1457734353.640
0.0,0.0,99.374,0.626,0.0,0.0,0.0,16384.0,1087.0,345.0,0.0,0.0,463.0,911.0,1457734354.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1151.0,345.0,0.0,0.0,445.0,887.0,1457734355.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2895.0,687.0,0.0,0.0,453.0,893.0,1457734356.640
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1279.0,345.0,0.0,0.0,477.0,929.0,1457734357.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1279.0,345.0,0.0,0.0,464.0,898.0,1457734358.640
2.625,0.125,96.750,0.500,0.0,0.0,0.0,94208.0,3023.0,757.0,0.0,0.0,530.0,1252.0,1457734359.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1343.0,345.0,0.0,0.0,471.0,932.0,1457734360.640
0.0,0.125,99.750,0.0,0.0,0.125,0.0,0.0,1279.0,345.0,0.0,0.0,474.0,922.0,1457734361.640
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2767.0,757.0,0.0,0.0,446.0,881.0,1457734362.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1023.0,345.0,0.0,0.0,452.0,905.0,1457734363.640
0.0,0.0,99.625,0.375,0.0,0.0,0.0,16384.0,1087.0,345.0,0.0,0.0,472.0,930.0,1457734364.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,81920.0,2831.0,687.0,0.0,0.0,476.0,887.0,1457734365.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1087.0,345.0,0.0,0.0,461.0,906.0,1457734366.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1023.0,345.0,0.0,0.0,451.0,894.0,1457734367.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2703.0,687.0,0.0,0.0,474.0,910.0,1457734368.640
0.125,0.125,99.251,0.499,0.0,0.0,0.0,28672.0,1023.0,345.0,0.0,0.0,465.0,922.0,1457734369.640
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,1087.0,345.0,0.0,0.0,471.0,893.0,1457734370.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2959.0,687.0,0.0,0.0,456.0,885.0,1457734371.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1087.0,345.0,0.0,0.0,488.0,962.0,1457734372.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1087.0,345.0,0.0,0.0,446.0,873.0,1457734373.640
0.0,0.0,99.624,0.376,0.0,0.0,0.0,16384.0,2895.0,687.0,0.0,0.0,441.0,879.0,1457734374.640
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,1087.0,345.0,0.0,0.0,461.0,911.0,1457734375.640
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1087.0,345.0,0.0,0.0,465.0,906.0,1457734376.640
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,2831.0,687.0,0.0,0.0,517.0,967.0,1457734377.640
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1151.0,345.0,0.0,0.0,473.0,924.0,1457734378.640
10.889,1.252,87.234,0.626,0.0,0.0,0.0,73728.0,1215.0,345.0,0.0,0.0,1902.0,1745.0,1457734379.640
