timestamp,map,reduce
1457722721,0,0
1457722737,3,0
1457722738,7,0
1457722739,9,0
1457722742,10,0
1457722746,11,0
1457722747,12,0
1457722748,13,0
1457722750,14,0
1457722751,17,0
1457722754,18,0
1457722755,19,0
1457722758,20,0
1457722760,25,0
1457722763,26,0
1457722764,27,0
1457722767,28,0
1457722769,32,0
1457722772,34,0
1457722775,39,0
1457722779,43,0
1457722780,51,0
1457722784,52,0
1457722789,54,0
1457722791,55,0
1457722794,57,0
1457722795,59,0
1457722796,60,0
1457722798,61,0
1457722799,62,0
1457722801,63,0
1457722803,64,0
1457722805,65,0
1457722806,66,0
1457722807,68,0
1457722808,69,0
1457722809,70,0
1457722811,71,0
1457722813,72,0
1457722814,73,0
1457722816,74,0
1457722817,76,0
1457722819,77,0
1457722821,78,0
1457722823,79,0
1457722826,80,0
1457722827,81,0
1457722830,82,0
1457722833,84,0
1457722835,85,0
1457722836,88,0
1457722837,89,0
1457722846,90,0
1457722848,90,2
1457722849,90,10
1457722850,90,17
1457722851,90,22
1457722852,91,29
1457722859,92,29
1457722862,92,30
1457722872,93,30
1457722878,94,30
1457722887,95,30
1457722889,95,31
1457722893,96,31
1457722904,97,31
1457722906,97,32
1457722908,98,32
1457722917,99,32
1457722919,99,33
1457722932,100,33
1457722933,100,36
1457722934,100,40
1457722935,100,52
1457722936,100,71
1457722937,100,84
1457722938,100,91
1457722939,100,96
1457722940,100,97
1457722941,100,98
1457722942,100,99
1457722943,100,100
