timestamp,map,reduce
1457213818,0,0
1457213830,1,0
1457213831,3,0
1457213832,4,0
1457213834,11,0
1457213835,18,0
1457213836,19,0
1457213837,20,0
1457213838,23,0
1457213839,27,0
1457213841,28,0
1457213842,30,0
1457213843,32,0
1457213844,33,0
1457213845,34,0
1457213847,36,0
1457213848,38,0
1457213849,40,0
1457213851,41,0
1457213853,47,0
1457213854,48,0
1457213855,53,0
1457213856,54,0
1457213857,57,0
1457213858,61,0
1457213860,63,0
1457213861,63,2
1457213862,64,2
1457213863,64,5
1457213864,64,8
1457213865,64,12
1457213866,64,15
1457213867,67,15
1457213869,67,16
1457213871,72,16
1457213872,75,16
1457213873,77,16
1457213874,80,16
1457213875,88,17
1457213876,88,18
1457213877,89,18
1457213878,90,20
1457213879,93,21
1457213880,94,22
1457213881,94,23
1457213891,95,24
1457213897,96,24
1457213900,97,24
1457213901,97,26
1457213903,97,29
1457213904,98,31
1457213912,99,32
1457213914,100,32
1457213915,100,36
1457213916,100,48
1457213917,100,81
1457213918,100,92
1457213919,100,93
1457213920,100,95
1457213921,100,98
1457213922,100,100
