timestamp,map,reduce
1457179726,0,0
1457179741,11,0
1457179742,22,0
1457179743,37,0
1457179744,42,0
1457179745,43,0
1457179746,54,0
1457179747,55,0
1457179756,57,0
1457179757,62,0
1457179758,63,0
1457179759,69,2
1457179760,75,2
1457179761,76,3
1457179762,79,7
1457179763,81,9
1457179764,81,14
1457179765,81,20
1457179766,81,25
1457179767,81,27
1457179782,83,27
1457179785,83,28
1457179789,84,28
1457179793,85,28
1457179795,86,28
1457179796,87,28
1457179797,90,28
1457179799,91,28
1457179800,92,29
1457179802,93,29
1457179803,94,29
1457179805,95,29
1457179812,96,29
1457179827,97,29
1457179828,97,30
1457179842,98,30
1457179844,98,31
1457179856,99,31
1457179857,99,32
1457179858,100,32
1457179859,100,37
1457179860,100,46
1457179861,100,62
1457179862,100,81
1457179863,100,100
