replication,blocksize,dimension,start_reduce_percentage,reducers,taskio,start_time,start_reduce,end_time,total_time
2,20480000,4600000000,0.75,12,100,1457367584,1457367731,1457367836,252
4,99840000,5700000000,0.35,12,100,1457770876,1457770974,1457771132,256
4,20480000,4600000000,0.35,12,100,1457383254,1457383359,1457383500,246
2,99840000,400000000,0.5,12,100,1456976644,1456976691,1456976705,61
4,168960000,3800000000,0.75,12,100,1457397550,1457397711,1457397781,231
4,168960000,4600000000,0.75,12,100,1457394833,1457394917,1457395187,354
1,19968000,700000000,0.75,12,100,1457167311,1457167362,1457167415,104
2,104960000,4600000000,0.35,12,100,1457731317,1457731382,1457731534,217
2,33280000,400000000,0.5,12,100,1456973467,1456973501,1456973556,89
3,256000000,1500000000,0.35,12,100,1457232892,1457232979,1457233017,125
4,16640000,500000000,0.05,12,100,1456991562,1456991605,1456991671,109
4,99840000,500000000,0.05,12,100,1456998108,1456998134,1456998158,50
1,168960000,3800000000,0.75,12,100,1457365300,1457365377,1457365384,84
4,168960000,1800000000,0.75,12,100,1457249815,1457250270,1457250356,541
1,99840000,380000000000,0.75,12,100,1458054491,1458060189,1458063376,8885
1,128000000,620000000000,0.5,12,100,1458471056,1458477164,1458487031,15975
3,33280000,200000000,0.05,12,100,1456982317,1456982342,1456982352,35
3,104960000,6200000000,0.75,12,100,1457760104,1457760233,1457760321,217
4,99840000,400000000,0.5,12,100,1456996863,1456996967,1456997029,166
2,20480000,3800000000,0.75,12,100,1457370142,1457370266,1457370287,145
2,168960000,3800000000,0.35,12,100,1457380643,1457380733,1457381125,482
3,99840000,600000000,0.9,12,100,1457107295,1457107491,1457107511,216
4,20480000,5700000000,0.75,12,100,1457385297,1457385479,1457385561,264
1,168960000,1800000000,0.75,12,100,1457223236,1457223309,1457223324,88
3,104960000,5700000000,0.35,12,100,1457755786,1457755885,1457756035,249
1,16640000,200000000,0.5,12,100,1456958149,1456958176,1456958186,37
1,104960000,6200000000,0.75,12,100,1457715641,1457715759,1457715880,239
2,168960000,5700000000,0.75,12,100,1457380017,1457380137,1457380254,237
2,168960000,4600000000,0.35,12,100,1457378200,1457378282,1457378431,231
3,20480000,3600000000,0.35,12,100,1457225369,1457225443,1457225608,239
1,20480000,2700000000,0.75,12,100,1457212403,1457212513,1457212557,154
2,104960000,4600000000,0.5,12,100,1457732520,1457732585,1457732734,214
3,33280000,300000000,0.5,12,100,1456982678,1456982761,1456982828,150
1,19968000,600000000,0.75,12,100,1457166450,1457166497,1457166546,96
1,20480000,1800000000,0.35,12,100,1457212904,1457212952,1457213020,116
1,128000000,4600000000,0.35,12,100,1457716832,1457716903,1457717061,229
3,256000000,1500000000,0.75,12,100,1457233357,1457233478,1457233512,155
2,99840000,5700000000,0.75,12,100,1457726376,1457726486,1457726614,238
1,168960000,4600000000,0.35,12,100,1457361471,1457361549,1457361990,519
2,99840000,500000000,0.5,12,100,1456977608,1456977719,1456977908,300
3,104960000,6200000000,0.5,12,100,1457760823,1457760924,1457761057,234
3,128000000,5700000000,0.35,12,100,1457763359,1457763444,1457763589,230
1,99840000,4600000000,0.75,12,100,1457702799,1457702900,1457703020,221
1,19968000,1500000000,0.75,12,100,1457169194,1457169269,1457169340,146
4,20480000,1500000000,0.35,12,100,1457241385,1457241431,1457241512,127
4,256000000,5700000000,0.75,12,100,1457390434,1457390581,1457390665,231
3,33280000,400000000,0.5,12,100,1456983537,1456983608,1456983704,167
1,20480000,3800000000,0.75,12,100,1457352067,1457352210,1457352313,246
3,99840000,700000000,0.9,12,100,1457107856,1457108018,1457108023,167
1,104960000,380000000000,0.5,12,100,1458246326,1458250269,1458255353,9027
1,76800000,1500000000,0.35,12,100,1457172579,1457172632,1457172691,112
4,104960000,3800000000,0.35,12,100,1457780670,1457780732,1457780862,192
4,104960000,5700000000,0.75,12,100,1457779352,1457779464,1457779592,240
4,99840000,4600000000,0.75,12,100,1457769611,1457769715,1457769822,211
1,128000000,4600000000,0.75,12,100,1457717419,1457717518,1457717641,222
2,168960000,4600000000,0.75,12,100,1457378810,1457378896,1457379009,199
4,99840000,4600000000,0.5,12,100,1457770235,1457770299,1457770453,218
4,128000000,3800000000,0.5,12,100,1457789581,1457789651,1457789794,213
4,99840000,3800000000,0.5,12,100,1457774131,1457774192,1457774329,198
2,128000000,3800000000,0.5,12,100,1457743646,1457743715,1457744001,355
4,168960000,3600000000,0.75,12,100,1457247418,1457247557,1457247624,206
2,20480000,3800000000,0.35,12,100,1457369504,1457369576,1457369759,255
4,99840000,3800000000,0.75,12,100,1457773528,1457773627,1457773714,186
4,99840000,800000000,0.9,12,100,1457113898,1457113956,1457113970,72
4,256000000,3800000000,0.35,12,100,1457391068,1457391173,1457391326,258
4,168960000,3800000000,0.35,12,100,1457396928,1457397010,1457397160,232
3,99840000,800000000,0.9,12,100,1457108384,1457108440,1457108453,69
3,256000000,3600000000,0.35,12,100,1457229404,1457229509,1457229523,119
4,66560000,800000000,0.9,12,100,1457111969,1457112074,1457112121,152
3,128000000,5700000000,0.75,12,100,1457764014,1457764134,1457764234,220
3,76800000,700000000,0.75,12,100,1457182935,1457183130,1457183189,254
3,99840000,5700000000,0.5,12,100,1457749498,1457749603,1457749738,240
3,99840000,4600000000,0.5,12,100,1457747517,1457747581,1457747751,234
4,99840000,5700000000,0.5,12,100,1457772287,1457772390,1457772521,234
4,256000000,1500000000,0.75,12,100,1457246330,1457246423,1457246457,127
3,99840000,6200000000,0.5,12,100,1457753186,1457753311,1457753406,220
1,168960000,3600000000,0.35,12,100,1457219641,1457219720,1457220170,529
3,128000000,3800000000,0.75,12,100,1457765884,1457766014,1457766099,215
1,128000000,6200000000,0.35,12,100,1457722079,1457722151,1457722332,253
1,20480000,4600000000,0.35,12,100,1457348667,1457348754,1457349029,362
3,33280000,200000000,0.5,12,100,1456981945,1456981977,1456981995,50
3,104960000,6200000000,0.35,12,100,1457759410,1457759507,1457759656,246
2,168960000,6200000000,0.35,12,100,1457381953,1457382037,1457382175,222
4,99840000,500000000,0.5,12,100,1456997719,1456997770,1456997784,65
1,128000000,570000000000,0.75,12,100,1458370229,1458378611,1458382745,12516
1,256000000,3600000000,0.35,12,100,1457214775,1457214872,1457214968,193
1,168960000,6200000000,0.75,12,100,1457366341,1457366462,1457366565,224
4,20480000,3800000000,0.35,12,100,1457385925,1457385998,1457386176,251
2,104960000,4600000000,0.75,12,100,1457731916,1457732019,1457732145,229
2,16640000,200000000,0.05,12,100,1456968831,1456968853,1456968861,30
3,33280000,300000000,0.05,12,100,1456983155,1456983183,1456983211,56
4,104960000,6200000000,0.5,12,100,1457783767,1457783869,1457784003,236
4,128000000,3800000000,0.75,12,100,1457788946,1457789017,1457789175,229
2,99840000,210000000,0.05,12,100,1456955245,1456955269,1456955289,44
4,104960000,5700000000,0.5,12,100,1457780035,1457780157,1457780272,237
1,99840000,570000000000,0.35,12,100,1457991031,1457995070,1458007094,16063
1,20480000,4600000000,0.75,12,100,1457349385,1457349531,1457349649,264
4,128000000,5700000000,0.35,12,100,1457786308,1457786395,1457786545,237
4,20480000,5700000000,0.35,12,100,1457384580,1457384680,1457384869,289
2,104960000,5700000000,0.5,12,100,1457734390,1457734495,1457734624,234
4,168960000,4600000000,0.35,12,100,1457394203,1457394287,1457394429,226
1,16640000,400000000,0.05,12,100,1456960090,1456960117,1456960215,125
1,168960000,1800000000,0.35,12,100,1457222402,1457222781,1457222893,491
1,33280000,500000000,0.5,12,100,1456964065,1456964104,1456964213,148
2,99840000,3800000000,0.5,12,100,1457728764,1457728826,1457728966,202
4,128000000,6200000000,0.75,12,100,1457790880,1457791012,1457791088,208
1,20480000,6200000000,0.75,12,100,1457353508,1457353716,1457353869,361
1,20480000,6200000000,0.35,12,100,1457352710,1457352812,1457353086,376
1,104960000,620000000000,0.35,12,100,1458258087,1458262606,1458274887,16800
1,128000000,6200000000,0.75,12,100,1457722721,1457722848,1457722943,222
3,168960000,3600000000,0.35,12,100,1457233882,1457233966,1457234090,208
4,19968000,1500000000,0.75,12,100,1457192261,1457192314,1457192387,126
1,256000000,1500000000,0.75,12,100,1457218775,1457219084,1457219286,511
3,16640000,800000000,0.9,12,100,1457104262,1457104359,1457104380,118
4,104960000,6200000000,0.75,12,100,1457783109,1457783220,1457783344,235
1,33280000,400000000,0.5,12,100,1456963110,1456963175,1456963257,147
3,20480000,1800000000,0.35,12,100,1457227465,1457227502,1457227590,125
4,76800000,600000000,0.35,12,100,1457192725,1457192775,1457192789,64
3,104960000,5700000000,0.75,12,100,1457756446,1457756557,1457756679,233
3,16640000,700000000,0.9,12,100,1457103819,1457103924,1457103928,109
2,128000000,3800000000,0.75,12,100,1457743064,1457743192,1457743276,212
4,20480000,2700000000,0.35,12,100,1457239401,1457239456,1457239537,136
1,99840000,6200000000,0.5,12,100,1457709089,1457709190,1457709320,231
1,148480000,1500000000,0.35,12,100,1457176893,1457176961,1457176983,90
4,99840000,6200000000,0.75,12,100,1457775430,1457775540,1457775666,236
2,99840000,200000000,0.05,12,100,1456975516,1456975559,1456975571,55
1,99840000,400000000,0.05,12,100,1456967025,1456967050,1456967075,50
1,256000000,3600000000,0.75,12,100,1457215335,1457215516,1457216060,725
2,99840000,6200000000,0.75,12,100,1457730069,1457730196,1457730288,219
1,20480000,2700000000,0.35,12,100,1457211822,1457211888,1457212061,239
3,128000000,6200000000,0.35,12,100,1457767069,1457767140,1457767305,236
1,76800000,700000000,0.35,12,100,1457170744,1457170820,1457170906,162
