"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/1_1048576_400000000.csv",,,,"Date:","31 Jan 2016 20:14:28 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
2.598,0.183,97.027,0.182,0.000,0.009,229896.475,551651.852,0.0,0.0,154.287,170.808,254.958,373.488,1454267668.335
0.0,0.0,99.375,0.625,0.0,0.0,0.0,143360.0,5764.0,4072.0,0.0,0.0,182.0,342.0,1454267669.336
0.250,0.0,99.750,0.0,0.0,0.0,0.0,176128.0,203.0,339.0,0.0,0.0,223.0,296.0,1454267670.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,762.0,898.0,0.0,0.0,159.0,295.0,1454267671.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,293.0,339.0,0.0,0.0,154.0,288.0,1454267672.336
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,157.0,293.0,1454267673.336
0.125,0.0,99.500,0.375,0.0,0.0,0.0,45056.0,225.0,898.0,0.0,0.0,163.0,303.0,1454267674.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,155.0,292.0,1454267675.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,161.0,304.0,1454267676.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,225.0,898.0,0.0,0.0,151.0,281.0,1454267677.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,339.0,0.0,0.0,148.0,278.0,1454267678.336
0.0,0.125,99.374,0.501,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,169.0,314.0,1454267679.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,466.0,1237.0,0.0,0.0,160.0,298.0,1454267680.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,339.0,0.0,0.0,152.0,282.0,1454267681.336
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,305.0,339.0,0.0,0.0,160.0,294.0,1454267682.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,417.0,898.0,0.0,0.0,156.0,290.0,1454267683.336
0.125,0.0,99.625,0.250,0.0,0.0,0.0,20480.0,305.0,339.0,0.0,0.0,171.0,310.0,1454267684.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,369.0,339.0,0.0,0.0,165.0,298.0,1454267685.336
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,609.0,898.0,0.0,0.0,155.0,281.0,1454267686.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,284.0,1454267687.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,866.0,678.0,0.0,0.0,168.0,310.0,1454267688.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,353.0,898.0,0.0,0.0,156.0,289.0,1454267689.336
0.125,0.0,99.750,0.125,0.0,0.0,0.0,20480.0,177.0,339.0,0.0,0.0,155.0,296.0,1454267690.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,156.0,296.0,1454267691.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,225.0,898.0,0.0,0.0,161.0,301.0,1454267692.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,153.0,286.0,1454267693.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,157.0,293.0,1454267694.336
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,225.0,898.0,0.0,0.0,169.0,313.0,1454267695.336
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,157.0,297.0,1454267696.336
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,158.0,294.0,1454267697.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,289.0,898.0,0.0,0.0,149.0,285.0,1454267698.336
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,152.0,290.0,1454267699.336
0.125,0.125,99.625,0.125,0.0,0.0,0.0,57344.0,177.0,339.0,0.0,0.0,201.0,340.0,1454267700.336
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,289.0,898.0,0.0,0.0,203.0,358.0,1454267701.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,241.0,339.0,0.0,0.0,153.0,276.0,1454267702.336
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,305.0,339.0,0.0,0.0,160.0,294.0,1454267703.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,10171.0,748771.0,0.0,0.0,939.0,700.0,1454267704.336
0.251,0.126,98.618,1.005,0.0,0.0,0.0,3231744.0,22090.0,2580747.0,0.0,0.0,1466.0,1064.0,1454267705.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,6017956.0,5732347.0,0.0,0.0,691.0,668.0,1454267706.336
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,273.0,1454267707.336
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96172.0,96975.0,0.0,0.0,181.0,314.0,1454267708.336
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,579.0,549.0,0.0,0.0,234.0,341.0,1454267709.336
0.125,0.0,99.625,0.250,0.0,0.0,0.0,122880.0,3433.0,290696.0,0.0,0.0,157.0,287.0,1454267710.336
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,151.0,278.0,1454267711.336
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,339.0,0.0,0.0,166.0,309.0,1454267712.336
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,289.0,898.0,0.0,0.0,152.0,278.0,1454267713.336
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,157.0,280.0,1454267714.336
