"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/1_1048576_500000000_0.5.csv",,,,"Date:","10 Feb 2016 20:54:46 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
13.469,0.824,85.394,0.285,0.000,0.029,290802.941,1131968.722,0.0,0.0,133.645,157.934,850.431,896.697,1455134086.672
0.249,0.0,99.501,0.249,0.0,0.0,0.0,0.0,383.0,404.0,0.0,0.0,141.0,270.0,1455134087.672
0.250,0.0,99.375,0.375,0.0,0.0,0.0,151552.0,191.0,404.0,0.0,0.0,148.0,295.0,1455134088.673
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,496.0,1373.0,0.0,0.0,148.0,273.0,1455134089.673
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,255.0,404.0,0.0,0.0,131.0,254.0,1455134090.673
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,257.0,1455134091.673
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,943.0,1367.0,0.0,0.0,155.0,293.0,1455134092.673
0.125,0.0,99.750,0.125,0.0,0.0,4096.0,53248.0,383.0,404.0,0.0,0.0,164.0,270.0,1455134093.673
0.125,0.0,99.501,0.375,0.0,0.0,0.0,81920.0,255.0,404.0,0.0,0.0,144.0,284.0,1455134094.673
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,574.0,1027.0,0.0,0.0,146.0,272.0,1455134095.672
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,305.0,340.0,0.0,0.0,136.0,268.0,1455134096.673
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,305.0,686.0,0.0,0.0,139.0,270.0,1455134097.673
0.125,0.0,99.875,0.0,0.0,0.0,0.0,12288.0,290.0,899.0,0.0,0.0,151.0,280.0,1455134098.673
0.250,0.0,99.501,0.250,0.0,0.0,0.0,49152.0,177.0,340.0,0.0,0.0,143.0,281.0,1455134099.673
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,340.0,0.0,0.0,161.0,299.0,1455134100.673
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,482.0,899.0,0.0,0.0,159.0,296.0,1455134101.673
