"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_134217728_400000000_0.5_6_100_teratest_ac0d3c0d-9a95-46d5-beac-efb389bacad2.csv",,,,"Date:","08 May 2016 11:42:51 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.525,1.129,81.184,2.063,0.000,0.099,1837470.983,5583045.428,0.0,0.0,2030.978,1868.813,1496.268,1550.273,1462700571.866
0.125,0.0,99.625,0.250,0.0,0.0,0.0,0.0,6032.0,3976.0,0.0,0.0,158.0,303.0,1462700572.867
0.0,0.0,99.249,0.751,0.0,0.0,0.0,200704.0,241.0,333.0,0.0,0.0,165.0,317.0,1462700573.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,271.0,1462700574.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,339.0,1225.0,0.0,0.0,146.0,282.0,1462700575.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,333.0,0.0,0.0,165.0,312.0,1462700576.867
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,279.0,1462700577.867
0.0,0.0,99.750,0.250,0.0,0.0,0.0,1183744.0,595.0,1225.0,0.0,0.0,251.0,288.0,1462700578.867
0.125,0.0,99.375,0.500,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,0.0,162.0,305.0,1462700579.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,787.0,1225.0,0.0,0.0,157.0,294.0,1462700580.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,433.0,333.0,0.0,0.0,147.0,277.0,1462700581.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,369.0,333.0,0.0,0.0,158.0,297.0,1462700582.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,1238.0,0.0,0.0,155.0,292.0,1462700583.867
0.0,0.0,99.875,0.125,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,156.0,297.0,1462700584.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,610.0,666.0,0.0,0.0,156.0,298.0,1462700585.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,482.0,892.0,0.0,0.0,143.0,268.0,1462700586.867
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,333.0,0.0,0.0,146.0,276.0,1462700587.867
