"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_134217728_450000000_0.5_6_100_teratest_e2c854fc-fd44-46dd-8418-691d9a378503.csv",,,,"Date:","08 May 2016 14:48:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.518,1.129,81.191,2.063,0.000,0.099,1837110.358,5589305.818,0.0,0.0,2029.110,1868.813,1496.153,1550.290,1462711696.737
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6020.0,4046.0,0.0,0.0,183.0,323.0,1462711697.738
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,277.0,1462711698.738
0.0,0.125,99.375,0.500,0.0,0.0,0.0,319488.0,915.0,1225.0,0.0,0.0,235.0,314.0,1462711699.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,333.0,0.0,0.0,198.0,345.0,1462711700.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,333.0,0.0,0.0,146.0,280.0,1462711701.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,354.0,892.0,0.0,0.0,154.0,287.0,1462711702.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,286.0,1462711703.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,970752.0,418.0,666.0,0.0,0.0,164.0,306.0,1462711704.738
0.0,0.0,99.625,0.375,0.0,0.0,0.0,69632.0,290.0,892.0,0.0,0.0,168.0,316.0,1462711705.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,333.0,0.0,0.0,142.0,275.0,1462711706.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,280.0,1462711707.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,339.0,1225.0,0.0,0.0,161.0,310.0,1462711708.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,333.0,0.0,0.0,152.0,288.0,1462711709.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,269.0,333.0,0.0,0.0,144.0,277.0,1462711710.738
0.0,0.0,99.624,0.376,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,163.0,305.0,1462711711.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,659.0,1225.0,0.0,0.0,152.0,291.0,1462711712.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,369.0,333.0,0.0,0.0,151.0,282.0,1462711713.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,169.0,296.0,1462711714.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,787.0,1289.0,0.0,0.0,148.0,287.0,1462711715.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,333.0,0.0,0.0,154.0,298.0,1462711716.738
0.0,0.0,99.624,0.376,0.0,0.0,0.0,16384.0,290.0,892.0,0.0,0.0,165.0,307.0,1462711717.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,333.0,0.0,0.0,149.0,288.0,1462711718.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,284.0,1462711719.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1225.0,0.0,0.0,159.0,307.0,1462711720.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,333.0,0.0,0.0,147.0,283.0,1462711721.738
0.0,0.0,99.500,0.500,0.0,0.0,0.0,16384.0,177.0,333.0,0.0,0.0,151.0,287.0,1462711722.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,292.0,1462711723.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,467.0,1225.0,0.0,0.0,166.0,302.0,1462711724.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,333.0,0.0,0.0,152.0,282.0,1462711725.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,482.0,892.0,0.0,0.0,155.0,291.0,1462711726.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,283.0,1462711727.738
0.0,0.0,99.500,0.500,0.0,0.0,0.0,16384.0,610.0,666.0,0.0,0.0,162.0,311.0,1462711728.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,354.0,892.0,0.0,0.0,175.0,306.0,1462711729.738
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,7514.0,364893.0,0.0,0.0,992.0,692.0,1462711730.738
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,430.0,1462711731.738
8.543,1.005,89.824,0.628,0.0,0.0,458752.0,0.0,467048.0,3878002.0,32768.0,0.0,2426.0,2503.0,1462711732.738
19.298,0.752,79.198,0.752,0.0,0.0,57344.0,0.0,26276.0,7060.0,0.0,0.0,1148.0,760.0,1462711733.738
25.815,1.253,70.551,2.256,0.0,0.125,462848.0,540672.0,183.0,439.0,0.0,0.0,1658.0,826.0,1462711734.738
13.659,0.752,84.461,1.128,0.0,0.0,430080.0,274432.0,3466.0,291247.0,0.0,0.0,910.0,880.0,1462711735.738
15.625,0.250,82.250,1.875,0.0,0.0,1445888.0,0.0,1639.0,2776.0,0.0,0.0,1154.0,1110.0,1462711736.738
17.839,0.251,79.523,2.387,0.0,0.0,2703360.0,0.0,14052.0,2057.0,0.0,0.0,1762.0,1591.0,1462711737.738
27.341,0.749,71.036,0.874,0.0,0.0,667648.0,0.0,1088.0,1591.0,0.0,0.0,4678.0,4272.0,1462711738.738
1.502,0.0,97.747,0.751,0.0,0.0,299008.0,131072.0,0.0,0.0,0.0,0.0,377.0,537.0,1462711739.738
15.915,1.629,81.203,1.253,0.0,0.0,565248.0,0.0,4604.0,7181.0,0.0,0.0,4873.0,5727.0,1462711740.738
88.791,7.053,4.030,0.0,0.0,0.126,0.0,0.0,32455.0,80775.0,0.0,0.0,4761.0,4208.0,1462711741.738
95.614,3.509,0.877,0.0,0.0,0.0,0.0,0.0,1158.0,1858.0,0.0,0.0,3153.0,2023.0,1462711742.738
95.620,4.380,0.0,0.0,0.0,0.0,0.0,0.0,1374.0,2005.0,0.0,0.0,3189.0,2345.0,1462711743.738
93.875,4.750,1.250,0.0,0.0,0.125,0.0,339968.0,3930.0,3936.0,0.0,0.0,3247.0,2284.0,1462711744.738
95.375,4.500,0.125,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,32768.0,0.0,3104.0,2737.0,1462711745.738
97.750,2.250,0.0,0.0,0.0,0.0,0.0,0.0,23006.0,20924.0,0.0,0.0,3072.0,5708.0,1462711746.738
96.746,3.004,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2665.0,1820.0,1462711747.738
85.069,11.794,2.886,0.125,0.0,0.125,131072.0,0.0,4935.0,4746.0,0.0,0.0,3360.0,3835.0,1462711748.738
96.871,2.503,0.501,0.0,0.0,0.125,0.0,172032.0,0.0,0.0,0.0,0.0,3099.0,8664.0,1462711749.738
87.125,8.125,3.625,0.0,0.0,1.125,143360.0,0.0,34981.0,12974.0,0.0,0.0,8415.0,15323.0,1462711750.738
95.750,3.750,0.0,0.0,0.0,0.500,0.0,0.0,0.0,0.0,0.0,0.0,3833.0,5604.0,1462711751.738
89.223,0.501,10.150,0.0,0.0,0.125,0.0,0.0,4939.0,4407.0,0.0,0.0,2347.0,1070.0,1462711752.738
87.359,6.008,6.633,0.0,0.0,0.0,0.0,0.0,6798.0,4513.0,0.0,0.0,2303.0,1317.0,1462711753.738
73.717,20.901,5.382,0.0,0.0,0.0,8192.0,65536.0,1350.0,1659.0,0.0,0.0,2566.0,2143.0,1462711754.738
84.461,12.030,3.133,0.0,0.0,0.376,0.0,4096.0,3570.0,2190.0,0.0,0.0,4973.0,11838.0,1462711755.738
