"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_268435456_800000000_0.5_6_100_teratest_14a27630-dd24-47c5-804b-526f5cfd0868.csv",,,,"Date:","05 May 2016 13:00:38 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.853,1.152,80.794,2.101,0.000,0.101,1868017.967,5685759.212,0.0,0.0,2071.673,1907.192,1522.721,1575.901,1462446038.044
0.0,0.0,99.625,0.375,0.0,0.0,0.0,28672.0,356.0,900.0,0.0,0.0,177.0,312.0,1462446039.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,148.0,287.0,1462446040.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,151.0,285.0,1462446041.045
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,281.0,1462446042.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,143.0,273.0,1462446043.045
0.0,0.0,99.625,0.375,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,167.0,320.0,1462446044.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,146.0,276.0,1462446045.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,280.0,1462446046.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,680.0,0.0,0.0,150.0,284.0,1462446047.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,287.0,1462446048.045
0.0,0.0,99.625,0.375,0.0,0.0,4096.0,110592.0,342.0,1240.0,0.0,0.0,197.0,289.0,1462446049.045
0.0,0.0,99.750,0.250,0.0,0.0,0.0,45056.0,114.0,340.0,0.0,0.0,165.0,306.0,1462446050.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,142.0,275.0,1462446051.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,286.0,1462446052.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,680.0,0.0,0.0,151.0,288.0,1462446053.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,186.0,297.0,1462446054.045
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,342.0,1240.0,0.0,0.0,144.0,277.0,1462446055.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,306.0,1462446056.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,142.0,270.0,1462446057.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,275.0,1462446058.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,356.0,680.0,0.0,0.0,173.0,300.0,1462446059.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,149.0,284.0,1462446060.045
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,114.0,340.0,0.0,0.0,148.0,287.0,1462446061.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,297.0,1462446062.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,142.0,274.0,1462446063.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,36864.0,0.0,0.0,0.0,0.0,173.0,303.0,1462446064.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,680.0,0.0,0.0,153.0,287.0,1462446065.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,141.0,273.0,1462446066.045
0.0,0.0,99.499,0.501,0.0,0.0,0.0,20480.0,178.0,340.0,0.0,0.0,148.0,281.0,1462446067.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,162.0,304.0,1462446068.045
0.0,0.0,99.875,0.125,0.0,0.0,0.0,36864.0,292.0,900.0,0.0,0.0,170.0,292.0,1462446069.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,139.0,267.0,1462446070.045
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,152.0,291.0,1462446071.045
0.125,0.250,98.625,1.0,0.0,0.0,7942144.0,0.0,0.0,0.0,0.0,0.0,512.0,382.0,1462446072.045
0.0,0.0,99.625,0.375,0.0,0.0,0.0,28672.0,33826.0,4302077.0,0.0,0.0,878.0,539.0,1462446073.045
0.125,0.125,99.750,0.0,0.0,0.0,0.0,409600.0,0.0,0.0,0.0,0.0,448.0,510.0,1462446074.045
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,448411.0,163012.0,0.0,0.0,247.0,349.0,1462446075.045
6.758,2.253,85.982,5.006,0.0,0.0,1126400.0,0.0,0.0,0.0,716800.0,0.0,2245.0,2620.0,1462446076.045
