"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_268435456_800000000_0.5_6_100_teratest_736e1dfe-9d84-4a0a-827d-08a7779d57df.csv",,,,"Date:","05 May 2016 16:15:52 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.843,1.151,80.802,2.103,0.000,0.101,1871326.607,5690959.941,0.0,0.0,2070.867,1905.370,1522.929,1575.953,1462457752.653
0.125,0.250,88.0,11.625,0.0,0.0,4096.0,92635136.0,111.0,326.0,0.0,0.0,448.0,410.0,1462457753.654
0.0,0.250,90.613,9.136,0.0,0.0,4096.0,104857600.0,287.0,884.0,0.0,0.0,422.0,296.0,1462457754.654
0.125,0.375,87.610,11.890,0.0,0.0,4096.0,107876352.0,175.0,326.0,0.0,0.0,450.0,388.0,1462457755.654
0.0,0.125,85.088,14.787,0.0,0.0,0.0,80769024.0,0.0,0.0,0.0,0.0,403.0,335.0,1462457756.654
0.0,0.250,87.735,12.015,0.0,0.0,8192.0,101711872.0,462.0,1210.0,0.0,0.0,448.0,300.0,1462457757.654
0.0,0.376,88.095,11.529,0.0,0.0,4096.0,106745856.0,175.0,326.0,0.0,0.0,460.0,382.0,1462457758.654
0.125,0.251,87.469,12.155,0.0,0.0,4096.0,103284736.0,367.0,326.0,0.0,0.0,477.0,329.0,1462457759.654
0.125,0.125,87.484,12.265,0.0,0.0,0.0,111992832.0,415.0,884.0,0.0,0.0,577.0,290.0,1462457760.654
0.0,0.0,98.375,1.625,0.0,0.0,0.0,10809344.0,431.0,326.0,0.0,0.0,263.0,299.0,1462457761.654
0.250,0.0,98.127,1.623,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,165.0,291.0,1462457762.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1038.0,1620.0,0.0,0.0,160.0,289.0,1462457763.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,312.0,1462457764.654
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,542.0,652.0,0.0,0.0,158.0,293.0,1462457765.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,287.0,884.0,0.0,0.0,152.0,278.0,1462457766.654
0.375,0.0,99.250,0.375,0.0,0.0,0.0,12288.0,457.0,326.0,0.0,0.0,164.0,299.0,1462457767.654
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,310.0,1462457768.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,654.0,1210.0,0.0,0.0,152.0,282.0,1462457769.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,431.0,326.0,0.0,0.0,145.0,271.0,1462457770.654
0.125,0.0,99.875,0.0,0.0,0.0,0.0,32768.0,175.0,326.0,0.0,0.0,168.0,295.0,1462457771.654
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,505.0,884.0,0.0,0.0,187.0,327.0,1462457772.654
0.0,0.0,99.625,0.375,0.0,0.0,0.0,4096.0,329.0,326.0,0.0,0.0,154.0,290.0,1462457773.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,265.0,326.0,0.0,0.0,157.0,287.0,1462457774.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,441.0,884.0,0.0,0.0,142.0,275.0,1462457775.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,352.0,1462457776.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,350.0,742.0,0.0,0.0,165.0,308.0,1462457777.654
0.0,0.0,99.499,0.501,0.0,0.0,0.0,12288.0,415.0,884.0,0.0,0.0,159.0,292.0,1462457778.654
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,431.0,326.0,0.0,0.0,153.0,283.0,1462457779.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,312.0,1462457780.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,718.0,1210.0,0.0,0.0,155.0,288.0,1462457781.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,303.0,672.0,0.0,0.0,147.0,276.0,1462457782.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,175.0,326.0,0.0,0.0,155.0,291.0,1462457783.654
0.0,0.125,99.501,0.375,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,171.0,313.0,1462457784.654
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,462.0,1210.0,0.0,0.0,151.0,284.0,1462457785.654
0.376,0.0,99.373,0.251,0.0,0.0,4096.0,16384.0,0.0,0.0,0.0,0.0,1075.0,689.0,1462457786.654
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,42215.0,4133975.0,0.0,0.0,524.0,471.0,1462457787.654
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,3573.0,150412.0,0.0,0.0,323.0,423.0,1462457788.654
0.125,0.0,99.375,0.500,0.0,0.0,0.0,81920.0,144250.0,52738.0,0.0,0.0,210.0,333.0,1462457789.654
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1469.0,94792.0,0.0,0.0,149.0,267.0,1462457790.654
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,321.0,536.0,0.0,0.0,221.0,319.0,1462457791.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,290147.0,3313.0,0.0,0.0,161.0,304.0,1462457792.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,543.0,884.0,0.0,0.0,156.0,280.0,1462457793.654
0.0,0.0,99.499,0.501,0.0,0.0,0.0,49152.0,379.0,466.0,0.0,0.0,160.0,283.0,1462457794.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,286.0,1462457795.654
0.0,0.0,100.0,0.0,0.0,0.0,0.0,151552.0,992.0,1420.0,0.0,0.0,212.0,293.0,1462457796.654
11.349,2.144,86.255,0.252,0.0,0.0,86016.0,0.0,367.0,326.0,0.0,0.0,5609.0,5976.0,1462457797.654
58.831,6.353,17.408,17.408,0.0,0.0,1314816.0,0.0,0.0,0.0,0.0,0.0,3506.0,4672.0,1462457798.654
96.250,3.750,0.0,0.0,0.0,0.0,0.0,0.0,34410.0,13003.0,0.0,0.0,2476.0,2851.0,1462457799.654
96.245,3.755,0.0,0.0,0.0,0.0,4096.0,409600.0,303.0,616.0,0.0,0.0,2476.0,2005.0,1462457800.654
94.500,5.375,0.0,0.0,0.0,0.125,77824.0,1880064.0,0.0,0.0,0.0,0.0,2718.0,2022.0,1462457801.654
87.735,6.133,5.757,0.250,0.0,0.125,434176.0,0.0,3784.0,3968.0,0.0,0.0,3216.0,3181.0,1462457802.654
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8743.0,11266.0,0.0,0.0,2675.0,1849.0,1462457803.654
96.750,3.250,0.0,0.0,0.0,0.0,0.0,0.0,175.0,616.0,0.0,0.0,2768.0,7802.0,1462457804.654
97.125,2.750,0.125,0.0,0.0,0.0,0.0,237568.0,287.0,1174.0,0.0,0.0,2551.0,2092.0,1462457805.654
90.476,8.897,0.501,0.125,0.0,0.0,69632.0,0.0,111.0,616.0,0.0,0.0,3070.0,3955.0,1462457806.654
83.750,15.250,0.625,0.125,0.0,0.250,17883136.0,0.0,30132.0,11167.0,0.0,0.0,4306.0,3903.0,1462457807.654
90.250,6.375,1.500,1.125,0.0,0.750,47636480.0,0.0,0.0,0.0,0.0,0.0,7351.0,13143.0,1462457808.654
90.363,7.134,0.626,0.876,0.0,1.001,81141760.0,0.0,6145.0,3259.0,0.0,0.0,7039.0,6977.0,1462457809.654
95.244,3.379,0.125,0.125,0.0,1.126,86298624.0,98304.0,1871.0,4496.0,0.0,0.0,6149.0,2910.0,1462457810.654
