"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_268435456_800000000_0.5_6_100_teratest_d72aa4b4-24a1-4194-a5c9-272f36f7b605.csv",,,,"Date:","05 May 2016 12:14:02 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.856,1.152,80.790,2.101,0.000,0.101,1868464.113,5684901.859,0.0,0.0,2071.954,1907.653,1522.954,1575.958,1462443242.122
0.125,0.0,99.625,0.250,0.0,0.0,0.0,0.0,6633.0,4881.0,0.0,0.0,150.0,306.0,1462443243.123
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,148.0,285.0,1462443244.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,137.0,278.0,1462443245.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,898.0,0.0,0.0,131.0,271.0,1462443246.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,498.0,340.0,0.0,0.0,138.0,280.0,1462443247.123
0.0,0.0,98.999,1.001,0.0,0.0,0.0,245760.0,242.0,340.0,0.0,0.0,160.0,306.0,1462443248.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,262.0,1462443249.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,598.0,1238.0,0.0,0.0,130.0,263.0,1462443250.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,136.0,278.0,1462443251.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,356.0,898.0,0.0,0.0,134.0,277.0,1462443252.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,127.0,264.0,1462443253.123
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,178.0,340.0,0.0,0.0,141.0,286.0,1462443254.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,292.0,898.0,0.0,0.0,124.0,260.0,1462443255.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,132.0,279.0,1462443256.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,138.0,289.0,1462443257.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,898.0,0.0,0.0,125.0,257.0,1462443258.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,131.0,270.0,1462443259.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,178.0,340.0,0.0,0.0,151.0,316.0,1462443260.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,228.0,898.0,0.0,0.0,132.0,270.0,1462443261.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,127.0,258.0,1462443262.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,498.0,340.0,0.0,0.0,139.0,275.0,1462443263.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,612.0,898.0,0.0,0.0,151.0,279.0,1462443264.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,128.0,258.0,1462443265.123
0.0,0.0,99.625,0.375,0.0,0.0,0.0,20480.0,370.0,340.0,0.0,0.0,145.0,282.0,1462443266.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,898.0,0.0,0.0,132.0,271.0,1462443267.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,434.0,340.0,0.0,0.0,141.0,286.0,1462443268.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,284.0,1462443269.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,598.0,1238.0,0.0,0.0,128.0,260.0,1462443270.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,125.0,267.0,1462443271.123
0.0,0.0,99.625,0.375,0.0,0.0,0.0,16384.0,114.0,340.0,0.0,0.0,155.0,321.0,1462443272.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,257.0,1462443273.123
0.0,0.0,99.750,0.250,0.0,0.0,0.0,249856.0,470.0,1238.0,0.0,0.0,214.0,270.0,1462443274.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,138.0,279.0,1462443275.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,271.0,1462443276.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1238.0,0.0,0.0,126.0,266.0,1462443277.123
0.125,0.0,99.625,0.250,0.0,0.0,0.0,32768.0,114.0,340.0,0.0,0.0,144.0,287.0,1462443278.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,898.0,0.0,0.0,123.0,263.0,1462443279.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,134.0,280.0,1462443280.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,138.0,282.0,1462443281.123
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,228.0,898.0,0.0,0.0,132.0,268.0,1462443282.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,122.0,256.0,1462443283.123
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,306.0,340.0,0.0,0.0,158.0,318.0,1462443284.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,420.0,898.0,0.0,0.0,130.0,265.0,1462443285.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,128.0,260.0,1462443286.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,136.0,275.0,1462443287.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,898.0,0.0,0.0,125.0,264.0,1462443288.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,124.0,262.0,1462443289.123
0.125,0.0,99.501,0.375,0.0,0.0,0.0,12288.0,114.0,340.0,0.0,0.0,145.0,287.0,1462443290.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,292.0,898.0,0.0,0.0,128.0,260.0,1462443291.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,132.0,281.0,1462443292.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,135.0,277.0,1462443293.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,292.0,898.0,0.0,0.0,141.0,264.0,1462443294.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,130.0,278.0,1462443295.123
0.0,0.0,99.500,0.500,0.0,0.0,0.0,20480.0,114.0,340.0,0.0,0.0,152.0,305.0,1462443296.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,898.0,0.0,0.0,124.0,260.0,1462443297.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,129.0,265.0,1462443298.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,283.0,1462443299.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,342.0,1238.0,0.0,0.0,141.0,295.0,1462443300.123
0.250,0.0,99.375,0.375,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,182.0,337.0,1462443301.123
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,612.0,680.0,0.0,0.0,147.0,295.0,1462443302.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,548.0,898.0,0.0,0.0,131.0,260.0,1462443303.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,434.0,340.0,0.0,0.0,140.0,283.0,1462443304.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,141.0,273.0,1462443305.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,548.0,898.0,0.0,0.0,135.0,275.0,1462443306.123
0.125,0.0,99.500,0.375,0.0,0.0,0.0,53248.0,370.0,340.0,0.0,0.0,144.0,282.0,1462443307.123
0.375,0.875,98.750,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,222.0,367.0,1462443308.123
0.625,1.625,97.750,0.0,0.0,0.0,0.0,28672.0,292.0,898.0,0.0,0.0,332.0,469.0,1462443309.123
0.0,0.125,99.875,0.0,0.0,0.0,0.0,32768.0,242.0,340.0,0.0,0.0,143.0,270.0,1462443310.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,144.0,282.0,1462443311.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,484.0,898.0,0.0,0.0,138.0,282.0,1462443312.123
0.125,0.0,99.501,0.375,0.0,0.0,0.0,135168.0,178.0,340.0,0.0,0.0,133.0,267.0,1462443313.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,138.0,277.0,1462443314.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,356.0,898.0,0.0,0.0,137.0,274.0,1462443315.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,128.0,274.0,1462443316.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,135.0,276.0,1462443317.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,228.0,898.0,0.0,0.0,124.0,259.0,1462443318.123
0.125,0.0,99.750,0.125,0.0,0.0,0.0,12288.0,178.0,340.0,0.0,0.0,144.0,290.0,1462443319.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,152.0,303.0,1462443320.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,356.0,898.0,0.0,0.0,131.0,268.0,1462443321.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,434.0,340.0,0.0,0.0,133.0,263.0,1462443322.123
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,498.0,340.0,0.0,0.0,145.0,286.0,1462443323.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,676.0,898.0,0.0,0.0,136.0,276.0,1462443324.123
0.125,0.0,99.500,0.375,0.0,0.0,0.0,40960.0,434.0,340.0,0.0,0.0,149.0,272.0,1462443325.123
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,277.0,1462443326.123
