"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_2500000000_0.35_24_100_teratest_9859b7ea-26b9-4182-978f-99bb8c9e0b4c.csv",,,,"Date:","01 May 2016 16:22:29 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.132,1.157,80.694,1.917,0.000,0.100,1763911.695,5521164.608,0.0,0.0,1742.754,1607.137,1513.739,1569.692,1462112549.071
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5925.0,3919.0,0.0,0.0,163.0,320.0,1462112550.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,1246.0,0.0,0.0,136.0,273.0,1462112551.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,146.0,294.0,1462112552.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,147.0,288.0,1462112553.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,137.0,268.0,1462112554.072
0.125,0.0,99.625,0.250,0.0,0.0,0.0,57344.0,242.0,340.0,0.0,0.0,148.0,290.0,1462112555.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,460.0,340.0,0.0,0.0,153.0,306.0,1462112556.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,900.0,0.0,0.0,146.0,284.0,1462112557.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,138.0,274.0,1462112558.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,396.0,686.0,0.0,0.0,149.0,297.0,1462112559.072
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,382.0,900.0,0.0,0.0,152.0,295.0,1462112560.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,138.0,277.0,1462112561.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,141.0,281.0,1462112562.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,900.0,0.0,0.0,131.0,267.0,1462112563.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,147.0,295.0,1462112564.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,422.0,340.0,0.0,0.0,144.0,287.0,1462112565.072
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,228.0,990.0,0.0,0.0,138.0,272.0,1462112566.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,144.0,291.0,1462112567.072
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,160.0,304.0,1462112568.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,146.0,285.0,1462112569.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,135.0,268.0,1462112570.072
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,178.0,340.0,0.0,0.0,153.0,298.0,1462112571.072
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,145.0,284.0,1462112572.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,147.0,289.0,1462112573.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,114.0,340.0,0.0,0.0,162.0,288.0,1462112574.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,1176.0,0.0,0.0,142.0,278.0,1462112575.072
0.0,0.0,99.875,0.125,0.0,0.0,0.0,28672.0,242.0,70.0,0.0,0.0,154.0,301.0,1462112576.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,148.0,292.0,1462112577.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,133.0,269.0,1462112578.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,65536.0,114.0,340.0,0.0,0.0,165.0,278.0,1462112579.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,404.0,0.0,0.0,153.0,301.0,1462112580.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,964.0,0.0,0.0,141.0,273.0,1462112581.072
0.0,0.0,99.625,0.375,0.0,0.0,0.0,20480.0,306.0,750.0,0.0,0.0,148.0,284.0,1462112582.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,142.0,283.0,1462112583.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,36864.0,420.0,900.0,0.0,0.0,158.0,292.0,1462112584.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,145.0,294.0,1462112585.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,146.0,294.0,1462112586.072
0.0,0.0,99.750,0.250,0.0,0.0,0.0,53248.0,228.0,900.0,0.0,0.0,158.0,304.0,1462112587.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,144.0,285.0,1462112588.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,149.0,291.0,1462112589.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,548.0,900.0,0.0,0.0,138.0,270.0,1462112590.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,136.0,270.0,1462112591.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,148.0,296.0,1462112592.072
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,292.0,900.0,0.0,0.0,140.0,278.0,1462112593.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,134.0,270.0,1462112594.072
0.125,0.626,95.620,3.630,0.0,0.0,2084864.0,0.0,242.0,340.0,0.0,0.0,1227.0,467.0,1462112595.072
0.876,1.877,96.996,0.250,0.0,0.0,135168.0,0.0,548.0,900.0,0.0,0.0,409.0,518.0,1462112596.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,149.0,289.0,1462112597.072
0.0,0.0,99.501,0.499,0.0,0.0,0.0,184320.0,306.0,750.0,0.0,0.0,153.0,299.0,1462112598.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,139.0,281.0,1462112599.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,142.0,289.0,1462112600.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,145.0,290.0,1462112601.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,135.0,274.0,1462112602.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,135.0,269.0,1462112603.072
0.0,0.0,99.750,0.250,0.0,0.0,0.0,40960.0,370.0,340.0,0.0,0.0,180.0,322.0,1462112604.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,801.0,900.0,0.0,0.0,142.0,281.0,1462112605.072
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,136.0,275.0,1462112606.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,146.0,286.0,1462112607.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,139.0,277.0,1462112608.072
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,242.0,340.0,0.0,0.0,147.0,289.0,1462112609.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,278.0,1462112610.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,1240.0,0.0,0.0,150.0,300.0,1462112611.072
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,686.0,0.0,0.0,150.0,294.0,1462112612.072
