"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_400000000_0.35_24_150_teratest_bb20f4a1-4a94-44a8-8fbb-066a1b0ac41f.csv",,,,"Date:","09 May 2016 15:46:54 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.450,1.127,81.248,2.076,0.000,0.099,1837027.567,5618402.141,0.0,0.0,2021.735,1872.650,1495.622,1549.802,1462801614.984
0.0,0.0,99.750,0.250,0.0,0.0,32768.0,0.0,5892.0,4042.0,0.0,0.0,168.0,320.0,1462801615.985
0.0,0.0,99.749,0.251,0.0,0.0,0.0,61440.0,226.0,888.0,0.0,0.0,173.0,322.0,1462801616.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,151.0,290.0,1462801617.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,146.0,274.0,1462801618.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,888.0,0.0,0.0,159.0,297.0,1462801619.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,159.0,289.0,1462801620.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,1974272.0,561.0,329.0,0.0,0.0,179.0,287.0,1462801621.985
0.125,0.0,99.750,0.125,0.0,0.0,0.0,36864.0,546.0,888.0,0.0,0.0,171.0,303.0,1462801622.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,561.0,329.0,0.0,0.0,158.0,295.0,1462801623.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,157.0,291.0,1462801624.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,354.0,888.0,0.0,0.0,157.0,294.0,1462801625.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,150.0,283.0,1462801626.985
0.0,0.0,99.625,0.375,0.0,0.0,0.0,16384.0,241.0,329.0,0.0,0.0,159.0,301.0,1462801627.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,290.0,888.0,0.0,0.0,163.0,312.0,1462801628.985
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,329.0,0.0,0.0,150.0,286.0,1462801629.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,329.0,0.0,0.0,148.0,282.0,1462801630.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,354.0,888.0,0.0,0.0,166.0,302.0,1462801631.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,157.0,298.0,1462801632.985
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,177.0,329.0,0.0,0.0,156.0,290.0,1462801633.985
