"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_500000000_0.35_1_100_teratest_8936d456-d179-43e2-9a91-df87946cc19a.csv",,,,"Date:","10 May 2016 16:03:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.403,1.128,81.283,2.086,0.000,0.100,1843553.316,5675027.680,0.0,0.0,2016.874,1869.180,1499.863,1552.986,1462888996.529
0.125,0.0,98.375,1.500,0.0,0.0,0.0,0.0,873.0,807.0,0.0,0.0,170.0,320.0,1462888997.530
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,305.0,675.0,0.0,0.0,159.0,292.0,1462888998.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,354.0,888.0,0.0,0.0,147.0,285.0,1462888999.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,158.0,305.0,1462889000.530
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1884160.0,305.0,329.0,0.0,0.0,179.0,302.0,1462889001.530
0.125,0.0,99.501,0.375,0.0,0.0,0.0,40960.0,290.0,888.0,0.0,0.0,189.0,325.0,1462889002.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,393.0,0.0,0.0,157.0,296.0,1462889003.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,393.0,0.0,0.0,162.0,304.0,1462889004.530
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,226.0,952.0,0.0,0.0,152.0,291.0,1462889005.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,154.0,289.0,1462889006.530
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,160.0,302.0,1462889007.530
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,290.0,888.0,0.0,0.0,176.0,324.0,1462889008.530
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,161.0,293.0,1462889009.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,329.0,0.0,0.0,161.0,299.0,1462889010.530
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,418.0,888.0,0.0,0.0,157.0,297.0,1462889011.530
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,329.0,0.0,0.0,155.0,301.0,1462889012.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,184.0,320.0,1462889013.530
0.125,0.0,99.500,0.375,0.0,0.0,0.0,12288.0,226.0,888.0,0.0,0.0,183.0,327.0,1462889014.530
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,739.0,0.0,0.0,154.0,289.0,1462889015.530
0.125,0.0,99.875,0.0,0.0,0.0,0.0,163840.0,177.0,329.0,0.0,0.0,221.0,324.0,1462889016.530
