"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_900000000_0.35_24_150_teratest_dec1659e-c2cf-43e3-8c48-6bc837f06989.csv",,,,"Date:","03 May 2016 17:31:19 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.969,1.151,80.805,1.975,0.000,0.100,1799135.224,5570670.386,0.0,0.0,1754.106,1704.739,1513.956,1568.138,1462289479.402
0.0,0.0,99.750,0.250,0.0,0.0,0.0,0.0,5891.0,4531.0,0.0,0.0,166.0,337.0,1462289480.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,86016.0,292.0,900.0,0.0,0.0,153.0,292.0,1462289481.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,132.0,264.0,1462289482.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,127.0,254.0,1462289483.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,141.0,285.0,1462289484.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,126.0,264.0,1462289485.403
0.375,0.0,98.876,0.749,0.0,0.0,0.0,339968.0,114.0,340.0,0.0,0.0,272.0,307.0,1462289486.403
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,167.0,294.0,1462289487.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,137.0,281.0,1462289488.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,130.0,278.0,1462289489.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,137.0,285.0,1462289490.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,126.0,253.0,1462289491.403
0.125,0.0,99.500,0.375,0.0,0.0,0.0,12288.0,178.0,340.0,0.0,0.0,150.0,307.0,1462289492.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,137.0,268.0,1462289493.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,128.0,261.0,1462289494.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,279.0,1462289495.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,149.0,307.0,1462289496.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,127.0,254.0,1462289497.403
0.250,0.0,99.249,0.501,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,174.0,321.0,1462289498.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,134.0,267.0,1462289499.403
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,134.0,272.0,1462289500.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,142.0,271.0,1462289501.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,139.0,272.0,1462289502.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,249.0,1462289503.403
0.0,0.0,99.625,0.375,0.0,0.0,0.0,20480.0,292.0,680.0,0.0,0.0,144.0,286.0,1462289504.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,322.0,994.0,0.0,0.0,146.0,293.0,1462289505.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,134.0,265.0,1462289506.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,132.0,265.0,1462289507.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,151.0,304.0,1462289508.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,130.0,263.0,1462289509.403
0.125,0.0,99.500,0.375,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,146.0,283.0,1462289510.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,16384.0,406.0,1368.0,0.0,0.0,186.0,307.0,1462289511.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,404.0,0.0,0.0,140.0,280.0,1462289512.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,254.0,1462289513.403
0.125,0.0,96.996,2.879,0.0,0.0,11956224.0,0.0,534.0,1240.0,0.0,0.0,981.0,534.0,1462289514.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,21169.0,4244786.0,0.0,0.0,401.0,372.0,1462289515.403
0.0,0.125,99.499,0.375,0.0,0.0,0.0,204800.0,1906.0,2785.0,0.0,0.0,396.0,477.0,1462289516.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,406102.0,5831.0,0.0,0.0,164.0,306.0,1462289517.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,143.0,273.0,1462289518.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,324.0,550.0,0.0,0.0,126.0,256.0,1462289519.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,146.0,287.0,1462289520.403
0.0,0.0,99.373,0.627,0.0,0.0,0.0,495616.0,178.0,340.0,0.0,0.0,156.0,270.0,1462289521.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,278.0,1462289522.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,616.0,1450.0,0.0,0.0,136.0,264.0,1462289523.403
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,134.0,279.0,1462289524.403
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,126.0,256.0,1462289525.403
0.375,0.125,97.129,2.372,0.0,0.0,118784.0,86016.0,292.0,900.0,98304.0,0.0,411.0,578.0,1462289526.403
8.313,2.481,81.390,7.816,0.0,0.0,1286144.0,0.0,0.0,0.0,1261568.0,0.0,3325.0,4421.0,1462289527.403
73.929,7.557,17.380,1.134,0.0,0.0,352256.0,0.0,127933.0,14327.0,352256.0,0.0,4324.0,5020.0,1462289528.402
94.632,5.368,0.0,0.0,0.0,0.0,0.0,0.0,356.0,1198.0,0.0,0.0,2347.0,2769.0,1462289529.403
96.245,3.755,0.0,0.0,0.0,0.0,0.0,0.0,452.0,848.0,0.0,0.0,2343.0,1882.0,1462289530.403
94.250,5.750,0.0,0.0,0.0,0.0,0.0,1679360.0,3418.0,2670.0,0.0,0.0,2639.0,2045.0,1462289531.403
93.225,5.521,1.129,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3158.0,2497.0,1462289532.403
97.125,2.875,0.0,0.0,0.0,0.0,0.0,0.0,8962.0,12280.0,0.0,0.0,2837.0,2380.0,1462289533.403
98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2798.0,6642.0,1462289534.403
96.754,2.996,0.250,0.0,0.0,0.0,0.0,0.0,470.0,1836.0,0.0,0.0,2507.0,1890.0,1462289535.403
83.920,14.070,1.131,0.879,0.0,0.0,4132864.0,167936.0,0.0,0.0,0.0,0.0,3232.0,3803.0,1462289536.403
91.635,7.865,0.250,0.0,0.0,0.250,8437760.0,0.0,74414.0,14792.0,0.0,0.0,2926.0,3660.0,1462289537.403
87.453,7.528,1.129,2.886,0.0,1.004,39153664.0,0.0,298.0,1338.0,0.0,0.0,7176.0,17473.0,1462289538.403
81.337,10.467,3.153,3.279,0.0,1.765,58273792.0,0.0,0.0,0.0,0.0,0.0,7997.0,10060.0,1462289539.403
95.506,3.870,0.125,0.125,0.0,0.375,63123456.0,0.0,2402.0,6068.0,0.0,0.0,4013.0,5490.0,1462289540.403
95.625,3.625,0.125,0.0,0.0,0.625,61214720.0,258048.0,365.0,1198.0,0.0,0.0,4007.0,4939.0,1462289541.403
97.497,2.253,0.0,0.0,0.0,0.250,22020096.0,737280.0,2043.0,103207.0,0.0,0.0,3527.0,3991.0,1462289542.403
98.250,1.750,0.0,0.0,0.0,0.0,16384.0,0.0,1133.0,3901.0,0.0,0.0,2342.0,1213.0,1462289543.403
84.230,15.770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2357.0,996.0,1462289544.403
82.625,17.375,0.0,0.0,0.0,0.0,0.0,0.0,863.0,2901.0,0.0,0.0,2451.0,1433.0,1462289545.403
87.765,11.860,0.125,0.0,0.0,0.250,3964928.0,1130496.0,379494.0,14861.0,0.0,0.0,2631.0,1319.0,1462289546.403
81.910,14.698,2.513,0.628,0.0,0.251,36864.0,110911488.0,1720.0,101693.0,0.0,0.0,2759.0,2206.0,1462289547.403
