"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_900000000_0.35_6_100_teratest_aef15020-2234-4f0f-8685-2ba83e20962e.csv",,,,"Date:","03 May 2016 18:29:14 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.972,1.152,80.797,1.980,0.000,0.100,1803006.575,5580216.503,0.0,0.0,1853.975,1707.100,1515.253,1569.305,1462292954.114
0.0,0.0,99.750,0.250,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,136.0,257.0,1462292955.115
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,146.0,293.0,1462292956.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,131.0,260.0,1462292957.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,148.0,284.0,1462292958.115
0.125,0.0,99.750,0.125,0.0,0.0,0.0,143360.0,0.0,0.0,0.0,0.0,160.0,282.0,1462292959.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1164.0,2152.0,0.0,0.0,140.0,285.0,1462292960.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,130.0,259.0,1462292961.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,429.0,900.0,0.0,0.0,151.0,290.0,1462292962.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,312.0,410.0,0.0,0.0,132.0,262.0,1462292963.115
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,248.0,410.0,0.0,0.0,139.0,282.0,1462292964.115
0.125,0.0,99.501,0.375,0.0,0.0,0.0,57344.0,228.0,900.0,0.0,0.0,148.0,281.0,1462292965.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,133.0,268.0,1462292966.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,136.0,267.0,1462292967.115
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,146.0,290.0,1462292968.115
0.0,0.0,99.750,0.250,0.0,0.0,0.0,294912.0,114.0,340.0,0.0,0.0,245.0,276.0,1462292969.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,274.0,1462292970.115
0.0,0.0,99.625,0.375,0.0,0.0,0.0,57344.0,470.0,1240.0,0.0,0.0,147.0,285.0,1462292971.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,139.0,285.0,1462292972.115
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,133.0,270.0,1462292973.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,149.0,289.0,1462292974.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,133.0,263.0,1462292975.115
0.0,0.0,99.625,0.375,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,149.0,300.0,1462292976.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,138.0,273.0,1462292977.115
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,139.0,269.0,1462292978.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,131.0,267.0,1462292979.115
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,144.0,282.0,1462292980.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,131.0,263.0,1462292981.115
0.0,0.125,99.625,0.250,0.0,0.0,0.0,12288.0,114.0,340.0,0.0,0.0,142.0,279.0,1462292982.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,138.0,274.0,1462292983.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,143.0,292.0,1462292984.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,132.0,258.0,1462292985.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,900.0,0.0,0.0,142.0,273.0,1462292986.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,130.0,258.0,1462292987.115
0.0,0.125,99.625,0.250,0.0,0.0,0.0,12288.0,242.0,340.0,0.0,0.0,149.0,296.0,1462292988.115
0.0,0.0,99.123,0.877,0.0,0.0,8081408.0,0.0,0.0,0.0,0.0,0.0,804.0,454.0,1462292989.115
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,17461.0,2746443.0,0.0,0.0,216.0,326.0,1462292990.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,500837.0,101395.0,0.0,0.0,396.0,484.0,1462292991.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,274432.0,0.0,0.0,0.0,0.0,229.0,349.0,1462292992.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5506.0,385165.0,0.0,0.0,178.0,291.0,1462292993.115
0.125,0.0,99.625,0.250,0.0,0.0,0.0,73728.0,242.0,340.0,0.0,0.0,144.0,285.0,1462292994.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,139.0,267.0,1462292995.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,312.0,410.0,0.0,0.0,147.0,290.0,1462292996.115
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,5566.0,480.0,0.0,0.0,258.0,274.0,1462292997.115
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2404.0,900.0,0.0,0.0,146.0,289.0,1462292998.115
0.0,0.125,99.875,0.0,0.0,0.0,0.0,24576.0,248.0,410.0,0.0,0.0,150.0,274.0,1462292999.115
0.125,0.0,99.252,0.623,0.0,0.0,0.0,20480.0,178.0,340.0,0.0,0.0,149.0,304.0,1462293000.115
2.886,0.753,93.350,3.011,0.0,0.0,512000.0,0.0,0.0,0.0,499712.0,0.0,1423.0,1881.0,1462293001.115
9.937,1.509,78.616,9.937,0.0,0.0,946176.0,0.0,34053.0,13202.0,745472.0,0.0,3161.0,4236.0,1462293002.115
71.627,7.062,10.593,10.719,0.0,0.0,1126400.0,0.0,114.0,638.0,57344.0,0.0,3902.0,4568.0,1462293003.115
95.630,4.370,0.0,0.0,0.0,0.0,0.0,1454080.0,368.0,1338.0,0.0,0.0,2641.0,2588.0,1462293004.115
96.621,3.379,0.0,0.0,0.0,0.0,4096.0,0.0,178.0,638.0,0.0,0.0,2357.0,1891.0,1462293005.115
93.625,6.250,0.0,0.0,0.0,0.125,77824.0,475136.0,3418.0,2670.0,0.0,0.0,2369.0,1972.0,1462293006.115
89.850,4.511,4.386,1.253,0.0,0.0,434176.0,0.0,8784.0,11502.0,0.0,0.0,3101.0,2848.0,1462293007.115
97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.0,2867.0,1462293008.115
98.125,1.875,0.0,0.0,0.0,0.0,0.0,0.0,420.0,1276.0,0.0,0.0,2661.0,5902.0,1462293009.115
96.746,3.254,0.0,0.0,0.0,0.0,8192.0,0.0,356.0,1198.0,0.0,0.0,2610.0,2127.0,1462293010.115
75.659,11.041,12.923,0.251,0.0,0.125,6131712.0,147456.0,26453.0,10374.0,0.0,0.0,3021.0,3601.0,1462293011.115
95.238,3.133,0.627,0.627,0.0,0.376,47087616.0,0.0,39939.0,3298.0,0.0,0.0,3964.0,4265.0,1462293012.115
64.339,4.863,14.090,15.835,0.0,0.873,67977216.0,0.0,292.0,1198.0,0.0,0.0,6029.0,15520.0,1462293013.115
41.353,3.759,24.436,29.950,0.0,0.501,58380288.0,0.0,0.0,0.0,0.0,0.0,3853.0,3768.0,1462293014.115
36.432,1.508,32.035,29.523,0.0,0.503,73314304.0,0.0,1912.0,5156.0,0.0,0.0,3109.0,2316.0,1462293015.115
40.276,5.395,21.330,32.873,0.0,0.125,64303104.0,94208.0,292.0,1198.0,0.0,0.0,3118.0,1951.0,1462293016.115
66.499,7.654,11.041,14.304,0.0,0.502,69660672.0,4096.0,1530.0,6885.0,0.0,0.0,4699.0,3742.0,1462293017.115
83.061,4.642,6.524,5.019,0.0,0.753,71544832.0,0.0,204122.0,4630.0,0.0,0.0,4931.0,3988.0,1462293018.118
95.734,3.890,0.125,0.0,0.0,0.251,72540160.0,0.0,0.0,0.0,0.0,0.0,4303.0,2200.0,1462293019.115
92.250,7.500,0.0,0.0,0.0,0.250,25649152.0,647168.0,1778.0,7523.0,0.0,0.0,3393.0,2342.0,1462293020.115
88.346,11.153,0.125,0.125,0.0,0.251,36151296.0,77824.0,0.0,0.0,0.0,0.0,3728.0,3131.0,1462293021.115
84.481,14.894,0.0,0.250,0.0,0.375,47296512.0,0.0,1143.0,3741.0,0.0,0.0,3623.0,3124.0,1462293022.115
83.479,13.892,1.377,1.001,0.0,0.250,66240512.0,0.0,110607.0,139516.0,0.0,0.0,4569.0,4536.0,1462293023.115
81.807,10.163,3.639,3.890,0.0,0.502,70213632.0,0.0,0.0,0.0,0.0,0.0,4453.0,3549.0,1462293024.115
86.483,13.016,0.0,0.250,0.0,0.250,8192.0,113238016.0,142900.0,5879.0,0.0,0.0,2636.0,1069.0,1462293025.115
79.198,13.910,5.013,1.754,0.0,0.125,143360.0,70934528.0,6276.0,12862.0,32768.0,0.0,2888.0,2959.0,1462293026.115
69.134,15.935,12.547,2.258,0.0,0.125,143360.0,38809600.0,114.0,706.0,0.0,0.0,2420.0,1875.0,1462293027.115
75.845,12.516,11.014,0.626,0.0,0.0,249856.0,0.0,6782.0,2952.0,32768.0,0.0,2453.0,2949.0,1462293028.115
84.191,13.676,1.757,0.376,0.0,0.0,163840.0,0.0,3580.0,8460.0,98304.0,0.0,2653.0,3886.0,1462293029.115
84.461,14.912,0.501,0.0,0.0,0.125,20480.0,0.0,0.0,0.0,20480.0,0.0,3321.0,3813.0,1462293030.115
