"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/2_1572864_200000000.csv",,,,"Date:","03 Feb 2016 14:13:24 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
6.500,0.408,92.868,0.208,0.000,0.015,235309.099,696712.550,0.0,0.0,145.274,167.440,452.095,548.819,1454505204.401
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,172.0,326.0,1454505205.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,146.0,278.0,1454505206.402
0.250,0.0,99.500,0.250,0.0,0.0,0.0,69632.0,226.0,898.0,0.0,0.0,164.0,303.0,1454505207.402
0.249,0.0,99.751,0.0,0.0,0.0,0.0,28672.0,113.0,339.0,0.0,0.0,166.0,288.0,1454505208.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,149.0,278.0,1454505209.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,226.0,898.0,0.0,0.0,152.0,281.0,1454505210.402
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,142.0,268.0,1454505211.402
0.125,0.0,99.376,0.499,0.0,0.0,0.0,32768.0,177.0,339.0,0.0,0.0,166.0,312.0,1454505212.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,290.0,898.0,0.0,0.0,160.0,289.0,1454505213.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,305.0,339.0,0.0,0.0,152.0,273.0,1454505214.402
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,369.0,685.0,0.0,0.0,198.0,332.0,1454505215.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,546.0,898.0,0.0,0.0,182.0,317.0,1454505216.402
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,369.0,339.0,0.0,0.0,151.0,269.0,1454505217.402
0.250,0.0,99.375,0.375,0.0,0.0,0.0,77824.0,497.0,339.0,0.0,0.0,194.0,315.0,1454505218.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,546.0,898.0,0.0,0.0,157.0,282.0,1454505219.402
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,305.0,403.0,0.0,0.0,200.0,330.0,1454505220.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,403.0,0.0,0.0,178.0,307.0,1454505221.402
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,290.0,962.0,0.0,0.0,169.0,298.0,1454505222.402
0.125,0.0,99.500,0.375,0.0,0.0,0.0,49152.0,241.0,339.0,0.0,0.0,171.0,302.0,1454505223.402
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,339.0,0.0,0.0,156.0,298.0,1454505224.402
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,290.0,898.0,0.0,0.0,159.0,288.0,1454505225.402
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,305.0,339.0,0.0,0.0,144.0,269.0,1454505226.402
