"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_500000000_0.35_1_100_teratest_72b1248d-56c5-41ac-8c25-ad7900ce63eb.csv",,,,"Date:","10 May 2016 20:11:46 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.402,1.129,81.277,2.092,0.000,0.100,1850983.845,5694955.977,0.0,0.0,2015.085,1869.831,1501.897,1554.448,1462903906.377
0.125,0.0,99.625,0.250,0.0,0.0,0.0,0.0,489.0,603.0,0.0,0.0,181.0,335.0,1462903907.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,324.0,1462903908.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,164.0,297.0,1462903909.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,149.0,277.0,1462903910.378
0.0,0.0,99.750,0.250,0.0,0.0,0.0,90112.0,305.0,329.0,0.0,0.0,162.0,296.0,1462903911.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,482.0,888.0,0.0,0.0,173.0,316.0,1462903912.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,497.0,329.0,0.0,0.0,151.0,278.0,1462903913.378
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,369.0,329.0,0.0,0.0,165.0,293.0,1462903914.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,546.0,1298.0,0.0,0.0,185.0,320.0,1462903915.378
0.0,0.0,99.625,0.375,0.0,0.0,0.0,77824.0,177.0,329.0,0.0,0.0,181.0,331.0,1462903916.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,149.0,287.0,1462903917.378
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,888.0,0.0,0.0,154.0,293.0,1462903918.378
