"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_800000000_0.35_24_150_teratest_4ab2a7ff-9e59-4f3b-93c6-6fe2785a6223.csv",,,,"Date:","04 May 2016 07:53:17 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.982,1.160,80.651,2.105,0.000,0.101,1871089.685,5710166.729,0.0,0.0,1956.128,1906.724,1531.370,1584.396,1462341197.078
0.125,0.0,99.625,0.250,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,151.0,289.0,1462341198.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,131.0,259.0,1462341199.079
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,302.0,1462341200.079
0.125,0.0,99.376,0.499,0.0,0.0,0.0,94208.0,534.0,1240.0,0.0,0.0,138.0,273.0,1462341201.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,137.0,268.0,1462341202.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,612.0,1310.0,0.0,0.0,140.0,272.0,1462341203.079
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,141.0,276.0,1462341204.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,160.0,284.0,1462341205.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,139.0,272.0,1462341206.079
0.0,0.125,99.376,0.499,0.0,0.0,0.0,24576.0,242.0,340.0,0.0,0.0,143.0,278.0,1462341207.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,143.0,287.0,1462341208.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,181.0,324.0,1462341209.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,130.0,260.0,1462341210.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,129.0,264.0,1462341211.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,1246.0,0.0,0.0,145.0,294.0,1462341212.079
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,242.0,340.0,0.0,0.0,138.0,271.0,1462341213.079
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,133.0,271.0,1462341214.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,278.0,1462341215.079
0.250,0.0,99.750,0.0,0.0,0.0,0.0,192512.0,406.0,1240.0,0.0,0.0,210.0,287.0,1462341216.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,134.0,266.0,1462341217.079
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,420.0,900.0,0.0,0.0,149.0,301.0,1462341218.079
0.125,0.0,99.625,0.250,0.0,0.0,0.0,12288.0,242.0,340.0,0.0,0.0,141.0,272.0,1462341219.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,306.0,340.0,0.0,0.0,145.0,299.0,1462341220.079
