"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_900000000_0.35_6_150_teratest_cea88887-49cd-41cc-83f4-ec8eded26f1b.csv",,,,"Date:","04 May 2016 05:49:28 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.980,1.158,80.676,2.084,0.000,0.101,1859021.735,5687010.357,0.0,0.0,1948.437,1862.114,1528.652,1581.810,1462333768.647
0.0,0.0,99.750,0.250,0.0,0.0,0.0,0.0,370.0,964.0,0.0,0.0,159.0,304.0,1462333769.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,192.0,404.0,0.0,0.0,131.0,260.0,1462333770.648
0.250,0.0,99.376,0.375,0.0,0.0,0.0,110592.0,0.0,0.0,0.0,0.0,186.0,321.0,1462333771.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,1304.0,0.0,0.0,144.0,292.0,1462333772.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,384.0,404.0,0.0,0.0,133.0,270.0,1462333773.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,384.0,404.0,0.0,0.0,135.0,269.0,1462333774.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,265.0,1462333775.648
0.0,0.0,99.750,0.250,0.0,0.0,0.0,417792.0,960.0,1432.0,0.0,0.0,254.0,290.0,1462333776.648
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,320.0,404.0,0.0,0.0,163.0,297.0,1462333777.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,290.0,1462333778.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,562.0,1368.0,0.0,0.0,124.0,253.0,1462333779.648
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,192.0,404.0,0.0,0.0,174.0,324.0,1462333780.648
0.125,0.125,99.376,0.375,0.0,0.0,0.0,20480.0,306.0,964.0,0.0,0.0,153.0,301.0,1462333781.648
0.125,0.0,99.625,0.250,0.0,0.0,32768.0,0.0,0.0,0.0,32768.0,0.0,131.0,256.0,1462333782.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,384.0,808.0,0.0,0.0,117.0,261.0,1462333783.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,964.0,0.0,0.0,135.0,275.0,1462333784.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,384.0,404.0,0.0,0.0,113.0,241.0,1462333785.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,526.0,468.0,0.0,0.0,120.0,242.0,1462333786.648
0.0,0.0,99.624,0.376,0.0,0.0,0.0,12288.0,498.0,964.0,0.0,0.0,134.0,274.0,1462333787.647
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,256.0,404.0,0.0,0.0,126.0,276.0,1462333788.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,192.0,404.0,0.0,0.0,113.0,239.0,1462333789.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,251.0,1462333790.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,562.0,1368.0,0.0,0.0,119.0,254.0,1462333791.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,192.0,404.0,0.0,0.0,126.0,276.0,1462333792.648
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,138.0,281.0,1462333793.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,562.0,1368.0,0.0,0.0,119.0,256.0,1462333794.648
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,192.0,404.0,0.0,0.0,112.0,241.0,1462333795.648
