"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_2500000000_0.35_6_100_teratest_527c8288-f5c2-4b72-b079-744f5c54966a.csv",,,,"Date:","01 May 2016 15:54:01 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.135,1.157,80.691,1.917,0.000,0.100,1764178.392,5522001.845,0.0,0.0,1743.017,1607.381,1513.946,1569.887,1462110841.271
0.125,0.0,99.501,0.374,0.0,0.0,4096.0,0.0,242.0,340.0,0.0,0.0,178.0,345.0,1462110842.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,146.0,283.0,1462110843.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,142.0,288.0,1462110844.272
0.0,0.0,99.749,0.251,0.0,0.0,0.0,106496.0,242.0,340.0,0.0,0.0,155.0,296.0,1462110845.272
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,151.0,293.0,1462110846.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,686.0,0.0,0.0,141.0,276.0,1462110847.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,151.0,296.0,1462110848.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,900.0,0.0,0.0,164.0,299.0,1462110849.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,135.0,268.0,1462110850.272
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,242.0,340.0,0.0,0.0,149.0,290.0,1462110851.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,900.0,0.0,0.0,154.0,300.0,1462110852.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,340.0,0.0,0.0,140.0,275.0,1462110853.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,145.0,281.0,1462110854.272
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,150.0,293.0,1462110855.272
0.0,0.0,99.875,0.125,0.0,0.0,0.0,122880.0,178.0,340.0,0.0,0.0,190.0,297.0,1462110856.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,141.0,285.0,1462110857.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,548.0,900.0,0.0,0.0,154.0,295.0,1462110858.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,142.0,284.0,1462110859.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,146.0,303.0,1462110860.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,228.0,900.0,0.0,0.0,166.0,301.0,1462110861.272
0.0,0.0,99.500,0.500,0.0,0.0,0.0,20480.0,242.0,340.0,0.0,0.0,151.0,299.0,1462110862.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,136.0,271.0,1462110863.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,1246.0,0.0,0.0,157.0,304.0,1462110864.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,140.0,286.0,1462110865.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,178.0,340.0,0.0,0.0,141.0,284.0,1462110866.272
0.0,0.0,99.875,0.125,0.0,0.0,0.0,24576.0,356.0,900.0,0.0,0.0,157.0,302.0,1462110867.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,148.0,297.0,1462110868.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,139.0,281.0,1462110869.272
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,228.0,900.0,0.0,0.0,147.0,296.0,1462110870.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,140.0,282.0,1462110871.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,144.0,285.0,1462110872.272
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,292.0,900.0,0.0,0.0,155.0,309.0,1462110873.272
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,139.0,273.0,1462110874.272
