"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_300000000_0.35_6_100_teratest_c5d4b88d-8fec-424c-9a0b-fd3f89063fac.csv",,,,"Date:","09 May 2016 14:27:20 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.446,1.126,81.255,2.074,0.000,0.099,1836502.970,5607836.648,0.0,0.0,2021.776,1869.697,1494.278,1548.593,1462796840.808
0.125,0.0,98.375,1.500,0.0,0.0,0.0,0.0,4179.0,2273.0,0.0,0.0,153.0,298.0,1462796841.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,393.0,0.0,0.0,141.0,272.0,1462796842.809
0.0,0.250,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,288.0,1462796843.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,915.0,1281.0,0.0,0.0,145.0,286.0,1462796844.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,140.0,273.0,1462796845.809
0.0,0.0,99.500,0.500,0.0,0.0,0.0,12288.0,546.0,888.0,0.0,0.0,157.0,298.0,1462796846.809
0.0,0.501,99.499,0.0,0.0,0.0,0.0,1220608.0,177.0,329.0,0.0,0.0,165.0,278.0,1462796847.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,369.0,329.0,0.0,0.0,142.0,285.0,1462796848.809
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,290.0,888.0,0.0,0.0,153.0,288.0,1462796849.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,138.0,271.0,1462796850.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,739.0,0.0,0.0,142.0,278.0,1462796851.809
0.0,0.0,99.750,0.250,0.0,0.0,0.0,61440.0,290.0,888.0,0.0,0.0,170.0,323.0,1462796852.809
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,369.0,329.0,0.0,0.0,143.0,269.0,1462796853.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,138.0,271.0,1462796854.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,354.0,888.0,0.0,0.0,151.0,284.0,1462796855.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,369.0,329.0,0.0,0.0,145.0,289.0,1462796856.809
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,241.0,329.0,0.0,0.0,153.0,294.0,1462796857.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,546.0,888.0,0.0,0.0,148.0,286.0,1462796858.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,675.0,0.0,0.0,144.0,273.0,1462796859.809
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,369.0,329.0,0.0,0.0,142.0,283.0,1462796860.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,300.0,1462796861.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,659.0,1217.0,0.0,0.0,143.0,272.0,1462796862.809
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,433.0,329.0,0.0,0.0,155.0,296.0,1462796863.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,354.0,888.0,0.0,0.0,155.0,305.0,1462796864.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,142.0,276.0,1462796865.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,369.0,329.0,0.0,0.0,139.0,268.0,1462796866.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,168.0,300.0,1462796867.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,139.0,280.0,1462796868.809
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,113.0,329.0,0.0,0.0,148.0,293.0,1462796869.809
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,354.0,888.0,0.0,0.0,160.0,299.0,1462796870.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,113.0,675.0,0.0,0.0,139.0,278.0,1462796871.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,122880.0,113.0,329.0,0.0,0.0,194.0,287.0,1462796872.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,290.0,888.0,0.0,0.0,155.0,289.0,1462796873.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,197.0,327.0,1462796874.809
0.125,0.0,99.373,0.501,0.0,0.0,147456.0,77824.0,365986.0,79558.0,0.0,0.0,542.0,613.0,1462796875.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,120397.0,3759.0,0.0,0.0,164.0,308.0,1462796876.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,565248.0,241.0,329.0,0.0,0.0,198.0,284.0,1462796877.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,141.0,273.0,1462796878.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,293.0,1462796879.809
0.125,0.0,99.501,0.375,0.0,0.0,0.0,110592.0,979.0,1217.0,0.0,0.0,153.0,292.0,1462796880.809
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,142.0,270.0,1462796881.809
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,482.0,888.0,0.0,0.0,154.0,292.0,1462796882.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,433.0,329.0,0.0,0.0,143.0,276.0,1462796883.809
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,675.0,0.0,0.0,144.0,291.0,1462796884.809
23.404,5.382,71.214,0.0,0.0,0.0,0.0,0.0,418.0,888.0,0.0,0.0,4115.0,5609.0,1462796885.809
94.0,6.0,0.0,0.0,0.0,0.0,0.0,434176.0,34815.0,12757.0,0.0,0.0,3373.0,3042.0,1462796886.809
96.750,3.250,0.0,0.0,0.0,0.0,0.0,1601536.0,561.0,619.0,0.0,0.0,2557.0,2584.0,1462796887.809
93.750,6.125,0.0,0.0,0.0,0.125,0.0,0.0,418.0,1178.0,0.0,0.0,2590.0,2263.0,1462796888.809
95.870,3.880,0.250,0.0,0.0,0.0,1310720.0,0.0,3481.0,2587.0,1310720.0,0.0,3166.0,2354.0,1462796889.809
91.740,4.881,3.379,0.0,0.0,0.0,0.0,0.0,9007.0,10923.0,0.0,0.0,3073.0,2330.0,1462796890.809
