"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_400000000_0.35_24_100_teratest_b992d446-a96e-4504-882c-9964d12bf240.csv",,,,"Date:","09 May 2016 11:48:05 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.436,1.124,81.279,2.062,0.000,0.099,1831710.606,5582580.572,0.0,0.0,2018.976,1863.755,1490.834,1545.585,1462787285.228
0.125,0.125,99.502,0.249,0.0,0.0,0.0,0.0,433.0,329.0,0.0,0.0,172.0,321.0,1462787286.229
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,418.0,888.0,0.0,0.0,163.0,301.0,1462787287.229
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,369.0,329.0,0.0,0.0,161.0,306.0,1462787288.229
0.0,0.0,98.250,1.750,0.0,0.0,0.0,2052096.0,241.0,329.0,0.0,0.0,188.0,305.0,1462787289.229
0.0,0.0,99.875,0.125,0.0,0.0,0.0,0.0,290.0,888.0,0.0,0.0,155.0,291.0,1462787290.229
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,433.0,329.0,0.0,0.0,155.0,283.0,1462787291.229
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,155.0,299.0,1462787292.229
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,482.0,888.0,0.0,0.0,161.0,299.0,1462787293.229
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,152.0,280.0,1462787294.229
0.0,0.0,99.625,0.375,0.0,0.0,0.0,65536.0,177.0,329.0,0.0,0.0,157.0,295.0,1462787295.229
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,418.0,888.0,0.0,0.0,171.0,318.0,1462787296.229
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,395.0,329.0,0.0,0.0,155.0,292.0,1462787297.229
