"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_99840000_200000000_0.35_24.csv",,,,"Date:","23 Mar 2016 17:00:12 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.233,1.253,77.232,1.199,0.000,0.083,1561397.141,4327801.181,0.0,0.0,592.964,570.484,1443.539,1506.225,1458748812.022
0.0,0.0,99.501,0.499,0.0,0.0,0.0,0.0,6293.0,4325.0,0.0,0.0,168.0,314.0,1458748813.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,421.0,901.0,0.0,0.0,157.0,294.0,1458748814.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,143.0,269.0,1458748815.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,147456.0,243.0,341.0,0.0,0.0,158.0,295.0,1458748816.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,901.0,0.0,0.0,154.0,286.0,1458748817.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,146.0,279.0,1458748818.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,341.0,0.0,0.0,140.0,265.0,1458748819.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,293.0,901.0,0.0,0.0,161.0,301.0,1458748820.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,140.0,266.0,1458748821.023
0.0,0.125,99.375,0.500,0.0,0.0,0.0,28672.0,115.0,341.0,0.0,0.0,150.0,282.0,1458748822.023
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,293.0,901.0,0.0,0.0,181.0,316.0,1458748823.023
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,179.0,341.0,0.0,0.0,189.0,327.0,1458748824.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,144.0,275.0,1458748825.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,882.0,901.0,0.0,0.0,154.0,288.0,1458748826.023
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,141.0,269.0,1458748827.023
0.0,0.0,99.625,0.375,0.0,0.0,0.0,16384.0,179.0,341.0,0.0,0.0,156.0,298.0,1458748828.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,901.0,0.0,0.0,156.0,291.0,1458748829.023
0.0,0.0,99.875,0.125,0.0,0.0,0.0,270336.0,179.0,341.0,0.0,0.0,234.0,272.0,1458748830.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,141.0,265.0,1458748831.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,357.0,901.0,0.0,0.0,159.0,300.0,1458748832.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,146.0,267.0,1458748833.023
0.0,0.0,99.625,0.375,0.0,0.0,0.0,20480.0,371.0,341.0,0.0,0.0,154.0,294.0,1458748834.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,357.0,901.0,0.0,0.0,153.0,283.0,1458748835.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,145.0,275.0,1458748836.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,143.0,268.0,1458748837.023
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,901.0,0.0,0.0,150.0,288.0,1458748838.023
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,179.0,341.0,0.0,0.0,140.0,264.0,1458748839.023
