"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_16640000_2000000000_0.35_6_150.csv",,,,"Date:","31 Mar 2016 21:44:07 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.683,1.427,75.896,1.876,0.000,0.118,1904755.110,6369436.276,0.0,0.0,1372.747,1277.919,1783.260,1818.729,1459453447.658
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6241.0,5037.0,0.0,0.0,172.0,381.0,1459453448.659
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,136.0,271.0,1459453449.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,357.0,1009.0,0.0,0.0,121.0,248.0,1459453450.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,251.0,1459453451.659
0.125,0.0,99.501,0.375,0.0,0.0,0.0,53248.0,486.0,898.0,0.0,0.0,154.0,310.0,1459453452.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,1009.0,0.0,0.0,124.0,256.0,1459453453.659
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,127.0,251.0,1459453454.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,267.0,1459453455.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1458.0,0.0,0.0,124.0,265.0,1459453456.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,122.0,258.0,1459453457.659
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,243.0,449.0,0.0,0.0,143.0,280.0,1459453458.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,252.0,1459453459.659
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,728.0,1458.0,0.0,0.0,130.0,260.0,1459453460.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,435.0,449.0,0.0,0.0,136.0,276.0,1459453461.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,485.0,1009.0,0.0,0.0,139.0,278.0,1459453462.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,259.0,1459453463.659
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,486.0,898.0,0.0,0.0,141.0,289.0,1459453464.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,357.0,1009.0,0.0,0.0,129.0,271.0,1459453465.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,129.0,259.0,1459453466.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,270.0,1459453467.659
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,472.0,1458.0,0.0,0.0,125.0,266.0,1459453468.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,115.0,449.0,0.0,0.0,128.0,264.0,1459453469.659
0.125,0.0,99.376,0.499,0.0,0.0,0.0,12288.0,179.0,449.0,0.0,0.0,142.0,282.0,1459453470.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,281.0,1459453471.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,344.0,1458.0,0.0,0.0,140.0,271.0,1459453472.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,142.0,289.0,1459453473.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1009.0,0.0,0.0,118.0,247.0,1459453474.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,272.0,1459453475.659
0.125,0.0,99.376,0.499,0.0,0.0,0.0,16384.0,422.0,898.0,0.0,0.0,148.0,301.0,1459453476.658
0.0,0.0,100.0,0.0,0.0,0.0,0.0,57344.0,293.0,1009.0,0.0,0.0,145.0,262.0,1459453477.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,333.0,449.0,0.0,0.0,129.0,257.0,1459453478.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,260.0,1459453479.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,792.0,1458.0,0.0,0.0,136.0,286.0,1459453480.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,371.0,449.0,0.0,0.0,125.0,255.0,1459453481.659
0.125,0.0,99.750,0.125,0.0,0.0,0.0,32768.0,371.0,449.0,0.0,0.0,144.0,278.0,1459453482.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,247.0,1459453483.659
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,818.0,1548.0,0.0,0.0,121.0,258.0,1459453484.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,134.0,277.0,1459453485.658
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,383.0,1099.0,0.0,0.0,124.0,260.0,1459453486.659
0.0,0.0,99.499,0.501,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,126.0,265.0,1459453487.659
0.0,0.125,100.0,-0.125,0.0,0.0,0.0,0.0,320.0,898.0,0.0,0.0,139.0,292.0,1459453488.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1009.0,0.0,0.0,114.0,242.0,1459453489.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,114.0,245.0,1459453490.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,265.0,1459453491.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1458.0,0.0,0.0,125.0,260.0,1459453492.659
0.125,0.0,99.501,0.375,0.0,0.0,0.0,12288.0,243.0,449.0,0.0,0.0,132.0,268.0,1459453493.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,243.0,449.0,0.0,0.0,119.0,251.0,1459453494.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,250.0,1459453495.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1458.0,0.0,0.0,125.0,270.0,1459453496.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,704.0,449.0,0.0,0.0,131.0,271.0,1459453497.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,421.0,1009.0,0.0,0.0,121.0,249.0,1459453498.659
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,130.0,265.0,1459453499.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,678.0,898.0,0.0,0.0,137.0,272.0,1459453500.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,485.0,1009.0,0.0,0.0,161.0,314.0,1459453501.659
0.125,0.0,99.875,0.0,0.0,0.0,0.0,12288.0,563.0,449.0,0.0,0.0,151.0,281.0,1459453502.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,266.0,1459453503.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,664.0,1458.0,0.0,0.0,125.0,259.0,1459453504.659
0.0,0.0,99.625,0.375,0.0,0.0,0.0,49152.0,115.0,449.0,0.0,0.0,130.0,264.0,1459453505.659
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,243.0,449.0,0.0,0.0,127.0,260.0,1459453506.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,133.0,263.0,1459453507.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,664.0,1458.0,0.0,0.0,129.0,269.0,1459453508.659
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,125.0,262.0,1459453509.659
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,293.0,1009.0,0.0,0.0,125.0,256.0,1459453510.659
