"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_16640000_300000000_0.5_24.csv",,,,"Date:","29 Mar 2016 10:19:03 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.629,1.395,76.108,1.756,0.000,0.111,1843833.455,6013553.948,0.0,0.0,1306.413,1217.545,1714.440,1755.137,1459239543.298
0.0,0.125,71.500,28.375,0.0,0.0,1179648.0,8249344.0,0.0,0.0,0.0,0.0,691.0,1217.0,1459239544.299
0.125,0.251,76.942,22.682,0.0,0.0,2351104.0,16248832.0,115.0,341.0,0.0,0.0,1348.0,2345.0,1459239545.299
0.0,0.375,76.155,23.471,0.0,0.0,1712128.0,20443136.0,293.0,901.0,0.0,0.0,1082.0,1859.0,1459239546.299
0.251,0.125,76.441,23.183,0.0,0.0,1875968.0,14024704.0,115.0,341.0,0.0,0.0,1130.0,1968.0,1459239547.299
0.251,0.501,76.566,22.682,0.0,0.0,5480448.0,20307968.0,179.0,341.0,0.0,0.0,2794.0,4817.0,1459239548.299
0.125,0.125,73.342,26.283,0.0,0.125,3047424.0,13541376.0,421.0,901.0,0.0,0.0,1630.0,2714.0,1459239549.299
0.125,0.251,78.822,20.802,0.0,0.0,2453504.0,11919360.0,243.0,341.0,0.0,0.0,1358.0,2372.0,1459239550.299
0.125,0.125,76.846,22.904,0.0,0.0,770048.0,15728640.0,243.0,341.0,0.0,0.0,608.0,1017.0,1459239551.299
0.125,0.250,76.030,23.596,0.0,0.0,589824.0,16248832.0,421.0,901.0,0.0,0.0,536.0,877.0,1459239552.299
0.0,0.125,75.845,24.030,0.0,0.0,647168.0,20701184.0,563.0,341.0,0.0,0.0,539.0,873.0,1459239553.299
0.0,0.0,76.913,23.087,0.0,0.0,651264.0,13631488.0,435.0,341.0,0.0,0.0,517.0,881.0,1459239554.299
0.125,0.125,83.021,16.729,0.0,0.0,581632.0,9867264.0,485.0,901.0,0.0,0.0,514.0,889.0,1459239555.299
0.0,0.125,85.607,14.268,0.0,0.0,462848.0,26992640.0,371.0,341.0,0.0,0.0,476.0,741.0,1459239556.299
0.125,0.125,81.898,17.853,0.0,0.0,434176.0,20971520.0,0.0,0.0,0.0,0.0,469.0,735.0,1459239557.299
0.0,0.125,76.596,23.279,0.0,0.0,458752.0,16642048.0,344.0,1242.0,0.0,0.0,435.0,722.0,1459239558.299
0.0,0.125,76.412,23.463,0.0,0.0,1269760.0,18214912.0,307.0,341.0,0.0,0.0,804.0,1334.0,1459239559.299
0.250,0.250,74.532,24.844,0.0,0.125,3092480.0,12484608.0,0.0,0.0,0.0,0.0,1638.0,2856.0,1459239560.299
0.125,0.125,77.193,22.556,0.0,0.0,1716224.0,22413312.0,472.0,1242.0,0.0,0.0,1004.0,1687.0,1459239561.299
0.0,0.250,76.625,23.125,0.0,0.0,1916928.0,15462400.0,179.0,341.0,0.0,0.0,1080.0,1856.0,1459239562.299
0.125,0.375,76.971,22.528,0.0,0.0,3387392.0,20312064.0,243.0,341.0,0.0,0.0,1772.0,3014.0,1459239563.299
0.125,0.250,75.970,23.529,0.0,0.125,2560000.0,18739200.0,357.0,901.0,0.0,0.0,1423.0,2446.0,1459239564.299
0.125,0.375,82.478,17.021,0.0,0.0,1384448.0,52965376.0,0.0,0.0,0.0,0.0,953.0,1500.0,1459239565.299
0.0,0.250,86.733,13.016,0.0,0.0,4096.0,72998912.0,614.0,682.0,0.0,0.0,392.0,387.0,1459239566.299
0.0,0.125,87.970,11.905,0.0,0.0,4096.0,58839040.0,549.0,901.0,0.0,0.0,331.0,271.0,1459239567.299
0.125,0.250,87.640,11.985,0.0,0.0,0.0,72720384.0,499.0,341.0,0.0,0.0,356.0,262.0,1459239568.299
0.0,0.250,87.860,11.890,0.0,0.0,4096.0,70762496.0,307.0,341.0,0.0,0.0,349.0,319.0,1459239569.299
0.125,0.0,87.594,12.281,0.0,0.0,0.0,57786368.0,421.0,901.0,0.0,0.0,309.0,246.0,1459239570.299
0.0,0.250,85.232,14.518,0.0,0.0,4096.0,63021056.0,115.0,341.0,0.0,0.0,358.0,355.0,1459239571.299
0.0,0.250,87.610,12.140,0.0,0.0,8192.0,77049856.0,179.0,341.0,0.0,0.0,403.0,318.0,1459239572.299
