"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/4_2097152_300000000.csv",,,,"Date:","08 Feb 2016 15:02:03 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
12.507,0.765,86.424,0.276,0.000,0.027,287949.745,1082118.573,0.0,0.0,135.771,164.271,800.084,847.496,1454940123.839
0.249,0.0,99.501,0.249,0.0,0.0,0.0,0.0,113.0,340.0,0.0,0.0,179.0,336.0,1454940124.840
0.125,0.0,99.625,0.250,0.0,0.0,0.0,114688.0,177.0,340.0,0.0,0.0,163.0,304.0,1454940125.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,354.0,899.0,0.0,0.0,155.0,289.0,1454940126.840
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,177.0,340.0,0.0,0.0,149.0,284.0,1454940127.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,686.0,0.0,0.0,163.0,304.0,1454940128.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,354.0,899.0,0.0,0.0,155.0,292.0,1454940129.840
0.125,0.0,99.625,0.250,0.0,0.0,0.0,36864.0,241.0,340.0,0.0,0.0,156.0,298.0,1454940130.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,340.0,0.0,0.0,147.0,280.0,1454940131.840
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,418.0,899.0,0.0,0.0,163.0,306.0,1454940132.840
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,340.0,0.0,0.0,151.0,289.0,1454940133.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,340.0,0.0,0.0,144.0,278.0,1454940134.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,28672.0,290.0,899.0,0.0,0.0,172.0,298.0,1454940135.840
0.249,0.0,99.252,0.499,0.0,0.0,0.0,32768.0,113.0,340.0,0.0,0.0,162.0,308.0,1454940136.840
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,177.0,340.0,0.0,0.0,144.0,278.0,1454940137.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,294.0,1454940138.840
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,339.0,1239.0,0.0,0.0,147.0,281.0,1454940139.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,241.0,340.0,0.0,0.0,167.0,316.0,1454940140.840
0.125,0.0,99.625,0.250,0.0,0.0,0.0,40960.0,226.0,1245.0,0.0,0.0,167.0,310.0,1454940141.840
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,113.0,340.0,0.0,0.0,146.0,280.0,1454940142.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,340.0,0.0,0.0,149.0,282.0,1454940143.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,426.0,899.0,0.0,0.0,168.0,316.0,1454940144.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,4096.0,113.0,340.0,0.0,0.0,152.0,289.0,1454940145.840
0.125,0.0,99.625,0.250,0.0,0.0,0.0,57344.0,113.0,340.0,0.0,0.0,152.0,290.0,1454940146.840
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,380.0,899.0,0.0,0.0,167.0,309.0,1454940147.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,430.0,0.0,0.0,164.0,308.0,1454940148.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,305.0,430.0,0.0,0.0,153.0,285.0,1454940149.840
0.125,0.0,99.875,0.0,0.0,0.0,0.0,155648.0,444.0,899.0,0.0,0.0,218.0,299.0,1454940150.840
0.125,0.0,99.750,0.125,0.0,0.0,0.0,61440.0,305.0,340.0,0.0,0.0,158.0,301.0,1454940151.840
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,241.0,340.0,0.0,0.0,157.0,296.0,1454940152.840
