"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_2500000000_0.35_6_150_teratest_d014754d-7b6d-4acc-be1a-826f6e1d0cb3.csv",,,,"Date:","29 Apr 2016 15:19:50 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.309,1.164,80.574,1.853,0.000,0.100,1726175.449,5496626.021,0.0,0.0,1617.754,1494.654,1517.831,1574.975,1461935990.745
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,5970.0,4092.0,0.0,0.0,160.0,330.0,1461935991.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1009.0,0.0,0.0,138.0,281.0,1461935992.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,449.0,0.0,0.0,135.0,274.0,1461935993.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,449.0,0.0,0.0,123.0,260.0,1461935994.746
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,293.0,1009.0,0.0,0.0,139.0,277.0,1461935995.746
0.0,0.0,99.750,0.250,0.0,0.0,0.0,49152.0,307.0,449.0,0.0,0.0,144.0,288.0,1461935996.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,371.0,795.0,0.0,0.0,132.0,264.0,1461935997.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,485.0,1009.0,0.0,0.0,136.0,275.0,1461935998.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,371.0,449.0,0.0,0.0,130.0,266.0,1461935999.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,132.0,275.0,1461936000.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1009.0,0.0,0.0,134.0,269.0,1461936001.746
0.0,0.0,99.500,0.500,0.0,0.0,0.0,20480.0,115.0,513.0,0.0,0.0,138.0,280.0,1461936002.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,513.0,0.0,0.0,128.0,272.0,1461936003.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1073.0,0.0,0.0,144.0,304.0,1461936004.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,65536.0,243.0,449.0,0.0,0.0,168.0,279.0,1461936005.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,859.0,0.0,0.0,128.0,268.0,1461936006.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,1009.0,0.0,0.0,132.0,271.0,1461936007.746
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,243.0,449.0,0.0,0.0,148.0,308.0,1461936008.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,307.0,449.0,0.0,0.0,130.0,255.0,1461936009.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,485.0,1009.0,0.0,0.0,137.0,286.0,1461936010.746
