"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_3000000000_0.35_24_150_teratest_d2e6aa31-83b8-4130-abd0-8b5cae3cc2b8.csv",,,,"Date:","29 Apr 2016 14:51:17 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.311,1.164,80.571,1.853,0.000,0.100,1726441.727,5497475.849,0.0,0.0,1618.004,1494.885,1518.045,1575.176,1461934277.770
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5958.0,4508.0,0.0,0.0,163.0,335.0,1461934278.771
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1009.0,0.0,0.0,138.0,275.0,1461934279.771
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,130.0,282.0,1461934280.771
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,115.0,449.0,0.0,0.0,123.0,262.0,1461934281.771
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1009.0,0.0,0.0,129.0,266.0,1461934282.771
0.0,0.0,99.501,0.499,0.0,0.0,0.0,53248.0,179.0,449.0,0.0,0.0,146.0,293.0,1461934283.771
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,449.0,0.0,0.0,132.0,275.0,1461934284.771
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,485.0,1009.0,0.0,0.0,132.0,264.0,1461934285.771
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,449.0,0.0,0.0,131.0,276.0,1461934286.771
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,115.0,449.0,0.0,0.0,134.0,274.0,1461934287.771
