"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_3000000000_0.35_6_100_teratest_e67f142e-45dd-4824-90b4-73a678cfb5cd.csv",,,,"Date:","29 Apr 2016 14:56:02 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.311,1.164,80.571,1.853,0.000,0.100,1726397.362,5497334.640,0.0,0.0,1617.962,1494.847,1518.010,1575.143,1461934562.394
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,170.0,319.0,1461934563.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1586.0,0.0,0.0,149.0,306.0,1461934564.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,449.0,0.0,0.0,134.0,274.0,1461934565.395
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,115.0,449.0,0.0,0.0,120.0,259.0,1461934566.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,1009.0,0.0,0.0,129.0,267.0,1461934567.395
0.0,0.125,99.501,0.375,0.0,0.0,0.0,57344.0,179.0,449.0,0.0,0.0,142.0,294.0,1461934568.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,121.0,257.0,1461934569.395
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,421.0,1009.0,0.0,0.0,138.0,279.0,1461934570.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,243.0,449.0,0.0,0.0,116.0,248.0,1461934571.395
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,243.0,449.0,0.0,0.0,133.0,285.0,1461934572.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,1009.0,0.0,0.0,131.0,270.0,1461934573.395
0.0,0.0,99.499,0.501,0.0,0.0,0.0,12288.0,179.0,449.0,0.0,0.0,133.0,277.0,1461934574.395
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,307.0,449.0,0.0,0.0,127.0,253.0,1461934575.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,1009.0,0.0,0.0,140.0,280.0,1461934576.395
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,307.0,859.0,0.0,0.0,124.0,255.0,1461934577.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,307.0,449.0,0.0,0.0,126.0,258.0,1461934578.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,293.0,1009.0,0.0,0.0,137.0,271.0,1461934579.395
0.0,0.125,99.501,0.375,0.0,0.0,0.0,20480.0,243.0,449.0,0.0,0.0,135.0,283.0,1461934580.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,121.0,251.0,1461934581.395
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,357.0,1009.0,0.0,0.0,130.0,261.0,1461934582.395
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,449.0,0.0,0.0,122.0,259.0,1461934583.395
