"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown01",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/_____.csv",,,,"Date:","30 Mar 2016 15:58:46 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.686,1.410,75.972,1.818,0.000,0.114,1870353.561,6173083.110,0.0,0.0,1309.802,1217.477,1746.750,1785.188,1459346326.459
0.250,0.499,87.391,11.735,0.0,0.125,4096.0,120287232.0,6191.0,4325.0,0.0,0.0,544.0,323.0,1459346327.460
0.0,0.125,94.612,5.263,0.0,0.0,0.0,128344064.0,0.0,0.0,0.0,0.0,482.0,310.0,1459346328.460
0.0,0.0,100.0,0.0,0.0,0.0,0.0,7983104.0,472.0,1242.0,0.0,0.0,167.0,275.0,1459346329.460
0.0,0.0,99.625,0.375,0.0,0.0,0.0,94208.0,0.0,0.0,0.0,0.0,165.0,301.0,1459346330.460
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,792.0,1588.0,0.0,0.0,144.0,270.0,1459346331.460
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,435.0,341.0,0.0,0.0,148.0,276.0,1459346332.460
0.0,0.376,94.987,4.637,0.0,0.0,8192.0,61153280.0,435.0,341.0,0.0,0.0,337.0,291.0,1459346333.460
0.0,0.0,100.0,0.0,0.0,0.0,0.0,50577408.0,0.0,0.0,0.0,0.0,294.0,268.0,1459346334.460
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1048.0,1242.0,0.0,0.0,135.0,261.0,1459346335.460
0.0,0.0,99.499,0.501,0.0,0.0,0.0,57344.0,499.0,341.0,0.0,0.0,165.0,308.0,1459346336.460
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,549.0,901.0,0.0,0.0,136.0,255.0,1459346337.460
0.0,0.0,98.248,1.752,0.0,0.0,0.0,16404480.0,0.0,0.0,0.0,0.0,191.0,268.0,1459346338.460
