"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/1_1048576_300000000.csv",,,,"Date:","31 Jan 2016 15:14:48 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.538,0.382,94.991,0.040,0.000,0.048,53376.588,283482.845,0.0,0.0,14.254,42.346,242.629,343.635,1454249688.913
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,5989.0,4878.0,0.0,0.0,193.0,382.0,1454249689.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,172.0,331.0,1454249690.914
0.125,0.125,99.625,0.125,0.0,0.0,0.0,475136.0,0.0,0.0,0.0,0.0,268.0,349.0,1454249691.914
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,402.0,1363.0,0.0,0.0,163.0,319.0,1454249692.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,113.0,403.0,0.0,0.0,167.0,322.0,1454249693.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,310.0,1454249694.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,594.0,1235.0,0.0,0.0,167.0,320.0,1454249695.914
0.0,0.0,99.625,0.375,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,186.0,356.0,1454249696.914
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,786.0,1235.0,0.0,0.0,163.0,312.0,1454249697.914
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,298.0,1454249698.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,930.0,678.0,0.0,0.0,172.0,331.0,1454249699.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,329.0,1454249700.914
0.125,0.125,99.375,0.375,0.0,0.0,0.0,61440.0,786.0,1235.0,0.0,0.0,222.0,391.0,1454249701.914
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,311.0,1454249702.914
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,658.0,1235.0,0.0,0.0,160.0,324.0,1454249703.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,320.0,1454249704.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,290.0,678.0,0.0,0.0,167.0,327.0,1454249705.914
0.0,0.125,99.500,0.375,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,168.0,329.0,1454249706.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,466.0,1235.0,0.0,0.0,156.0,313.0,1454249707.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,329.0,1454249708.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,530.0,1235.0,0.0,0.0,161.0,324.0,1454249709.914
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,305.0,1454249710.914
0.125,0.125,99.500,0.250,0.0,0.0,0.0,20480.0,354.0,678.0,0.0,0.0,177.0,342.0,1454249711.914
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,337.0,1454249712.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,530.0,1235.0,0.0,0.0,156.0,309.0,1454249713.914
0.374,0.125,99.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,353.0,1454249714.917
0.628,0.0,99.372,0.0,0.0,0.0,0.0,0.0,594.0,1235.0,0.0,0.0,184.0,323.0,1454249715.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,172.0,329.0,1454249716.914
0.0,0.125,99.500,0.375,0.0,0.0,0.0,32768.0,674.0,678.0,0.0,0.0,180.0,336.0,1454249717.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,300.0,1454249718.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,914.0,1235.0,0.0,0.0,160.0,307.0,1454249719.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,332.0,1454249720.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,32768.0,786.0,1235.0,0.0,0.0,174.0,318.0,1454249721.914
0.0,0.0,99.750,0.250,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,160.0,317.0,1454249722.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,290.0,678.0,0.0,0.0,185.0,338.0,1454249723.914
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,498.0,1454249724.914
0.375,0.501,99.124,0.0,0.0,0.0,0.0,0.0,1334110.0,1334104.0,0.0,0.0,1324.0,972.0,1454249725.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,4534272.0,0.0,0.0,0.0,0.0,330.0,367.0,1454249726.914
0.125,0.0,99.500,0.375,0.0,0.0,0.0,110592.0,3266370.0,3553929.0,0.0,0.0,170.0,325.0,1454249727.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,319.0,1454249728.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,418.0,678.0,0.0,0.0,167.0,329.0,1454249729.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,305.0,1454249730.914
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,338.0,1235.0,0.0,0.0,157.0,308.0,1454249731.914
0.125,0.0,99.625,0.250,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,179.0,343.0,1454249732.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,338.0,1325.0,0.0,0.0,163.0,316.0,1454249733.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,300.0,1454249734.914
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,674.0,678.0,0.0,0.0,174.0,329.0,1454249735.914
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,321.0,1454249736.914
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,850.0,1235.0,0.0,0.0,170.0,325.0,1454249737.914
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,309.0,1454249738.914
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,978.0,1235.0,0.0,0.0,159.0,309.0,1454249739.914
12.005,3.321,84.547,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,1676.0,1873.0,1454249740.914
