"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_134217728_380000000_0.5_6_100_teratest_d0318f8f-e629-4412-b11a-d52235f19b3a.csv",,,,"Date:","08 May 2016 16:39:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.687,2.197,76.267,0.374,0.000,0.475,521695.436,3523884.978,0.0,0.0,361.316,359.461,966.669,1009.321,1462718356.772
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,6177.0,4923.0,0.0,0.0,181.0,402.0,1462718357.773
0.249,0.125,99.626,0.0,0.0,0.0,0.0,278528.0,111.0,391.0,0.0,0.0,255.0,331.0,1462718358.773
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,313.0,1462718359.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,330.0,1462718360.773
0.125,0.0,99.625,0.250,0.0,0.0,0.0,73728.0,765.0,2075.0,0.0,0.0,185.0,347.0,1462718361.773
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,315.0,1462718362.773
0.0,0.0,100.0,0.0,0.0,0.0,0.0,1712128.0,782.0,1210.0,0.0,0.0,190.0,322.0,1462718363.773
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,349.0,1462718364.773
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,654.0,1210.0,0.0,0.0,166.0,312.0,1462718365.773
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,315.0,1462718366.773
0.125,0.0,99.625,0.250,0.0,0.0,0.0,61440.0,734.0,654.0,0.0,0.0,196.0,352.0,1462718367.773
0.0,0.250,99.750,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,182.0,338.0,1462718368.773
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,910.0,1556.0,0.0,0.0,164.0,307.0,1462718369.773
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,316.0,1462718370.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,782.0,1210.0,0.0,0.0,159.0,305.0,1462718371.773
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,239.0,327.0,0.0,0.0,171.0,330.0,1462718372.773
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,181.0,342.0,1462718373.773
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,398.0,1210.0,0.0,0.0,176.0,325.0,1462718374.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,316.0,1462718375.773
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,353.0,1462718376.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,573.0,1883.0,0.0,0.0,163.0,307.0,1462718377.773
0.125,0.0,99.875,0.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,185.0,331.0,1462718378.773
0.125,0.0,99.625,0.250,0.0,0.0,0.0,28672.0,286.0,654.0,0.0,0.0,184.0,341.0,1462718379.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,223.0,883.0,0.0,0.0,167.0,321.0,1462718380.773
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,323.0,1462718381.773
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,222.0,654.0,0.0,0.0,178.0,338.0,1462718382.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,367.0,1462718383.773
0.0,0.0,99.875,0.125,0.0,0.0,0.0,28672.0,462.0,1556.0,0.0,0.0,194.0,366.0,1462718384.773
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,334.0,1462718385.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,398.0,1210.0,0.0,0.0,159.0,309.0,1462718386.773
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,308.0,1462718387.773
0.125,0.0,99.875,0.0,0.0,0.0,0.0,20480.0,350.0,654.0,0.0,0.0,190.0,349.0,1462718388.773
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,307.0,1462718389.773
0.502,0.125,99.122,0.251,0.0,0.0,0.0,53248.0,25672.0,2721820.0,0.0,0.0,908.0,645.0,1462718390.773
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,395.0,1462718391.773
4.881,1.126,93.742,0.0,0.0,0.250,12288.0,0.0,53146.0,314542.0,0.0,0.0,2101.0,2478.0,1462718392.777
