"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_134217728_480000000_0.5_6_100_teratest_bec06f59-c2b7-48f9-82c7-80894d868cbe.csv",,,,"Date:","08 May 2016 15:32:46 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.690,2.198,76.263,0.374,0.000,0.475,521644.117,3524228.060,0.0,0.0,361.417,359.582,966.698,1009.432,1462714366.051
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,6118.0,4936.0,0.0,0.0,169.0,342.0,1462714367.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,333.0,0.0,0.0,142.0,289.0,1462714368.052
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,320.0,1462714369.052
0.125,0.0,99.750,0.125,0.0,0.0,0.0,77824.0,801.0,1287.0,0.0,0.0,151.0,302.0,1462714370.052
0.0,0.875,99.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,288.0,1462714371.052
1.001,0.0,98.999,0.0,0.0,0.0,0.0,0.0,801.0,1223.0,0.0,0.0,179.0,316.0,1462714372.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,295.0,1462714373.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,802.0,666.0,0.0,0.0,143.0,287.0,1462714374.052
0.125,0.0,99.376,0.499,0.0,0.0,0.0,344064.0,0.0,0.0,0.0,0.0,195.0,350.0,1462714375.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,915.0,1223.0,0.0,0.0,164.0,305.0,1462714376.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,327.0,1462714377.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,915.0,1569.0,0.0,0.0,171.0,320.0,1462714378.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,333.0,0.0,0.0,146.0,290.0,1462714379.052
0.0,0.0,99.750,0.250,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,178.0,330.0,1462714380.052
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,403.0,1223.0,0.0,0.0,177.0,325.0,1462714381.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,300.0,1462714382.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,290.0,666.0,0.0,0.0,139.0,289.0,1462714383.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,304.0,1462714384.052
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,339.0,1569.0,0.0,0.0,153.0,311.0,1462714385.052
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,145.0,296.0,1462714386.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,467.0,1223.0,0.0,0.0,149.0,302.0,1462714387.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,288.0,1462714388.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,546.0,666.0,0.0,0.0,157.0,315.0,1462714389.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,180224.0,0.0,0.0,0.0,0.0,206.0,305.0,1462714390.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,467.0,1223.0,0.0,0.0,140.0,286.0,1462714391.052
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,150.0,297.0,1462714392.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1223.0,0.0,0.0,157.0,320.0,1462714393.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,303.0,1462714394.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,418.0,666.0,0.0,0.0,156.0,304.0,1462714395.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,298.0,1462714396.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,339.0,1223.0,0.0,0.0,158.0,319.0,1462714397.052
0.125,0.0,99.750,0.125,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,157.0,303.0,1462714398.052
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1007.0,1569.0,0.0,0.0,158.0,309.0,1462714399.052
0.250,0.0,99.625,0.125,0.0,0.0,4096.0,16384.0,0.0,0.0,0.0,0.0,522.0,535.0,1462714400.052
0.125,0.125,99.749,0.0,0.0,0.0,0.0,0.0,384713.0,1570191.0,0.0,0.0,459.0,562.0,1462714401.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,306.0,1462714402.052
0.0,0.0,99.750,0.250,0.0,0.0,0.0,86016.0,1113.0,1293.0,0.0,0.0,158.0,302.0,1462714403.052
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,283.0,1462714404.051
