"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_300000000_0.35_24_100_teratest_79e7dded-4426-46b6-85da-6dd0e7f6f385.csv",,,,"Date:","09 May 2016 17:23:20 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.600,2.193,76.360,0.373,0.000,0.474,518904.888,3532003.261,0.0,0.0,359.753,358.171,965.073,1008.396,1462807400.278
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,363.0,1462807401.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6578.0,4860.0,0.0,0.0,144.0,289.0,1462807402.279
0.0,0.0,99.500,0.500,0.0,0.0,0.0,577536.0,0.0,0.0,0.0,0.0,164.0,311.0,1462807403.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,674.0,658.0,0.0,0.0,159.0,323.0,1462807404.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,296.0,1462807405.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,136.0,285.0,1462807406.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,304.0,1462807407.279
0.0,0.0,98.250,1.750,0.0,0.0,0.0,1286144.0,467.0,1217.0,0.0,0.0,169.0,325.0,1462807408.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,289.0,1462807409.279
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,482.0,658.0,0.0,0.0,147.0,301.0,1462807410.279
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,295.0,1462807411.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,149.0,310.0,1462807412.279
0.0,0.0,99.499,0.501,0.0,0.0,0.0,303104.0,0.0,0.0,0.0,0.0,163.0,323.0,1462807413.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,140.0,296.0,1462807414.279
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,307.0,1462807415.279
0.875,0.0,99.125,0.0,0.0,0.0,0.0,0.0,546.0,658.0,0.0,0.0,211.0,348.0,1462807416.279
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,314.0,1462807417.279
0.125,0.0,99.750,0.125,0.0,0.0,0.0,28672.0,595.0,1217.0,0.0,0.0,152.0,310.0,1462807418.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,300.0,1462807419.279
0.751,0.0,99.249,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,213.0,362.0,1462807420.279
1.003,0.0,98.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,368.0,1462807421.279
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,418.0,658.0,0.0,0.0,152.0,307.0,1462807422.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,308.0,1462807423.279
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,595.0,1217.0,0.0,0.0,158.0,327.0,1462807424.279
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,300.0,1462807425.279
