"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_300000000_0.35_6_100_teratest_4a19a731-857d-4b73-83c4-6b9df97f5bae.csv",,,,"Date:","09 May 2016 18:01:49 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.605,2.194,76.353,0.373,0.000,0.475,518805.162,3535584.773,0.0,0.0,359.692,358.102,965.417,1008.772,1462809709.354
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,342.0,1462809710.355
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6194.0,4860.0,0.0,0.0,168.0,317.0,1462809711.355
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,113.0,329.0,0.0,0.0,177.0,341.0,1462809712.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,328.0,1462809713.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,163.0,303.0,1462809714.355
0.375,0.0,99.251,0.375,0.0,0.0,0.0,57344.0,580.0,1546.0,0.0,0.0,178.0,322.0,1462809715.355
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,353.0,1462809716.355
0.750,0.0,99.250,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,226.0,369.0,1462809717.355
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,311.0,1462809718.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,876544.0,354.0,658.0,0.0,0.0,242.0,316.0,1462809719.355
0.626,0.125,99.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,356.0,1462809720.355
0.375,0.125,99.251,0.250,0.0,0.0,0.0,94208.0,339.0,1217.0,0.0,0.0,194.0,339.0,1462809721.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,317.0,1462809722.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,160.0,315.0,1462809723.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,335.0,1462809724.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,658.0,0.0,0.0,169.0,326.0,1462809725.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,298.0,1462809726.355
0.0,0.0,99.750,0.250,0.0,0.0,0.0,81920.0,467.0,1563.0,0.0,0.0,164.0,325.0,1462809727.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,329.0,1462809728.355
0.125,0.0,99.875,0.0,0.0,0.0,0.0,192512.0,531.0,1217.0,0.0,0.0,232.0,308.0,1462809729.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,337.0,1462809730.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,658.0,0.0,0.0,179.0,360.0,1462809731.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,332.0,1462809732.355
0.0,0.125,99.500,0.375,0.0,0.0,0.0,114688.0,467.0,1217.0,0.0,0.0,166.0,318.0,1462809733.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,333.0,1462809734.355
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,595.0,1217.0,0.0,0.0,150.0,301.0,1462809735.355
