"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/2_2097152_300000000.csv",,,,"Date:","04 Feb 2016 07:48:18 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
8.866,0.705,90.281,0.067,0.000,0.080,66780.183,420781.679,0.0,0.0,23.432,51.728,386.985,463.620,1454568498.300
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,5796.0,3918.0,0.0,0.0,180.0,360.0,1454568499.301
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,226.0,898.0,0.0,0.0,166.0,332.0,1454568500.301
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,113.0,339.0,0.0,0.0,150.0,307.0,1454568501.301
0.627,0.0,99.123,0.251,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,0.0,219.0,370.0,1454568502.301
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,320.0,1454568503.301
1.508,0.126,98.367,0.0,0.0,0.0,0.0,0.0,516.0,1922.0,0.0,0.0,259.0,397.0,1454568504.301
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,319.0,1454568505.301
0.623,0.125,99.252,0.0,0.0,0.0,0.0,0.0,595.0,1237.0,0.0,0.0,208.0,359.0,1454568506.301
0.0,0.0,99.750,0.250,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,175.0,330.0,1454568507.301
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,328.0,1454568508.301
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1348.0,1576.0,0.0,0.0,170.0,327.0,1454568509.301
0.125,0.0,99.875,0.0,0.0,0.0,0.0,36864.0,0.0,0.0,0.0,0.0,173.0,311.0,1454568510.301
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,354.0,678.0,0.0,0.0,173.0,328.0,1454568511.301
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,343.0,1454568512.301
0.125,0.0,99.625,0.250,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,170.0,326.0,1454568513.301
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,644.0,1922.0,0.0,0.0,173.0,324.0,1454568514.301
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,226.0,898.0,0.0,0.0,163.0,326.0,1454568515.301
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,339.0,0.0,0.0,169.0,334.0,1454568516.301
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,318.0,1454568517.301
0.0,0.0,99.749,0.251,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,173.0,333.0,1454568518.301
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,708.0,1640.0,0.0,0.0,165.0,317.0,1454568519.301
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,323.0,1454568520.301
