"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_2500000000_0.35_6_100_teratest_9927a285-f424-47c1-9c35-7b1c421bea73.csv",,,,"Date:","01 May 2016 17:35:45 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.391,2.248,75.539,0.340,0.000,0.483,472188.859,3460415.491,0.0,0.0,242.686,301.394,977.193,1018.414,1462116945.328
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6243.0,5169.0,0.0,0.0,170.0,358.0,1462116946.329
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,307.0,1462116947.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,342.0,1330.0,0.0,0.0,166.0,334.0,1462116948.329
0.0,0.0,99.750,0.250,0.0,0.0,0.0,155648.0,114.0,686.0,0.0,0.0,153.0,310.0,1462116949.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,298.0,1462116950.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,308.0,1462116951.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,776.0,1580.0,0.0,0.0,154.0,313.0,1462116952.329
0.125,0.0,99.875,0.0,0.0,0.0,0.0,286720.0,0.0,0.0,0.0,0.0,250.0,314.0,1462116953.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,436.0,1334.0,0.0,0.0,161.0,324.0,1462116954.329
0.125,0.0,99.750,0.125,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,157.0,320.0,1462116955.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,680.0,0.0,0.0,149.0,316.0,1462116956.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,309.0,1462116957.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,342.0,1240.0,0.0,0.0,148.0,296.0,1462116958.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,317.0,1462116959.329
0.0,0.125,99.750,0.125,0.0,0.0,0.0,20480.0,342.0,1240.0,0.0,0.0,173.0,347.0,1462116960.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,292.0,1462116961.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,680.0,0.0,0.0,146.0,297.0,1462116962.329
0.125,0.0,99.875,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,162.0,318.0,1462116963.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,153.0,310.0,1462116964.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,309.0,1462116965.329
0.0,0.0,99.750,0.250,0.0,0.0,0.0,86016.0,854.0,1586.0,0.0,0.0,163.0,319.0,1462116966.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,295.0,1462116967.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,868.0,680.0,0.0,0.0,162.0,321.0,1462116968.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,676.0,900.0,0.0,0.0,161.0,318.0,1462116969.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,310.0,1462116970.329
0.0,0.0,99.875,0.125,0.0,0.0,0.0,28672.0,868.0,680.0,0.0,0.0,156.0,319.0,1462116971.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,337.0,1462116972.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1110.0,1240.0,0.0,0.0,151.0,304.0,1462116973.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,301.0,1462116974.329
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,726.0,1240.0,0.0,0.0,161.0,314.0,1462116975.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,306.0,1462116976.329
0.125,0.0,99.750,0.125,0.0,0.0,0.0,20480.0,356.0,1026.0,0.0,0.0,168.0,338.0,1462116977.329
