"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_3000000000_0.35_6_100_teratest_c24f3c6d-190e-405d-b442-a599c3c8558e.csv",,,,"Date:","01 May 2016 16:50:59 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.391,2.246,75.543,0.337,0.000,0.482,472298.053,3451291.758,0.0,0.0,242.214,301.466,976.334,1017.506,1462114259.360
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6473.0,4819.0,0.0,0.0,181.0,378.0,1462114260.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,139.0,288.0,1462114261.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,297.0,1462114262.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,146.0,299.0,1462114263.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,147.0,310.0,1462114264.361
0.0,0.0,99.875,0.125,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,142.0,302.0,1462114265.361
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,534.0,1240.0,0.0,0.0,145.0,303.0,1462114266.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,291.0,1462114267.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,548.0,680.0,0.0,0.0,143.0,305.0,1462114268.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,61440.0,0.0,0.0,0.0,0.0,172.0,304.0,1462114269.361
0.0,0.0,99.500,0.500,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,149.0,311.0,1462114270.361
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,968.0,1580.0,0.0,0.0,136.0,285.0,1462114271.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,153.0,318.0,1462114272.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,287.0,1462114273.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,356.0,680.0,0.0,0.0,135.0,286.0,1462114274.361
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,151.0,306.0,1462114275.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1586.0,0.0,0.0,141.0,302.0,1462114276.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,139.0,289.0,1462114277.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,145.0,306.0,1462114278.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,291.0,1462114279.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,740.0,680.0,0.0,0.0,144.0,303.0,1462114280.361
0.0,0.0,99.750,0.250,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,147.0,298.0,1462114281.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,790.0,1368.0,0.0,0.0,134.0,281.0,1462114282.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,282.0,1462114283.361
0.0,0.125,99.875,0.0,0.0,0.0,0.0,24576.0,662.0,1650.0,0.0,0.0,160.0,319.0,1462114284.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,284.0,1462114285.361
0.0,0.0,99.750,0.250,0.0,0.0,0.0,32768.0,292.0,680.0,0.0,0.0,136.0,292.0,1462114286.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,284.0,1462114287.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,138.0,295.0,1462114288.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,138.0,288.0,1462114289.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,854.0,1240.0,0.0,0.0,148.0,306.0,1462114290.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,292.0,1462114291.361
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,420.0,680.0,0.0,0.0,156.0,331.0,1462114292.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,306.0,1462114293.361
0.0,0.0,100.0,0.0,0.0,0.0,0.0,20480.0,534.0,1650.0,0.0,0.0,150.0,299.0,1462114294.361
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,284.0,1462114295.361
