"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_3000000000_0.35_6_150_teratest_c60696a5-8341-491c-832e-452c05d60879.csv",,,,"Date:","01 May 2016 16:55:44 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.390,2.246,75.543,0.337,0.000,0.482,472286.105,3451204.612,0.0,0.0,242.211,301.458,976.313,1017.488,1462114544.023
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,384.0,1462114545.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6217.0,5293.0,0.0,0.0,152.0,303.0,1462114546.024
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,295.0,1462114547.024
0.0,0.0,99.750,0.250,0.0,0.0,0.0,57344.0,484.0,680.0,0.0,0.0,144.0,299.0,1462114548.024
0.0,0.125,100.0,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,329.0,1462114549.024
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,470.0,1240.0,0.0,0.0,138.0,289.0,1462114550.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,287.0,1462114551.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,534.0,1240.0,0.0,0.0,144.0,291.0,1462114552.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,299.0,1462114553.024
0.0,0.125,99.501,0.374,0.0,0.0,0.0,28672.0,548.0,680.0,0.0,0.0,145.0,296.0,1462114554.024
0.125,0.0,99.875,0.0,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,0.0,186.0,315.0,1462114555.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,149.0,300.0,1462114556.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,305.0,1462114557.024
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,726.0,1650.0,0.0,0.0,143.0,296.0,1462114558.024
0.0,0.125,99.625,0.250,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,148.0,306.0,1462114559.024
0.0,0.0,100.125,-0.125,0.0,0.0,0.0,0.0,420.0,680.0,0.0,0.0,140.0,295.0,1462114560.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,320.0,1462114561.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,142.0,291.0,1462114562.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,305.0,1462114563.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,752.0,1240.0,0.0,0.0,150.0,313.0,1462114564.024
0.0,0.0,99.875,0.125,0.0,0.0,0.0,73728.0,0.0,0.0,0.0,0.0,156.0,325.0,1462114565.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,680.0,0.0,0.0,130.0,275.0,1462114566.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,143.0,291.0,1462114567.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,285.0,1462114568.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,548.0,1116.0,0.0,0.0,152.0,309.0,1462114569.024
0.0,0.0,99.625,0.375,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,156.0,315.0,1462114570.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,1240.0,0.0,0.0,138.0,290.0,1462114571.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,283.0,1462114572.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,854.0,1240.0,0.0,0.0,164.0,319.0,1462114573.024
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,289.0,1462114574.024
0.0,0.125,99.875,0.0,0.0,0.0,0.0,16384.0,676.0,680.0,0.0,0.0,149.0,297.0,1462114575.024
0.0,0.0,99.499,0.501,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,148.0,306.0,1462114576.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,145.0,302.0,1462114577.024
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,275.0,1462114578.024
