"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_300000000_0.35_24_150_teratest_14fb810e-3717-4631-a46c-fd749a3ae838.csv",,,,"Date:","09 May 2016 20:51:08 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.621,2.199,76.327,0.376,0.000,0.477,520985.104,3559699.359,0.0,0.0,359.601,359.790,967.371,1011.042,1462819868.221
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,332.0,1462819869.222
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6662.0,4866.0,0.0,0.0,152.0,307.0,1462819870.222
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,286.0,1462819871.222
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,930.0,658.0,0.0,0.0,150.0,302.0,1462819872.222
0.0,0.0,99.625,0.375,0.0,0.0,0.0,110592.0,0.0,0.0,0.0,0.0,165.0,314.0,1462819873.222
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,851.0,1217.0,0.0,0.0,141.0,289.0,1462819874.222
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,289.0,1462819875.222
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,156.0,320.0,1462819876.222
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,292.0,1462819877.222
0.0,0.0,98.002,1.998,0.0,0.0,0.0,1814528.0,354.0,658.0,0.0,0.0,167.0,312.0,1462819878.222
