"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_800000000_0.35_24_100_teratest_f2b1fe71-4190-4e1b-8824-a6d3575d8e29.csv",,,,"Date:","04 May 2016 07:08:30 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.309,2.258,75.573,0.372,0.000,0.488,524001.275,3586103.478,0.0,0.0,324.569,325.644,986.729,1026.787,1462338510.434
0.0,0.0,99.875,0.125,0.0,0.0,32768.0,0.0,0.0,0.0,32768.0,0.0,172.0,394.0,1462338511.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,145.0,306.0,1462338512.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,285.0,1462338513.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,135.0,291.0,1462338514.435
0.0,0.0,99.875,0.125,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,137.0,296.0,1462338515.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,808.0,0.0,0.0,146.0,311.0,1462338516.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,311.0,1462338517.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,534.0,1304.0,0.0,0.0,126.0,279.0,1462338518.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,292.0,1462338519.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,726.0,1240.0,0.0,0.0,159.0,329.0,1462338520.435
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,164.0,308.0,1462338521.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,868.0,1090.0,0.0,0.0,139.0,290.0,1462338522.435
2.381,0.0,97.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,313.0,1462338523.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,918.0,1240.0,0.0,0.0,134.0,289.0,1462338524.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,196608.0,0.0,0.0,0.0,0.0,205.0,309.0,1462338525.435
1.125,0.0,98.625,0.250,0.0,0.0,0.0,61440.0,790.0,1240.0,0.0,0.0,179.0,312.0,1462338526.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,287.0,1462338527.435
1.880,0.0,98.120,0.0,0.0,0.0,0.0,0.0,484.0,680.0,0.0,0.0,201.0,321.0,1462338528.435
2.005,0.0,97.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,315.0,1462338529.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,77824.0,342.0,1586.0,0.0,0.0,155.0,270.0,1462338530.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,284.0,1462338531.435
0.125,0.0,99.625,0.250,0.0,0.0,0.0,28672.0,534.0,1240.0,0.0,0.0,154.0,321.0,1462338532.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,283.0,1462338533.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,680.0,0.0,0.0,132.0,298.0,1462338534.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,161.0,303.0,1462338535.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,135.0,288.0,1462338536.435
0.0,0.0,99.625,0.375,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,147.0,323.0,1462338537.435
