"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_900000000_0.35_6_100_teratest_6853b5e3-eaea-4ae6-a27e-44047a21fce2.csv",,,,"Date:","04 May 2016 04:30:23 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.306,2.256,75.580,0.371,0.000,0.487,520621.810,3572784.552,0.0,0.0,321.698,324.159,985.236,1025.709,1462329023.617
1.250,0.125,98.0,0.625,0.0,0.0,0.0,65536.0,114.0,340.0,0.0,0.0,231.0,481.0,1462329024.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,301.0,1462329025.618
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,170.0,343.0,1462329026.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,288.0,1462329027.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,548.0,680.0,0.0,0.0,151.0,307.0,1462329028.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,153.0,303.0,1462329029.618
0.0,0.0,99.501,0.499,0.0,0.0,0.0,12288.0,662.0,1240.0,0.0,0.0,149.0,300.0,1462329030.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,291.0,1462329031.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,318.0,1462329032.618
1.001,0.0,98.999,0.0,0.0,0.0,0.0,0.0,520.0,1580.0,0.0,0.0,170.0,299.0,1462329033.618
3.279,0.0,96.721,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,275.0,389.0,1462329034.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,301.0,1462329035.618
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,726.0,1240.0,0.0,0.0,159.0,315.0,1462329036.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,296.0,1462329037.618
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,299.0,1462329038.618
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,968.0,1580.0,0.0,0.0,147.0,290.0,1462329039.618
