"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_400000000_0.35_24_150_teratest_104755ef-c973-482e-bc80-95469e43dc39.csv",,,,"Date:","09 May 2016 12:13:51 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.576,2.187,76.393,0.372,0.000,0.472,518740.042,3510584.772,0.0,0.0,359.434,357.648,962.830,1006.136,1462788831.387
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6194.0,4860.0,0.0,0.0,182.0,361.0,1462788832.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,315.0,1462788833.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,146.0,291.0,1462788834.388
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,299.0,1462788835.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,226.0,658.0,0.0,0.0,167.0,335.0,1462788836.388
0.125,0.0,99.625,0.250,0.0,0.0,0.0,102400.0,0.0,0.0,0.0,0.0,158.0,306.0,1462788837.388
0.0,0.125,99.875,0.0,0.0,0.0,0.0,1822720.0,403.0,1217.0,0.0,0.0,171.0,300.0,1462788838.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,301.0,1462788839.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,160.0,319.0,1462788840.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,286.0,1462788841.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,546.0,658.0,0.0,0.0,161.0,308.0,1462788842.388
0.125,0.0,99.625,0.250,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,162.0,312.0,1462788843.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1043.0,1217.0,0.0,0.0,156.0,314.0,1462788844.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,309.0,1462788845.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,787.0,1217.0,0.0,0.0,146.0,291.0,1462788846.388
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,302.0,1462788847.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,610.0,658.0,0.0,0.0,165.0,318.0,1462788848.388
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,160.0,310.0,1462788849.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,150.0,303.0,1462788850.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,307.0,1462788851.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,159.0,312.0,1462788852.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,299.0,1462788853.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,546.0,658.0,0.0,0.0,152.0,304.0,1462788854.388
0.125,0.125,99.253,0.498,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,157.0,313.0,1462788855.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,154.0,311.0,1462788856.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,303.0,1462788857.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,149.0,296.0,1462788858.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,290.0,1462788859.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,290.0,658.0,0.0,0.0,165.0,322.0,1462788860.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,157.0,308.0,1462788861.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,659.0,1217.0,0.0,0.0,151.0,294.0,1462788862.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,139264.0,0.0,0.0,0.0,0.0,230.0,326.0,1462788863.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1171.0,1217.0,0.0,0.0,152.0,304.0,1462788864.388
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,510.0,1462788865.388
0.375,0.125,99.500,0.0,0.0,0.0,0.0,0.0,18611.0,3003196.0,0.0,0.0,501.0,619.0,1462788866.388
0.250,0.0,99.499,0.250,0.0,0.0,0.0,81920.0,0.0,0.0,0.0,0.0,188.0,331.0,1462788867.388
0.125,0.125,99.750,0.0,0.0,0.0,0.0,32768.0,135131.0,102966.0,0.0,0.0,172.0,319.0,1462788868.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,303.0,1462788869.388
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,290516.0,4275.0,0.0,0.0,221.0,342.0,1462788870.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,300.0,1462788871.388
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,290.0,658.0,0.0,0.0,160.0,321.0,1462788872.388
0.0,0.0,99.750,0.250,0.0,0.0,0.0,577536.0,0.0,0.0,0.0,0.0,216.0,320.0,1462788873.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,479.0,1357.0,0.0,0.0,147.0,296.0,1462788874.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,305.0,1462788875.388
10.526,3.885,85.213,0.251,0.0,0.125,8192.0,0.0,531.0,1217.0,0.0,0.0,1369.0,1484.0,1462788876.392
32.480,6.604,60.377,0.0,0.0,0.539,0.0,0.0,29677.0,10915.0,0.0,0.0,2450.0,2247.0,1462788877.388
37.154,5.534,56.785,0.132,0.0,0.395,0.0,704512.0,99065.0,4038.0,0.0,0.0,2610.0,2270.0,1462788878.390
60.516,15.061,23.474,0.407,0.0,0.543,81920.0,0.0,354.0,1178.0,0.0,0.0,2783.0,3135.0,1462788879.399
92.613,7.250,0.0,0.0,0.0,0.137,0.0,0.0,439.0,689.0,0.0,0.0,2377.0,1658.0,1462788880.389
94.164,5.836,0.0,0.0,0.0,0.0,0.0,0.0,311.0,689.0,0.0,0.0,2069.0,1654.0,1462788881.388
93.826,6.040,0.0,0.0,0.0,0.134,0.0,0.0,360.0,1248.0,0.0,0.0,2032.0,1125.0,1462788882.388
94.830,5.034,0.0,0.0,0.0,0.136,0.0,1179648.0,503.0,689.0,0.0,0.0,2178.0,1379.0,1462788883.388
96.484,3.516,0.0,0.0,0.0,0.0,0.0,0.0,305.0,619.0,0.0,0.0,2148.0,1769.0,1462788884.389
95.606,4.394,0.0,0.0,0.0,0.0,0.0,0.0,546.0,1178.0,0.0,0.0,2070.0,1308.0,1462788885.388
95.873,3.851,0.0,0.0,0.0,0.275,0.0,0.0,305.0,619.0,0.0,0.0,1974.0,1206.0,1462788886.391
92.483,7.383,0.0,0.0,0.0,0.134,0.0,0.0,2939.0,186727.0,0.0,0.0,2122.0,1479.0,1462788887.391
93.145,6.317,0.0,0.0,0.0,0.538,0.0,585728.0,5084.0,361110.0,0.0,0.0,2323.0,1612.0,1462788888.392
95.902,4.098,0.0,0.0,0.0,0.0,0.0,0.0,177.0,619.0,0.0,0.0,1978.0,1298.0,1462788889.392
