"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_500000000_0.35_1_100_teratest_a482784e-2444-47c8-bee5-60776590b6c9.csv",,,,"Date:","10 May 2016 11:53:02 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
20.541,2.192,76.414,0.378,0.000,0.475,520800.378,3556059.717,0.0,0.0,360.381,362.430,965.084,1009.258,1462873982.645
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,345.0,1462873983.646
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6374.0,4950.0,0.0,0.0,151.0,310.0,1462873984.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,306.0,1462873985.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,1004.0,0.0,0.0,144.0,296.0,1462873986.646
0.0,0.0,99.625,0.375,0.0,0.0,0.0,245760.0,0.0,0.0,0.0,0.0,148.0,302.0,1462873987.646
0.0,0.0,98.747,1.253,0.0,0.0,0.0,1822720.0,531.0,1217.0,0.0,0.0,171.0,327.0,1462873988.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,307.0,1462873989.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,851.0,1281.0,0.0,0.0,143.0,286.0,1462873990.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,297.0,1462873991.646
0.0,0.0,99.875,0.125,0.0,0.0,0.0,356352.0,930.0,786.0,0.0,0.0,168.0,332.0,1462873992.646
0.0,0.0,99.750,0.250,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,151.0,294.0,1462873993.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,659.0,1217.0,0.0,0.0,137.0,289.0,1462873994.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,301.0,1462873995.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,144.0,299.0,1462873996.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,297.0,1462873997.646
0.0,0.0,99.750,0.250,0.0,0.0,0.0,24576.0,482.0,658.0,0.0,0.0,153.0,315.0,1462873998.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,287.0,1462873999.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,659.0,1627.0,0.0,0.0,149.0,309.0,1462874000.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,294.0,1462874001.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,595.0,1217.0,0.0,0.0,146.0,299.0,1462874002.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,286720.0,0.0,0.0,0.0,0.0,249.0,288.0,1462874003.646
0.0,0.0,99.625,0.375,0.0,0.0,0.0,49152.0,994.0,658.0,0.0,0.0,166.0,328.0,1462874004.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,298.0,1462874005.646
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,659.0,1217.0,0.0,0.0,140.0,287.0,1462874006.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,312.0,1462874007.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,156.0,321.0,1462874008.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,295.0,1462874009.646
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,610.0,658.0,0.0,0.0,161.0,319.0,1462874010.646
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,294.0,1462874011.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,149.0,311.0,1462874012.646
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,306.0,1462874013.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,141.0,289.0,1462874014.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,300.0,1462874015.646
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,546.0,658.0,0.0,0.0,200.0,363.0,1462874016.646
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,9822.0,1408919.0,0.0,0.0,406.0,375.0,1462874017.646
0.377,0.126,99.497,0.0,0.0,0.0,0.0,0.0,309064.0,295100.0,0.0,0.0,567.0,618.0,1462874018.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,307.0,1462874019.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,246349.0,221836.0,0.0,0.0,146.0,300.0,1462874020.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,292.0,1462874021.646
0.0,0.0,99.625,0.375,0.0,0.0,0.0,81920.0,680.0,728.0,0.0,0.0,157.0,313.0,1462874022.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,684032.0,290.0,888.0,0.0,0.0,205.0,298.0,1462874023.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,393.0,0.0,0.0,147.0,302.0,1462874024.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,311.0,1462874025.646
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,473.0,1287.0,0.0,0.0,148.0,296.0,1462874026.646
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,369.0,675.0,0.0,0.0,168.0,329.0,1462874027.646
2.904,0.758,95.833,0.505,0.0,0.0,0.0,69632.0,369.0,329.0,32768.0,0.0,899.0,1035.0,1462874028.646
23.873,7.427,68.170,0.133,0.0,0.398,32768.0,0.0,29669.0,12365.0,0.0,0.0,2722.0,2708.0,1462874029.654
40.027,5.121,54.313,0.135,0.0,0.404,32768.0,0.0,4511.0,2338.0,32768.0,0.0,2691.0,2689.0,1462874030.645
71.108,20.712,8.179,0.0,0.0,0.0,0.0,0.0,241.0,619.0,0.0,0.0,2985.0,3045.0,1462874031.646
95.855,4.145,0.0,0.0,0.0,0.0,0.0,0.0,424.0,1248.0,0.0,0.0,2188.0,1714.0,1462874032.648
94.195,5.805,0.0,0.0,0.0,0.0,0.0,401408.0,305.0,619.0,0.0,0.0,2169.0,1294.0,1462874033.648
95.559,4.307,0.0,0.0,0.0,0.135,0.0,0.0,369.0,619.0,0.0,0.0,2088.0,1540.0,1462874034.646
95.702,4.172,0.0,0.0,0.0,0.126,0.0,0.0,482.0,1178.0,0.0,0.0,2209.0,1837.0,1462874035.652
96.887,3.113,0.0,0.0,0.0,0.0,0.0,0.0,177.0,619.0,0.0,0.0,2128.0,1277.0,1462874036.645
94.253,5.492,0.0,0.0,0.0,0.255,0.0,0.0,113.0,619.0,0.0,0.0,2194.0,1448.0,1462874037.646
94.505,5.357,0.0,0.0,0.0,0.137,0.0,0.0,1248.0,114082.0,0.0,0.0,2099.0,1467.0,1462874038.651
95.048,4.814,0.0,0.0,0.0,0.138,0.0,106496.0,381.0,899.0,0.0,0.0,2045.0,1340.0,1462874039.646
97.082,2.785,0.0,0.0,0.0,0.133,0.0,0.0,381.0,899.0,0.0,0.0,2125.0,1422.0,1462874040.646
96.038,3.689,0.0,0.0,0.0,0.273,0.0,0.0,1361.0,97128.0,0.0,0.0,2067.0,1520.0,1462874041.647
94.751,4.972,0.0,0.0,0.0,0.276,0.0,0.0,177.0,619.0,0.0,0.0,2152.0,1532.0,1462874042.646
90.642,9.091,0.0,0.0,0.0,0.267,323584.0,0.0,2911.0,1936.0,0.0,0.0,2323.0,1726.0,1462874043.646
91.216,8.514,0.0,0.0,0.0,0.270,0.0,0.0,1390.0,1829.0,0.0,0.0,2129.0,1683.0,1462874044.652
91.725,8.135,0.0,0.0,0.0,0.140,0.0,20480.0,241.0,619.0,0.0,0.0,1993.0,1133.0,1462874045.646
93.040,6.818,0.0,0.0,0.0,0.142,0.0,0.0,311.0,689.0,0.0,0.0,2082.0,1313.0,1462874046.645
94.236,5.630,0.0,0.0,0.0,0.134,0.0,0.0,354.0,1178.0,0.0,0.0,2133.0,1362.0,1462874047.645
93.588,6.412,0.0,0.0,0.0,0.0,0.0,0.0,241.0,683.0,0.0,0.0,2259.0,1231.0,1462874048.645
96.662,3.338,0.0,0.0,0.0,0.0,0.0,0.0,369.0,683.0,0.0,0.0,2107.0,1217.0,1462874049.645
92.202,7.798,0.0,0.0,0.0,0.0,0.0,0.0,610.0,1242.0,0.0,0.0,2040.0,1415.0,1462874050.649
93.194,6.667,0.0,0.0,0.0,0.139,0.0,32768.0,369.0,619.0,0.0,0.0,2081.0,1444.0,1462874051.645
93.490,5.817,0.139,0.0,0.0,0.554,0.0,0.0,2453.0,234563.0,0.0,0.0,2060.0,1207.0,1462874052.648
90.400,7.067,1.600,0.533,0.0,0.400,413696.0,28672.0,1350.0,2354.0,0.0,0.0,2268.0,1438.0,1462874053.645
89.566,9.756,0.678,0.0,0.0,0.0,0.0,0.0,7217.0,9716.0,0.0,0.0,2365.0,2163.0,1462874054.649
93.562,6.164,0.0,0.0,0.0,0.274,0.0,0.0,2670.0,169657.0,0.0,0.0,2072.0,1399.0,1462874055.648
94.228,5.369,0.0,0.0,0.0,0.403,0.0,73728.0,2619.0,236027.0,0.0,0.0,2115.0,1278.0,1462874056.650
95.034,4.698,0.0,0.0,0.0,0.268,0.0,0.0,1011.0,144983.0,0.0,0.0,2023.0,1235.0,1462874057.648
94.693,5.168,0.0,0.0,0.0,0.140,0.0,397312.0,1412.0,139696.0,0.0,0.0,2090.0,1621.0,1462874058.646
95.205,4.658,0.0,0.0,0.0,0.137,0.0,0.0,418.0,1178.0,0.0,0.0,2032.0,1533.0,1462874059.647
97.432,2.568,0.0,0.0,0.0,0.0,0.0,0.0,369.0,619.0,0.0,0.0,1970.0,1372.0,1462874060.648
96.424,3.444,0.0,0.0,0.0,0.132,0.0,90112.0,305.0,619.0,0.0,0.0,2051.0,1437.0,1462874061.645
94.134,5.587,0.0,0.0,0.0,0.279,0.0,0.0,354.0,1178.0,0.0,0.0,2092.0,1471.0,1462874062.646
94.550,5.313,0.0,0.0,0.0,0.136,0.0,1228800.0,177.0,619.0,0.0,0.0,2414.0,1615.0,1462874063.645
94.875,4.709,0.0,0.0,0.0,0.416,0.0,0.0,859.0,1599.0,0.0,0.0,1986.0,1804.0,1462874064.645
94.844,4.613,0.0,0.0,0.0,0.543,0.0,0.0,552.0,1664.0,0.0,0.0,2159.0,2153.0,1462874065.652
95.115,4.741,0.0,0.0,0.0,0.144,0.0,167936.0,2715.0,237070.0,0.0,0.0,2047.0,2011.0,1462874066.646
94.536,5.328,0.0,0.0,0.0,0.137,0.0,0.0,241.0,619.0,0.0,0.0,2421.0,3504.0,1462874067.649
96.333,3.385,0.0,0.0,0.0,0.282,0.0,356352.0,290.0,1178.0,0.0,0.0,2049.0,1626.0,1462874068.645
96.900,2.965,0.0,0.0,0.0,0.135,0.0,0.0,177.0,619.0,0.0,0.0,2074.0,3811.0,1462874069.645
96.649,3.217,0.0,0.0,0.0,0.134,0.0,0.0,1376.0,118350.0,0.0,0.0,2495.0,3064.0,1462874070.646
98.238,1.626,0.0,0.0,0.0,0.136,0.0,106496.0,0.0,0.0,0.0,0.0,2035.0,1570.0,1462874071.645
98.080,1.646,0.0,0.0,0.0,0.274,0.0,0.0,1934.0,131672.0,0.0,0.0,2032.0,1378.0,1462874072.653
96.322,3.395,0.0,0.0,0.0,0.283,0.0,1028096.0,113.0,619.0,0.0,0.0,2041.0,7898.0,1462874073.652
94.570,5.298,0.0,0.0,0.0,0.132,0.0,0.0,3190.0,200208.0,0.0,0.0,2183.0,1402.0,1462874074.649
96.070,3.930,0.0,0.0,0.0,0.0,0.0,0.0,503.0,689.0,0.0,0.0,1979.0,934.0,1462874075.648
94.142,5.579,0.0,0.139,0.0,0.139,8192.0,98304.0,241.0,619.0,0.0,0.0,1928.0,1274.0,1462874076.647
92.758,6.685,0.139,0.0,0.0,0.418,0.0,0.0,290.0,1178.0,0.0,0.0,2147.0,1873.0,1462874077.647
91.888,7.447,0.266,0.0,0.0,0.399,0.0,487424.0,7463.0,3596.0,0.0,0.0,2332.0,2083.0,1462874078.651
83.174,16.279,0.137,0.0,0.0,0.410,0.0,0.0,8048.0,3976.0,0.0,0.0,2372.0,2141.0,1462874079.648
71.255,27.665,0.540,0.0,0.0,0.540,0.0,0.0,23485.0,7412.0,0.0,0.0,2316.0,1993.0,1462874080.647
91.755,7.447,0.266,0.0,0.0,0.532,3964928.0,0.0,52111.0,8779.0,0.0,0.0,2825.0,3027.0,1462874081.647
97.094,2.642,0.0,0.0,0.0,0.264,0.0,126976.0,1038.0,2258.0,0.0,0.0,2422.0,2415.0,1462874082.646
95.794,3.664,0.0,0.0,0.0,0.543,1982464.0,0.0,2097.0,135763.0,0.0,0.0,2233.0,3857.0,1462874083.646
92.513,6.551,0.0,0.0,0.0,0.936,0.0,0.0,772.0,2074.0,0.0,0.0,2693.0,5460.0,1462874084.646
90.183,8.639,0.0,0.0,0.0,1.178,1982464.0,0.0,1733.0,121386.0,0.0,0.0,3152.0,6789.0,1462874085.645
89.768,8.868,0.0,0.0,0.0,1.364,0.0,0.0,708.0,2732.0,0.0,0.0,2921.0,5932.0,1462874086.646
89.460,8.959,0.0,0.0,0.0,1.581,2887680.0,24576.0,467.0,2176.0,0.0,0.0,2966.0,3693.0,1462874087.648
88.950,9.141,0.409,0.0,0.0,1.501,18911232.0,0.0,998.0,4858.0,0.0,0.0,2808.0,2558.0,1462874088.646
89.986,8.796,0.0,0.0,0.0,1.218,14520320.0,0.0,161047.0,122784.0,0.0,0.0,2561.0,2547.0,1462874089.645
91.275,7.919,0.0,0.0,0.0,0.805,15220736.0,0.0,0.0,0.0,0.0,0.0,2823.0,3265.0,1462874090.648
97.432,1.757,0.135,0.0,0.0,0.676,3883008.0,0.0,558273.0,243093.0,0.0,0.0,2309.0,1710.0,1462874091.646
99.478,0.522,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,4375.0,0.0,0.0,2171.0,838.0,1462874092.646
98.575,1.295,0.0,0.0,0.0,0.130,0.0,77824.0,418.0,1401.0,0.0,0.0,2239.0,919.0,1462874093.646
97.552,2.320,0.129,0.0,0.0,0.0,0.0,0.0,1019.0,3747.0,0.0,0.0,2283.0,1340.0,1462874094.646
88.067,11.933,0.0,0.0,0.0,0.0,0.0,0.0,2397.0,148856.0,0.0,0.0,2214.0,1196.0,1462874095.646
79.188,20.812,0.0,0.0,0.0,0.0,0.0,0.0,241.0,782.0,0.0,0.0,2141.0,864.0,1462874096.645
77.314,22.034,0.522,0.0,0.0,0.130,40960.0,0.0,2123.0,5054.0,0.0,0.0,2479.0,2345.0,1462874097.647
62.467,23.607,11.141,1.459,0.0,1.326,188416.0,22568960.0,11393.0,155066.0,0.0,0.0,2833.0,3958.0,1462874098.648
35.561,10.695,49.866,3.075,0.0,0.802,1302528.0,47775744.0,9648.0,11863.0,32768.0,0.0,2919.0,3066.0,1462874099.648
66.403,14.493,18.577,0.395,0.0,0.132,524288.0,0.0,16548.0,8875.0,524288.0,0.0,3124.0,2491.0,1462874100.645
89.341,7.153,2.945,0.421,0.0,0.140,585728.0,0.0,3713.0,2128.0,32768.0,0.0,3471.0,1700.0,1462874101.650
91.632,8.093,0.137,0.0,0.0,0.137,0.0,0.0,6646.0,2451.0,0.0,0.0,2427.0,1521.0,1462874102.646
90.934,8.525,0.135,0.0,0.0,0.406,4096.0,38739968.0,151.0,625.0,0.0,0.0,2408.0,1514.0,1462874103.646
92.287,5.923,0.0,0.0,0.0,1.791,4096.0,107085824.0,354.0,1184.0,0.0,0.0,2504.0,1806.0,1462874104.646
92.612,5.277,0.0,0.0,0.0,2.111,4096.0,119603200.0,305.0,971.0,0.0,0.0,2446.0,1432.0,1462874105.647
91.486,5.676,0.0,0.0,0.0,2.838,4096.0,118095872.0,241.0,625.0,0.0,0.0,2445.0,1305.0,1462874106.645
93.256,4.669,0.0,0.0,0.0,2.075,4096.0,105529344.0,1565.0,113832.0,0.0,0.0,2517.0,1474.0,1462874107.652
94.452,5.548,0.0,0.0,0.0,0.0,0.0,0.0,241.0,625.0,0.0,0.0,2087.0,1460.0,1462874108.648
95.845,4.017,0.0,0.0,0.0,0.139,0.0,118784.0,241.0,625.0,0.0,0.0,2003.0,1210.0,1462874109.646
95.106,4.365,0.0,0.0,0.0,0.529,0.0,0.0,807.0,1494.0,0.0,0.0,2120.0,1472.0,1462874110.646
97.135,2.865,0.0,0.0,0.0,0.0,0.0,0.0,433.0,779.0,0.0,0.0,2085.0,1424.0,1462874111.646
93.512,6.206,0.0,0.0,0.0,0.282,0.0,0.0,241.0,776.0,0.0,0.0,2039.0,1662.0,1462874112.645
95.146,4.438,0.0,0.0,0.0,0.416,0.0,0.0,1132.0,2022.0,0.0,0.0,1963.0,1232.0,1462874113.646
