"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_800000000_0.35_24_150_teratest_7e78dc03-158d-4462-8603-649912a002c6.csv",,,,"Date:","03 May 2016 12:58:10 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.253,2.239,75.681,0.346,0.000,0.481,493437.869,3481804.290,0.0,0.0,311.033,310.607,975.557,1016.743,1462273090.787
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,327.0,1462273091.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,662.0,1240.0,0.0,0.0,153.0,315.0,1462273092.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,278.0,1462273093.788
0.125,0.0,99.500,0.375,0.0,0.0,0.0,61440.0,484.0,680.0,0.0,0.0,140.0,294.0,1462273094.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,293.0,1462273095.788
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,141.0,298.0,1462273096.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,289.0,1462273097.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,144.0,299.0,1462273098.788
0.125,0.0,99.875,0.0,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,150.0,289.0,1462273099.788
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,578.0,774.0,0.0,0.0,154.0,317.0,1462273100.788
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,307.0,1462273101.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,1240.0,0.0,0.0,137.0,282.0,1462273102.788
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,286.0,1462273103.788
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,662.0,1240.0,0.0,0.0,149.0,311.0,1462273104.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,287.0,1462273105.788
0.125,0.0,99.625,0.250,0.0,0.0,0.0,16384.0,292.0,680.0,0.0,0.0,140.0,297.0,1462273106.788
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,300.0,1462273107.788
