"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_900000000_0.35_24_150_teratest_a1ec209f-2d0f-433f-983c-5e2fc7b088d3.csv",,,,"Date:","02 May 2016 19:25:17 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.262,2.237,75.680,0.340,0.000,0.481,477741.835,3457800.493,0.0,0.0,311.256,312.043,973.266,1015.102,1462209917.358
0.0,0.0,99.374,0.626,0.0,0.0,0.0,90112.0,0.0,0.0,0.0,0.0,162.0,334.0,1462209918.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,680.0,0.0,0.0,136.0,297.0,1462209919.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,314.0,1462209920.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1368.0,0.0,0.0,135.0,277.0,1462209921.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,302.0,1462209922.359
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,854.0,1304.0,0.0,0.0,153.0,308.0,1462209923.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,298.0,1462209924.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,680.0,0.0,0.0,131.0,283.0,1462209925.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,308.0,1462209926.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,135.0,292.0,1462209927.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,165.0,308.0,1462209928.359
2.635,0.251,96.863,0.251,0.0,0.0,0.0,20480.0,534.0,1240.0,0.0,0.0,244.0,357.0,1462209929.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,282.0,1462209930.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,484.0,1090.0,0.0,0.0,136.0,292.0,1462209931.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,318.0,1462209932.359
3.137,0.0,96.863,0.0,0.0,0.0,0.0,8192.0,534.0,1240.0,0.0,0.0,240.0,318.0,1462209933.359
0.0,0.0,99.625,0.375,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,138.0,294.0,1462209934.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,1240.0,0.0,0.0,144.0,285.0,1462209935.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,336.0,1462209936.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,680.0,0.0,0.0,137.0,287.0,1462209937.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,296.0,1462209938.359
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,137.0,288.0,1462209939.359
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,158.0,334.0,1462209940.359
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,145.0,298.0,1462209941.359
