"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/3_2097152_200000000.csv",,,,"Date:","06 Feb 2016 07:55:00 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
12.035,0.947,86.837,0.072,0.000,0.109,73169.617,516027.768,0.0,0.0,22.518,51.410,484.424,541.510,1454741700.730
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,445.0,1454741701.731
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,7183.0,5411.0,0.0,0.0,158.0,314.0,1454741702.731
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,310.0,1454741703.731
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,510.0,806.0,0.0,0.0,169.0,338.0,1454741704.731
0.0,0.125,99.626,0.249,0.0,0.0,0.0,118784.0,0.0,0.0,0.0,0.0,169.0,321.0,1454741705.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,815.0,1455.0,0.0,0.0,156.0,310.0,1454741706.731
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,316.0,1454741707.731
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,751.0,1365.0,0.0,0.0,160.0,324.0,1454741708.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,310.0,1454741709.731
0.0,0.125,99.750,0.125,0.0,0.0,0.0,28672.0,1066.0,1028.0,0.0,0.0,179.0,338.0,1454741710.731
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,306.0,1454741711.731
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,815.0,1365.0,0.0,0.0,164.0,326.0,1454741712.731
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,325.0,1454741713.731
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,751.0,1365.0,0.0,0.0,158.0,309.0,1454741714.731
0.0,0.125,99.501,0.375,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,162.0,318.0,1454741715.731
