"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/4_133120000_200000000_0.05.csv",,,,"Date:","23 Feb 2016 15:01:19 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
24.162,2.051,73.372,0.121,0.000,0.294,180011.837,1675031.460,0.0,0.0,43.633,85.951,900.462,914.684,1456236079.352
0.626,0.125,99.249,0.0,0.0,0.0,0.0,0.0,6294.0,4961.0,0.0,0.0,259.0,481.0,1456236080.353
0.624,0.125,99.251,0.0,0.0,0.0,0.0,0.0,243.0,341.0,0.0,0.0,215.0,404.0,1456236081.353
0.501,0.0,98.999,0.501,0.0,0.0,0.0,77824.0,0.0,0.0,0.0,0.0,223.0,416.0,1456236082.353
0.500,0.125,99.375,0.0,0.0,0.0,0.0,0.0,343.0,1242.0,0.0,0.0,224.0,427.0,1456236083.353
0.500,0.125,99.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,416.0,1456236084.353
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,294.0,682.0,0.0,0.0,208.0,397.0,1456236085.353
0.501,0.125,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,436.0,1456236086.353
0.375,0.250,99.0,0.375,0.0,0.0,0.0,45056.0,343.0,1242.0,0.0,0.0,218.0,412.0,1456236087.353
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,416.0,1456236088.353
0.375,0.250,99.374,0.0,0.0,0.0,0.0,0.0,471.0,1242.0,0.0,0.0,223.0,424.0,1456236089.353
0.499,0.249,99.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,409.0,1456236090.353
0.376,0.0,99.624,0.0,0.0,0.0,0.0,0.0,294.0,682.0,0.0,0.0,207.0,400.0,1456236091.353
0.624,0.125,98.127,1.124,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,239.0,449.0,1456236092.353
0.500,0.125,98.375,1.0,0.0,0.0,8192.0,507904.0,0.0,0.0,0.0,0.0,409.0,425.0,1456236093.353
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,522.0,1583.0,0.0,0.0,208.0,398.0,1456236094.353
0.500,0.125,99.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,408.0,1456236095.353
0.250,0.250,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,412.0,1456236096.353
0.501,0.125,99.123,0.251,0.0,0.0,0.0,282624.0,586.0,1583.0,0.0,0.0,217.0,409.0,1456236097.353
0.501,0.125,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,415.0,1456236098.353
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,535.0,1242.0,0.0,0.0,218.0,414.0,1456236099.353
0.501,0.125,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,426.0,1456236100.353
0.375,0.250,99.375,0.0,0.0,0.0,0.0,0.0,599.0,1242.0,0.0,0.0,220.0,410.0,1456236101.353
0.501,0.0,99.249,0.250,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,220.0,412.0,1456236102.353
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,422.0,682.0,0.0,0.0,214.0,409.0,1456236103.353
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,432.0,1456236104.353
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,395.0,1456236105.353
0.500,0.125,99.375,0.0,0.0,0.0,0.0,0.0,586.0,1583.0,0.0,0.0,206.0,395.0,1456236106.353
0.376,0.0,99.248,0.376,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,220.0,419.0,1456236107.353
