"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/4_133120000_200000000_0.5.csv",,,,"Date:","23 Feb 2016 14:20:58 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
24.148,2.046,73.394,0.120,0.000,0.292,178610.527,1659820.289,0.0,0.0,43.454,85.990,898.993,913.402,1456233658.446
0.625,0.125,98.625,0.625,0.0,0.0,0.0,200704.0,6282.0,4961.0,0.0,0.0,237.0,453.0,1456233659.447
0.501,0.125,97.747,1.627,0.0,0.0,0.0,3166208.0,0.0,0.0,0.0,0.0,462.0,428.0,1456233660.447
0.375,0.125,99.499,0.0,0.0,0.0,0.0,0.0,753.0,1242.0,0.0,0.0,218.0,418.0,1456233661.447
1.128,2.256,96.115,0.501,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,445.0,672.0,1456233662.447
0.624,0.125,99.251,0.0,0.0,0.0,0.0,0.0,448.0,760.0,0.0,0.0,213.0,403.0,1456233663.447
0.376,0.125,99.247,0.251,0.0,0.0,0.0,118784.0,0.0,0.0,0.0,0.0,233.0,439.0,1456233664.447


"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/4_133120000_200000000_0.5.csv",,,,"Date:","24 Feb 2016 04:02:19 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
24.456,2.154,72.929,0.127,0.000,0.334,206545.507,1951060.202,0.0,0.0,46.392,90.225,928.515,941.446,1456282939.050
0.625,0.250,98.875,0.250,0.0,0.0,0.0,0.0,6181.0,4611.0,0.0,0.0,218.0,499.0,1456282940.051
0.752,0.125,98.872,0.251,0.0,0.0,0.0,114688.0,292.0,901.0,0.0,0.0,241.0,446.0,1456282941.051
0.500,0.250,99.250,0.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,224.0,415.0,1456282942.051
0.874,0.125,99.001,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,209.0,405.0,1456282943.051
0.375,0.250,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,424.0,1456282944.051
0.627,0.125,99.248,0.0,0.0,0.0,0.0,0.0,480.0,1588.0,0.0,0.0,218.0,423.0,1456282945.051
0.501,0.250,98.999,0.250,0.0,0.0,0.0,131072.0,0.0,0.0,0.0,0.0,213.0,423.0,1456282946.051
0.501,0.125,99.373,0.0,0.0,0.0,0.0,348160.0,407.0,1242.0,0.0,0.0,314.0,426.0,1456282947.051
0.501,0.125,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,396.0,1456282948.051
0.751,0.125,99.124,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,234.0,442.0,1456282949.051
1.880,0.251,97.870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,464.0,1456282950.051
0.500,0.250,98.875,0.375,0.0,0.0,0.0,458752.0,407.0,1242.0,0.0,0.0,210.0,408.0,1456282951.051
0.500,0.250,99.250,0.0,0.0,0.0,0.0,806912.0,115.0,341.0,0.0,0.0,474.0,426.0,1456282952.052
0.750,0.250,98.750,0.250,0.0,0.0,4096.0,0.0,228.0,901.0,0.0,0.0,227.0,431.0,1456282953.051
1.633,0.126,98.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,430.0,1456282954.051
0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,206.0,410.0,1456282955.051
0.502,0.125,99.247,0.125,0.0,0.0,0.0,143360.0,0.0,0.0,0.0,0.0,225.0,437.0,1456282956.051
4.534,0.504,94.962,0.0,0.0,0.0,0.0,352256.0,343.0,1588.0,0.0,0.0,503.0,488.0,1456282957.051
0.751,0.0,99.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,392.0,1456282958.051
0.500,0.250,99.250,0.0,0.0,0.0,0.0,0.0,343.0,1242.0,0.0,0.0,217.0,421.0,1456282959.051
0.750,0.125,99.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,406.0,1456282960.051
0.500,0.250,99.125,0.125,0.0,0.0,0.0,81920.0,294.0,682.0,0.0,0.0,229.0,436.0,1456282961.051
0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,418.0,1456282962.051
0.626,0.250,99.124,0.0,0.0,0.0,0.0,0.0,407.0,1242.0,0.0,0.0,197.0,394.0,1456282963.051
0.501,0.125,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,416.0,1456282964.051
0.624,0.250,99.001,0.0,0.0,0.125,0.0,0.0,343.0,1242.0,0.0,0.0,227.0,428.0,1456282965.051
0.501,1.001,98.248,0.250,0.0,0.0,0.0,49152.0,179.0,341.0,0.0,0.0,225.0,408.0,1456282966.051
0.750,0.125,99.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,403.0,1456282967.051
0.375,0.250,99.374,0.0,0.0,0.0,0.0,0.0,343.0,1242.0,0.0,0.0,209.0,409.0,1456282968.051
0.501,0.125,99.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,410.0,1456282969.051
0.627,0.251,99.123,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,209.0,403.0,1456282970.051
0.623,0.249,98.753,0.374,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,231.0,437.0,1456282971.051
0.626,0.125,99.249,0.0,0.0,0.0,0.0,315392.0,471.0,1242.0,0.0,0.0,340.0,408.0,1456282972.051
0.501,0.125,99.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,407.0,1456282973.051
0.376,0.251,99.373,0.0,0.0,0.0,0.0,0.0,605.0,1242.0,0.0,0.0,217.0,413.0,1456282974.051
0.749,0.250,99.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,441.0,1456282975.051
0.753,0.502,98.494,0.251,0.0,0.0,0.0,258048.0,333356.0,297317.0,0.0,0.0,556.0,693.0,1456282976.051
9.125,2.028,88.593,0.253,0.0,0.0,32768.0,868352.0,101957.0,99686.0,0.0,0.0,1240.0,1397.0,1456282977.051
14.304,1.646,81.772,2.025,0.0,0.253,1105920.0,0.0,7265.0,3304.0,0.0,0.0,1715.0,1809.0,1456282978.051
21.0,0.875,77.375,0.750,0.0,0.0,180224.0,0.0,0.0,0.0,0.0,0.0,1362.0,874.0,1456282979.051
34.097,1.399,63.868,0.636,0.0,0.0,131072.0,0.0,1905.0,25504.0,0.0,0.0,1674.0,891.0,1456282980.051
21.337,2.057,76.221,0.386,0.0,0.0,4096.0,372736.0,115.0,379.0,0.0,0.0,883.0,752.0,1456282981.051
17.640,0.888,79.188,2.284,0.0,0.0,471040.0,1048576.0,1735.0,2944.0,0.0,0.0,1177.0,898.0,1456282982.051
15.259,1.261,80.832,2.648,0.0,0.0,737280.0,0.0,2184.0,1859.0,0.0,0.0,1192.0,1218.0,1456282983.051
19.625,0.625,78.250,1.500,0.0,0.0,1507328.0,0.0,0.0,0.0,0.0,0.0,1290.0,1049.0,1456282984.051
32.398,2.168,65.051,0.255,0.0,0.128,376832.0,0.0,0.0,0.0,0.0,0.0,3976.0,3672.0,1456282985.051
8.040,1.005,90.704,0.251,0.0,0.0,73728.0,290816.0,3490.0,6786.0,0.0,0.0,898.0,1009.0,1456282986.051
19.265,1.521,78.200,0.887,0.0,0.127,282624.0,794624.0,0.0,0.0,0.0,0.0,2912.0,3131.0,1456282987.054
75.443,7.640,15.825,0.0,0.0,1.091,16384.0,0.0,24111.0,46841.0,0.0,0.0,3542.0,3037.0,1456282988.053
77.131,19.080,2.977,0.0,0.0,0.812,0.0,0.0,11144.0,40972.0,0.0,0.0,3155.0,3321.0,1456282989.051
91.954,6.769,1.149,0.0,0.0,0.128,0.0,0.0,1230.0,1749.0,0.0,0.0,2902.0,1533.0,1456282990.051
92.999,6.737,0.0,0.0,0.0,0.264,0.0,499712.0,1294.0,1819.0,0.0,0.0,2713.0,1669.0,1456282991.051
90.872,8.054,0.940,0.0,0.0,0.134,4096.0,0.0,1511.0,2839.0,0.0,0.0,2292.0,1406.0,1456282992.051
95.244,4.113,0.129,0.0,0.0,0.514,0.0,0.0,12218.0,11693.0,0.0,0.0,2726.0,1856.0,1456282993.054
95.894,3.841,0.0,0.0,0.0,0.265,0.0,0.0,13589.0,13155.0,0.0,0.0,2608.0,1792.0,1456282994.053
93.850,6.016,0.0,0.0,0.0,0.134,0.0,0.0,8433.0,8123.0,0.0,0.0,2317.0,1756.0,1456282995.051
92.549,6.928,0.0,0.0,0.0,0.523,0.0,0.0,1358.0,1819.0,0.0,0.0,2287.0,1561.0,1456282996.051
94.626,5.111,0.0,0.0,0.0,0.262,0.0,1523712.0,1166.0,1819.0,0.0,0.0,2595.0,1376.0,1456282997.054
94.519,5.348,0.0,0.0,0.0,0.134,4096.0,0.0,1279.0,2790.0,0.0,0.0,2206.0,3102.0,1456282998.052
93.080,6.649,0.0,0.0,0.0,0.271,77824.0,0.0,2211.0,2628.0,0.0,0.0,2290.0,1826.0,1456282999.051
89.629,9.987,0.0,0.0,0.0,0.384,0.0,0.0,5243.0,4044.0,0.0,0.0,2477.0,1799.0,1456283000.051
91.600,8.0,0.0,0.0,0.0,0.400,0.0,0.0,5841.0,4922.0,0.0,0.0,2272.0,1508.0,1456283001.053
91.700,8.037,0.0,0.0,0.0,0.264,0.0,331776.0,5077.0,4044.0,0.0,0.0,2337.0,1430.0,1456283002.053
93.182,6.551,0.0,0.0,0.0,0.267,0.0,0.0,4576.0,1170.0,0.0,0.0,2303.0,1435.0,1456283003.051
90.449,9.117,0.0,0.0,0.0,0.434,0.0,0.0,8987.0,3363.0,0.0,0.0,2110.0,1765.0,1456283004.051
90.361,9.237,0.0,0.0,0.0,0.402,0.0,0.0,6142.0,1520.0,0.0,0.0,2386.0,1950.0,1456283005.051
93.057,6.542,0.0,0.0,0.0,0.401,0.0,0.0,0.0,0.0,0.0,0.0,2173.0,1506.0,1456283006.051
93.315,6.412,0.0,0.0,0.0,0.273,12288.0,794624.0,19578.0,9049.0,0.0,0.0,2303.0,1585.0,1456283007.050
95.014,4.848,0.0,0.0,0.0,0.139,0.0,0.0,778.0,2358.0,0.0,0.0,2123.0,1534.0,1456283008.051
91.475,8.254,0.0,0.0,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,2411.0,1782.0,1456283009.055
91.265,8.083,0.130,0.0,0.0,0.522,0.0,0.0,20916.0,12556.0,0.0,0.0,2432.0,2046.0,1456283010.050
92.792,6.815,0.131,0.0,0.0,0.262,0.0,0.0,1779.0,1678.0,0.0,0.0,2293.0,1513.0,1456283011.052
94.347,5.249,0.0,0.0,0.0,0.404,0.0,163840.0,2552.0,1930.0,0.0,0.0,2199.0,1504.0,1456283012.051
91.885,7.461,0.0,0.0,0.0,0.654,0.0,0.0,12908.0,6051.0,0.0,0.0,2370.0,1865.0,1456283013.052
93.282,6.589,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.0,2339.0,1891.0,1456283014.053
95.728,4.139,0.0,0.0,0.0,0.134,16384.0,0.0,10037.0,6842.0,0.0,0.0,2146.0,1573.0,1456283015.052
95.425,4.052,0.0,0.0,0.0,0.523,0.0,0.0,16390.0,6528.0,0.0,0.0,2243.0,1757.0,1456283016.050
91.906,7.572,0.0,0.0,0.0,0.522,0.0,126976.0,13816.0,8848.0,0.0,0.0,2530.0,2054.0,1456283017.053
92.608,6.834,0.0,0.0,0.0,0.558,0.0,0.0,9337.0,6401.0,0.0,0.0,2193.0,2260.0,1456283018.051
95.308,4.155,0.0,0.0,0.0,0.536,0.0,0.0,5605.0,7562.0,0.0,0.0,2262.0,2594.0,1456283019.050
96.529,3.204,0.0,0.0,0.0,0.267,0.0,0.0,5530.0,6846.0,0.0,0.0,2291.0,2503.0,1456283020.051
92.961,6.507,0.0,0.0,0.0,0.531,0.0,0.0,9016.0,15747.0,0.0,0.0,2359.0,4346.0,1456283021.053
