"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_16640000_1500000000_0.35_24_100.csv",,,,"Date:","31 Mar 2016 20:28:12 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
27.043,2.713,69.448,0.227,0.000,0.569,340346.934,3723490.209,0.0,0.0,70.441,98.107,1123.826,1129.883,1459448892.830
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6497.0,4821.0,0.0,0.0,168.0,342.0,1459448893.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,298.0,1459448894.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,550.0,682.0,0.0,0.0,150.0,311.0,1459448895.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,307.0,1459448896.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,139.0,285.0,1459448897.831
0.0,0.0,99.750,0.250,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,0.0,168.0,339.0,1459448898.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,600.0,1242.0,0.0,0.0,149.0,297.0,1459448899.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,307.0,341.0,0.0,0.0,159.0,323.0,1459448900.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,307.0,1459448901.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,144.0,297.0,1459448902.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,299.0,1459448903.831
0.125,0.0,99.875,0.0,0.0,0.0,0.0,12288.0,486.0,682.0,0.0,0.0,168.0,339.0,1459448904.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,285.0,1459448905.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1242.0,0.0,0.0,142.0,299.0,1459448906.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,307.0,1459448907.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,536.0,1242.0,0.0,0.0,170.0,327.0,1459448908.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,290.0,1459448909.831
0.0,0.125,99.377,0.499,0.0,0.0,0.0,20480.0,550.0,682.0,0.0,0.0,170.0,334.0,1459448910.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,286.0,1459448911.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,146.0,305.0,1459448912.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,309.0,1459448913.831
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,600.0,1242.0,0.0,0.0,146.0,295.0,1459448914.831
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,152.0,308.0,1459448915.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,614.0,682.0,0.0,0.0,157.0,321.0,1459448916.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,283.0,1459448917.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,90112.0,0.0,0.0,0.0,0.0,181.0,297.0,1459448918.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,587.0,1583.0,0.0,0.0,153.0,315.0,1459448919.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,317.0,1459448920.831
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,408.0,1242.0,0.0,0.0,145.0,296.0,1459448921.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,308.0,1459448922.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,20480.0,728.0,1242.0,0.0,0.0,154.0,292.0,1459448923.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,435.0,341.0,0.0,0.0,149.0,303.0,1459448924.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,301.0,1459448925.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,728.0,1242.0,0.0,0.0,137.0,291.0,1459448926.831
0.0,0.0,99.875,0.125,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,140.0,293.0,1459448927.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,294.0,682.0,0.0,0.0,157.0,322.0,1459448928.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,285.0,1459448929.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,147.0,308.0,1459448930.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,306.0,1459448931.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,151.0,309.0,1459448932.831
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,152.0,304.0,1459448933.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,422.0,682.0,0.0,0.0,153.0,311.0,1459448934.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,285.0,1459448935.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,600.0,1242.0,0.0,0.0,146.0,306.0,1459448936.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,315.0,1459448937.831
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,536.0,1242.0,0.0,0.0,168.0,312.0,1459448938.831
0.0,0.0,99.624,0.376,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,155.0,314.0,1459448939.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,159.0,328.0,1459448940.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,286.0,1459448941.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,600.0,1242.0,0.0,0.0,139.0,294.0,1459448942.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,317.0,1459448943.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,152.0,312.0,1459448944.831
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,151.0,301.0,1459448945.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,312.0,1459448946.831
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,715.0,1583.0,0.0,0.0,144.0,286.0,1459448947.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,314.0,1459448948.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,614.0,682.0,0.0,0.0,154.0,304.0,1459448949.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,299.0,1459448950.831
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,600.0,1242.0,0.0,0.0,154.0,320.0,1459448951.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,332.0,1459448952.831
