"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_2500000000_0.35_24_100_teratest_f0799679-17d6-4740-9f96-ef062272e607.csv",,,,"Date:","29 Apr 2016 15:05:31 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.480,2.245,75.483,0.311,0.000,0.482,422000.505,3387299.448,0.0,0.0,217.612,226.673,973.598,1015.932,1461935131.881
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,346.0,1461935132.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,290.0,1461935133.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,6826.0,5226.0,0.0,0.0,147.0,298.0,1461935134.882
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,291.0,1461935135.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1652.0,0.0,0.0,144.0,310.0,1461935136.882
0.0,0.0,99.750,0.250,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,151.0,312.0,1461935137.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,136.0,281.0,1461935138.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,313.0,1461935139.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,230.0,682.0,0.0,0.0,153.0,317.0,1461935140.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,284.0,1461935141.882
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,792.0,1242.0,0.0,0.0,139.0,295.0,1461935142.882
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,153.0,307.0,1461935143.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,536.0,1242.0,0.0,0.0,161.0,304.0,1461935144.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,297.0,1461935145.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,142.0,298.0,1461935146.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,293.0,1461935147.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1588.0,0.0,0.0,140.0,299.0,1461935148.882
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,152.0,318.0,1461935149.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,408.0,1242.0,0.0,0.0,144.0,305.0,1461935150.882
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,292.0,1461935151.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,230.0,682.0,0.0,0.0,140.0,301.0,1461935152.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,282.0,1461935153.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,408.0,1242.0,0.0,0.0,132.0,288.0,1461935154.882
0.0,0.0,99.500,0.500,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,153.0,305.0,1461935155.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,299.0,1461935156.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1163.0,1583.0,0.0,0.0,137.0,285.0,1461935157.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,306.0,1461935158.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,61440.0,1048.0,1242.0,0.0,0.0,168.0,292.0,1461935159.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,295.0,1461935160.882
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,806.0,682.0,0.0,0.0,161.0,317.0,1461935161.882
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,288.0,1461935162.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,856.0,1242.0,0.0,0.0,132.0,281.0,1461935163.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,151.0,310.0,1461935164.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,135.0,282.0,1461935165.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,132.0,284.0,1461935166.882
0.0,0.0,99.750,0.250,0.0,0.0,0.0,94208.0,0.0,0.0,0.0,0.0,154.0,309.0,1461935167.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,292.0,1461935168.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,587.0,1929.0,0.0,0.0,138.0,298.0,1461935169.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,341.0,0.0,0.0,138.0,290.0,1461935170.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,285.0,1461935171.882
0.0,0.0,99.500,0.500,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,150.0,306.0,1461935172.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,523.0,1583.0,0.0,0.0,143.0,298.0,1461935173.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,149.0,291.0,1461935174.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,408.0,1242.0,0.0,0.0,134.0,280.0,1461935175.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,308.0,1461935176.882
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,344.0,1242.0,0.0,0.0,145.0,304.0,1461935177.882
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,132.0,289.0,1461935178.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,230.0,682.0,0.0,0.0,144.0,303.0,1461935179.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,298.0,1461935180.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,135.0,284.0,1461935181.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,299.0,1461935182.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,310.0,1461935183.882
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,1125.0,1583.0,0.0,0.0,156.0,325.0,1461935184.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,304.0,1461935185.882
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,920.0,1588.0,0.0,0.0,149.0,298.0,1461935186.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,371.0,341.0,0.0,0.0,142.0,291.0,1461935187.882
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,307.0,1461935188.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,920.0,1332.0,0.0,0.0,158.0,322.0,1461935189.882
0.0,0.0,99.625,0.375,0.0,0.0,0.0,20480.0,563.0,341.0,0.0,0.0,147.0,300.0,1461935190.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,302.0,1461935191.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,297.0,1461935192.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,651.0,1775.0,0.0,0.0,142.0,296.0,1461935193.882
0.0,0.0,100.0,0.0,0.0,0.0,0.0,81920.0,0.0,0.0,0.0,0.0,179.0,303.0,1461935194.882
