"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_2500000000_0.35_24_150_teratest_76b55fff-af70-4473-914a-89342f36593a.csv",,,,"Date:","29 Apr 2016 15:10:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.479,2.244,75.483,0.311,0.000,0.482,421989.658,3387212.510,0.0,0.0,217.606,226.667,973.577,1015.914,1461935416.473
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,358.0,1461935417.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6059.0,5231.0,0.0,0.0,141.0,288.0,1461935418.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,141.0,291.0,1461935419.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,329.0,1461935420.474
0.0,0.0,99.625,0.375,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,149.0,307.0,1461935421.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,587.0,1583.0,0.0,0.0,138.0,286.0,1461935422.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,309.0,1461935423.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,155.0,306.0,1461935424.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,295.0,1461935425.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1048.0,1242.0,0.0,0.0,158.0,309.0,1461935426.474
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,156.0,300.0,1461935427.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,304.0,1461935428.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1355.0,1583.0,0.0,0.0,153.0,303.0,1461935429.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,371.0,341.0,0.0,0.0,148.0,307.0,1461935430.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,292.0,1461935431.474
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,320.0,1461935432.474
