"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_99840000_200000000_0.05_48.csv",,,,"Date:","26 Mar 2016 16:58:12 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
26.337,2.403,70.651,0.168,0.000,0.441,275058.229,2744022.531,0.0,0.0,55.665,90.017,1019.562,1019.019,1459007892.561
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6567.0,5171.0,0.0,0.0,170.0,344.0,1459007893.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,288.0,1459007894.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,600.0,1588.0,0.0,0.0,148.0,302.0,1459007895.562
0.0,0.0,99.625,0.375,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,0.0,156.0,328.0,1459007896.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,230.0,682.0,0.0,0.0,136.0,285.0,1459007897.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,299.0,1459007898.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,408.0,1242.0,0.0,0.0,138.0,290.0,1459007899.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,300.0,1459007900.562
0.0,0.0,99.625,0.375,0.0,0.0,0.0,237568.0,408.0,1242.0,0.0,0.0,226.0,319.0,1459007901.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,287.0,1459007902.562
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,422.0,682.0,0.0,0.0,157.0,299.0,1459007903.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,319.0,1459007904.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,147.0,293.0,1459007905.562
0.0,0.0,99.750,0.250,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,141.0,293.0,1459007906.562
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,148.0,307.0,1459007907.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,308.0,1459007908.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,550.0,682.0,0.0,0.0,138.0,279.0,1459007909.562
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,303.0,1459007910.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1588.0,0.0,0.0,131.0,277.0,1459007911.562
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,151.0,314.0,1459007912.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,344.0,1242.0,0.0,0.0,141.0,297.0,1459007913.562
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,287.0,1459007914.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,512.0,682.0,0.0,0.0,132.0,279.0,1459007915.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,320.0,1459007916.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1332.0,0.0,0.0,137.0,284.0,1459007917.562
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,143.0,295.0,1459007918.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,408.0,1242.0,0.0,0.0,142.0,301.0,1459007919.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,309.0,1459007920.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,230.0,682.0,0.0,0.0,146.0,284.0,1459007921.562
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,313.0,1459007922.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,135.0,286.0,1459007923.562
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,171.0,339.0,1459007924.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,472.0,1588.0,0.0,0.0,146.0,298.0,1459007925.562
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,285.0,1459007926.562
