"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/wordtest/1_20480000_5700000000_0.75.csv",,,,"Date:","07 Mar 2016 12:38:06 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
22.777,2.133,74.579,0.141,0.000,0.370,200732.812,2233979.194,0.0,0.0,46.702,77.310,912.054,940.055,1457350686.078
0.125,0.0,99.625,0.250,0.0,0.0,0.0,118784.0,6350.0,5232.0,0.0,0.0,188.0,377.0,1457350687.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,149.0,299.0,1457350688.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,422.0,682.0,0.0,0.0,149.0,309.0,1457350689.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,305.0,1457350690.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,142.0,295.0,1457350691.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,309.0,1457350692.079
0.0,0.125,99.625,0.250,0.0,0.0,0.0,24576.0,1048.0,1242.0,0.0,0.0,178.0,353.0,1457350693.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,302.0,1457350694.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1062.0,682.0,0.0,0.0,140.0,282.0,1457350695.079
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,303.0,1457350696.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,856.0,1242.0,0.0,0.0,142.0,294.0,1457350697.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,371.0,341.0,0.0,0.0,139.0,280.0,1457350698.079
0.0,0.0,99.500,0.500,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,162.0,329.0,1457350699.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,920.0,1242.0,0.0,0.0,154.0,320.0,1457350700.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,303.0,1457350701.079
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,472.0,1242.0,0.0,0.0,146.0,293.0,1457350702.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,143.0,289.0,1457350703.079
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,358.0,682.0,0.0,0.0,138.0,286.0,1457350704.079
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,162.0,324.0,1457350705.079
