"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/wordtest/2_128000000_6200000000_0.75.csv",,,,"Date:","12 Mar 2016 02:09:49 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
22.001,2.046,75.460,0.138,0.000,0.356,189232.338,2156838.629,0.0,0.0,44.609,72.879,887.623,918.520,1457744989.443
0.125,0.0,99.625,0.250,0.0,0.0,0.0,53248.0,6274.0,4213.0,0.0,0.0,214.0,422.0,1457744990.444
0.125,0.0,99.875,0.0,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,198.0,365.0,1457744991.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,856.0,1650.0,0.0,0.0,200.0,399.0,1457744992.444
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,372.0,1457744993.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,550.0,1000.0,0.0,0.0,176.0,358.0,1457744994.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,372.0,1457744995.444
0.125,0.0,99.625,0.250,0.0,0.0,0.0,69632.0,0.0,0.0,0.0,0.0,214.0,401.0,1457744996.444
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,1737.0,3338.0,0.0,0.0,229.0,404.0,1457744997.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,360.0,1457744998.444
0.500,0.125,99.375,0.0,0.0,0.0,0.0,0.0,792.0,1638.0,0.0,0.0,217.0,402.0,1457744999.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,379.0,1457745000.444
0.0,0.0,99.499,0.501,0.0,0.0,0.0,65536.0,600.0,1560.0,0.0,0.0,201.0,380.0,1457745001.444
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,179.0,500.0,0.0,0.0,221.0,397.0,1457745002.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,366.0,1457745003.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1560.0,0.0,0.0,195.0,389.0,1457745004.444
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,179.0,500.0,0.0,0.0,191.0,378.0,1457745005.444
0.0,0.0,99.750,0.250,0.0,0.0,0.0,73728.0,0.0,0.0,0.0,0.0,182.0,359.0,1457745006.444
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,670.0,1700.0,0.0,0.0,194.0,374.0,1457745007.444
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,243.0,500.0,0.0,0.0,195.0,383.0,1457745008.444
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,371.0,1457745009.444
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,920.0,1638.0,0.0,0.0,183.0,364.0,1457745010.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,126976.0,0.0,0.0,0.0,0.0,239.0,369.0,1457745011.444
0.125,0.0,99.499,0.375,0.0,0.0,0.0,20480.0,934.0,1000.0,0.0,0.0,200.0,396.0,1457745012.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,359.0,1457745013.444
0.624,0.0,99.376,0.0,0.0,0.0,0.0,0.0,1112.0,1560.0,0.0,0.0,202.0,377.0,1457745014.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,435.0,500.0,0.0,0.0,177.0,355.0,1457745015.444
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,549.0,1060.0,0.0,0.0,196.0,386.0,1457745016.444
1.253,0.0,98.622,0.125,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,237.0,409.0,1457745017.444
2.503,0.125,97.372,0.0,0.0,0.0,0.0,0.0,422.0,1346.0,0.0,0.0,272.0,410.0,1457745018.444
0.375,0.626,98.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,743.0,1457745019.444
