"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown02",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/wordtest/3_16640000_600000000_0.9.csv",,,,"Date:","04 Mar 2016 15:55:07 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
23.312,2.198,73.964,0.143,0.000,0.382,208689.747,2294838.254,0.0,0.0,48.092,80.375,928.440,955.580,1457103307.037
0.0,0.251,97.995,1.754,0.0,0.0,0.0,84013056.0,0.0,0.0,0.0,0.0,468.0,338.0,1457103308.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3622.0,1934.0,0.0,0.0,163.0,323.0,1457103309.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,313.0,1457103310.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,727.0,1242.0,0.0,0.0,151.0,302.0,1457103311.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,316.0,1457103312.038
0.0,0.0,99.750,0.250,0.0,0.0,0.0,217088.0,599.0,1242.0,0.0,0.0,181.0,346.0,1457103313.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,304.0,1457103314.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,486.0,682.0,0.0,0.0,152.0,309.0,1457103315.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,312.0,1457103316.038
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,599.0,1242.0,0.0,0.0,172.0,344.0,1457103317.038
0.0,0.0,99.750,0.250,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,158.0,307.0,1457103318.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,599.0,1242.0,0.0,0.0,156.0,313.0,1457103319.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,287.0,1457103320.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,486.0,682.0,0.0,0.0,159.0,315.0,1457103321.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,317.0,1457103322.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,407.0,1588.0,0.0,0.0,165.0,314.0,1457103323.038
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,156.0,306.0,1457103324.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,471.0,1242.0,0.0,0.0,165.0,327.0,1457103325.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,297.0,1457103326.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,486.0,682.0,0.0,0.0,150.0,302.0,1457103327.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,301.0,1457103328.038
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,407.0,1242.0,0.0,0.0,162.0,325.0,1457103329.038
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,286.0,1457103330.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,599.0,1242.0,0.0,0.0,153.0,304.0,1457103331.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,298.0,1457103332.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,331776.0,550.0,682.0,0.0,0.0,258.0,329.0,1457103333.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,324.0,1457103334.038
0.0,0.0,99.750,0.250,0.0,0.0,0.0,45056.0,471.0,1242.0,0.0,0.0,159.0,321.0,1457103335.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,303.0,1457103336.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,727.0,1242.0,0.0,0.0,173.0,335.0,1457103337.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,151.0,296.0,1457103338.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,422.0,682.0,0.0,0.0,151.0,302.0,1457103339.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,306.0,1457103340.038
0.250,0.0,99.501,0.250,0.0,0.0,0.0,32768.0,293246.0,294109.0,0.0,0.0,327.0,466.0,1457103341.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,439.0,1457103342.038
0.125,0.250,99.625,0.0,0.0,0.0,0.0,4096.0,107145.0,105585.0,0.0,0.0,252.0,451.0,1457103343.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,294.0,1457103344.038
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,486.0,682.0,0.0,0.0,156.0,315.0,1457103345.038
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,306.0,1457103346.038
0.0,0.0,99.625,0.375,0.0,0.0,0.0,114688.0,727.0,1306.0,0.0,0.0,164.0,324.0,1457103347.038
