"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/1_2097152_500000000.csv",,,,"Date:","02 Feb 2016 11:26:29 CET"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
4.766,0.310,94.709,0.201,0.000,0.013,257832.375,697286.269,0.0,0.0,169.362,221.110,374.166,475.824,1454408789.564
0.250,0.0,99.375,0.375,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,192.0,358.0,1454408790.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6342.0,4816.0,0.0,0.0,147.0,290.0,1454408791.565
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,310.0,1454408792.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,647.0,1237.0,0.0,0.0,145.0,281.0,1454408793.565
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,297.0,1454408794.565
0.125,0.0,99.625,0.250,0.0,0.0,0.0,20480.0,482.0,678.0,0.0,0.0,161.0,310.0,1454408795.565
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,279.0,1454408796.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,531.0,1237.0,0.0,0.0,144.0,284.0,1454408797.565
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,182.0,321.0,1454408798.565
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,723.0,1237.0,0.0,0.0,154.0,292.0,1454408799.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,275.0,1454408800.565
0.0,0.0,99.875,0.125,0.0,0.0,0.0,28672.0,674.0,678.0,0.0,0.0,166.0,317.0,1454408801.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,300.0,1454408802.565
0.0,0.0,100.0,0.0,0.0,0.0,0.0,106496.0,723.0,1237.0,0.0,0.0,198.0,296.0,1454408803.565
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,297.0,1454408804.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,723.0,1237.0,0.0,0.0,146.0,282.0,1454408805.565
0.0,0.0,99.750,0.250,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,159.0,310.0,1454408806.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,4096.0,418.0,678.0,0.0,0.0,163.0,314.0,1454408807.565
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,288.0,1454408808.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,531.0,1237.0,0.0,0.0,147.0,281.0,1454408809.565
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,310.0,1454408810.565
0.0,0.0,99.625,0.375,0.0,0.0,0.0,49152.0,723.0,1237.0,0.0,0.0,160.0,305.0,1454408811.565
