"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_134217728_400000000_0.5_6_100_teratest_2c6c53b7-889b-4c2f-ba4d-e183de834c22.csv",,,,"Date:","06 May 2016 17:15:46 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.277,1.175,80.585,1.858,0.000,0.104,1913103.685,5700803.719,0.0,0.0,2285.382,2129.668,1543.315,1590.976,1462547746.185
0.125,0.0,96.0,3.875,0.0,0.0,0.0,58884096.0,5873.0,4863.0,0.0,0.0,411.0,384.0,1462547747.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,495.0,331.0,0.0,0.0,148.0,280.0,1462547748.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,303.0,331.0,0.0,0.0,172.0,305.0,1462547749.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,287.0,1462547750.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,253952.0,0.0,0.0,0.0,0.0,159.0,296.0,1462547751.186
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,637.0,1551.0,0.0,0.0,150.0,284.0,1462547752.186
0.0,0.0,99.875,0.125,0.0,0.0,0.0,28672.0,287.0,889.0,0.0,0.0,160.0,304.0,1462547753.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,111.0,331.0,0.0,0.0,146.0,282.0,1462547754.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,111.0,331.0,0.0,0.0,156.0,298.0,1462547755.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,309.0,1462547756.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,462.0,1220.0,0.0,0.0,145.0,282.0,1462547757.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,239.0,741.0,0.0,0.0,149.0,277.0,1462547758.186
0.125,0.0,99.501,0.374,0.0,0.0,0.0,20480.0,223.0,889.0,0.0,0.0,174.0,321.0,1462547759.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,111.0,331.0,0.0,0.0,141.0,275.0,1462547760.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,239.0,331.0,0.0,0.0,151.0,279.0,1462547761.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,479.0,889.0,0.0,0.0,158.0,292.0,1462547762.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,300.0,1462547763.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,734.0,662.0,0.0,0.0,148.0,280.0,1462547764.186
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,168.0,309.0,1462547765.186
0.125,0.125,99.750,0.0,0.0,0.0,0.0,315392.0,910.0,1220.0,0.0,0.0,234.0,286.0,1462547766.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,239.0,331.0,0.0,0.0,155.0,293.0,1462547767.186
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,415.0,889.0,0.0,0.0,182.0,323.0,1462547768.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,111.0,331.0,0.0,0.0,150.0,282.0,1462547769.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,269.0,1462547770.186
0.0,0.0,99.500,0.500,0.0,0.0,0.0,12288.0,398.0,1220.0,0.0,0.0,170.0,322.0,1462547771.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,431.0,331.0,0.0,0.0,153.0,285.0,1462547772.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,175.0,331.0,0.0,0.0,152.0,279.0,1462547773.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,415.0,889.0,0.0,0.0,162.0,300.0,1462547774.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,175.0,331.0,0.0,0.0,160.0,310.0,1462547775.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,170.0,277.0,1462547776.186
0.125,0.0,99.750,0.125,0.0,0.0,0.0,40960.0,526.0,1566.0,0.0,0.0,179.0,321.0,1462547777.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,303.0,331.0,0.0,0.0,146.0,274.0,1462547778.186
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,303.0,331.0,0.0,0.0,155.0,292.0,1462547779.186
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,292.0,1462547780.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,61440.0,846.0,1220.0,0.0,0.0,180.0,286.0,1462547781.186
0.251,0.0,99.499,0.251,0.0,0.0,0.0,28672.0,9131.0,735847.0,0.0,0.0,1187.0,797.0,1462547782.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,471.0,1462547783.186
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,198976.0,4517676.0,0.0,0.0,415.0,531.0,1462547784.186
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,455.0,611.0,0.0,0.0,154.0,286.0,1462547785.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,225280.0,433.0,1099.0,0.0,0.0,200.0,289.0,1462547786.186
0.125,0.125,99.625,0.125,0.0,0.0,0.0,159744.0,290287.0,3458.0,0.0,0.0,252.0,382.0,1462547787.186
0.0,0.0,99.750,0.250,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,155.0,287.0,1462547788.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,398.0,1220.0,0.0,0.0,159.0,299.0,1462547789.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,391.0,611.0,0.0,0.0,156.0,280.0,1462547790.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,454656.0,175.0,331.0,0.0,0.0,229.0,298.0,1462547791.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,294.0,1462547792.186
0.0,0.0,99.749,0.251,0.0,0.0,0.0,40960.0,526.0,1220.0,0.0,0.0,155.0,289.0,1462547793.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,283.0,1462547794.186
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,590.0,1220.0,0.0,0.0,171.0,316.0,1462547795.186
67.085,8.417,24.246,0.251,0.0,0.0,28672.0,1220608.0,0.0,0.0,0.0,0.0,7110.0,8740.0,1462547796.186
95.131,4.869,0.0,0.0,0.0,0.0,0.0,0.0,34415.0,13198.0,0.0,0.0,2334.0,2738.0,1462547797.186
96.871,3.129,0.0,0.0,0.0,0.0,0.0,0.0,607.0,1179.0,0.0,0.0,2355.0,2032.0,1462547798.186
