"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/1_134217728_400000000_0.5_6_100_teratest_7c92e6e5-0454-4291-af71-f26dd36f1354.csv",,,,"Date:","08 May 2016 12:14:26 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.071,1.161,80.831,1.835,0.000,0.103,1888701.285,5634004.528,0.0,0.0,2255.705,2102.347,1525.802,1574.634,1462702466.703
0.125,0.0,99.625,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,315.0,1462702467.704
0.0,0.125,99.751,0.125,0.0,0.0,0.0,159744.0,0.0,0.0,0.0,0.0,173.0,291.0,1462702468.704
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7099.0,5315.0,0.0,0.0,151.0,283.0,1462702469.704
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,321.0,1462702470.704
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,973.0,1793.0,0.0,0.0,153.0,283.0,1462702471.704
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,277.0,1462702472.704
0.0,0.125,99.499,0.375,0.0,0.0,0.0,323584.0,510.0,794.0,0.0,0.0,169.0,313.0,1462702473.704
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,289.0,1462702474.704
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,637.0,1417.0,0.0,0.0,151.0,282.0,1462702475.704
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,291.0,1462702476.704
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,623.0,1353.0,0.0,0.0,149.0,282.0,1462702477.704
0.0,0.125,99.500,0.375,0.0,0.0,0.0,36864.0,0.0,0.0,0.0,0.0,169.0,310.0,1462702478.704
