"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_2500000000_0.35_6_150_teratest_4c0eb8fd-8745-4807-9827-32ba9e9c4a1e.csv",,,,"Date:","01 May 2016 16:36:43 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.689,1.188,80.318,1.702,0.000,0.104,1815478.858,5559125.521,0.0,0.0,1945.171,1834.941,1544.104,1594.222,1462113403.332
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,328.0,1462113404.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6621.0,4259.0,0.0,0.0,142.0,283.0,1462113405.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,900.0,0.0,0.0,136.0,273.0,1462113406.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,289.0,1462113407.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,996.0,680.0,0.0,0.0,145.0,282.0,1462113408.333
0.0,0.0,99.750,0.250,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,141.0,283.0,1462113409.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,132.0,272.0,1462113410.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,299.0,1462113411.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,534.0,1586.0,0.0,0.0,135.0,273.0,1462113412.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,282.0,1462113413.333
0.0,0.0,99.750,0.250,0.0,0.0,0.0,24576.0,484.0,680.0,0.0,0.0,151.0,298.0,1462113414.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,293.0,1462113415.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,138.0,283.0,1462113416.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,288.0,1462113417.333
0.0,0.0,100.0,0.0,0.0,0.0,0.0,69632.0,406.0,1240.0,0.0,0.0,163.0,267.0,1462113418.333
