"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_3000000000_0.35_6_150_teratest_ed9b7211-9884-4303-a117-f9ba39ac7fe4.csv",,,,"Date:","01 May 2016 16:17:44 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.690,1.188,80.316,1.702,0.000,0.104,1815662.583,5559687.514,0.0,0.0,1945.367,1835.127,1544.246,1594.355,1462112264.720
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,6415.0,4819.0,0.0,0.0,179.0,339.0,1462112265.721
0.0,0.0,99.625,0.375,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,153.0,296.0,1462112266.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,292.0,808.0,0.0,0.0,140.0,275.0,1462112267.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,277.0,1462112268.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1304.0,0.0,0.0,136.0,274.0,1462112269.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,139.0,282.0,1462112270.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,170.0,280.0,1462112271.721
0.0,0.125,99.625,0.250,0.0,0.0,0.0,16384.0,662.0,1240.0,0.0,0.0,142.0,278.0,1462112272.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,277.0,1462112273.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,151.0,297.0,1462112274.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,242.0,340.0,0.0,0.0,139.0,272.0,1462112275.721
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,157.0,273.0,1462112276.721
0.0,0.125,99.625,0.250,0.0,0.0,0.0,32768.0,1110.0,1650.0,0.0,0.0,153.0,288.0,1462112277.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,276.0,1462112278.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,676.0,680.0,0.0,0.0,139.0,274.0,1462112279.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,292.0,994.0,0.0,0.0,143.0,276.0,1462112280.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,142.0,274.0,1462112281.721
0.0,0.125,99.625,0.250,0.0,0.0,0.0,45056.0,420.0,680.0,0.0,0.0,161.0,317.0,1462112282.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,287.0,1462112283.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,534.0,1586.0,0.0,0.0,132.0,266.0,1462112284.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,275.0,1462112285.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,151.0,301.0,1462112286.721
0.0,0.0,99.750,0.250,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,144.0,277.0,1462112287.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,356.0,680.0,0.0,0.0,131.0,266.0,1462112288.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,286.0,1462112289.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,662.0,1240.0,0.0,0.0,143.0,279.0,1462112290.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,276.0,1462112291.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,854.0,1240.0,0.0,0.0,156.0,303.0,1462112292.721
0.0,0.125,99.625,0.250,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,147.0,289.0,1462112293.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,612.0,680.0,0.0,0.0,139.0,281.0,1462112294.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,283.0,1462112295.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,342.0,1240.0,0.0,0.0,145.0,282.0,1462112296.721
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,114.0,686.0,0.0,0.0,146.0,293.0,1462112297.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,0.0,158.0,313.0,1462112298.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,144.0,284.0,1462112299.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,141.0,289.0,1462112300.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,295.0,1462112301.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,147.0,289.0,1462112302.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,274.0,1462112303.721
0.0,0.125,99.500,0.375,0.0,0.0,0.0,16384.0,1188.0,1240.0,0.0,0.0,158.0,307.0,1462112304.721
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,269.0,1462112305.721
0.0,0.125,99.875,0.0,0.0,0.0,0.0,98304.0,984.0,680.0,0.0,0.0,189.0,286.0,1462112306.721
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,282.0,1462112307.721
