"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_800000000_0.35_24_100_teratest_e5fce261-e8ac-4448-b5b6-ec8a5aec45ee.csv",,,,"Date:","03 May 2016 21:47:33 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.533,1.186,80.385,1.792,0.000,0.105,1874934.310,5654868.613,0.0,0.0,2092.106,2015.762,1549.479,1597.922,1462304853.602
0.0,0.0,99.750,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,297.0,1462304854.603
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,880.0,1240.0,0.0,0.0,132.0,264.0,1462304855.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,278.0,1462304856.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,680.0,0.0,0.0,120.0,251.0,1462304857.603
0.0,0.0,99.750,0.250,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,0.0,150.0,299.0,1462304858.603
0.125,0.0,99.875,0.0,0.0,0.0,0.0,143360.0,522.0,1330.0,0.0,0.0,176.0,267.0,1462304859.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,259.0,1462304860.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,132.0,270.0,1462304861.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,130.0,272.0,1462304862.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,257.0,1462304863.603
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,560.0,1650.0,0.0,0.0,146.0,290.0,1462304864.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,259.0,1462304865.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,680.0,0.0,0.0,133.0,272.0,1462304866.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,262.0,1462304867.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,123.0,261.0,1462304868.603
0.0,0.0,99.500,0.500,0.0,0.0,0.0,36864.0,0.0,0.0,0.0,0.0,142.0,273.0,1462304869.603
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,141.0,281.0,1462304870.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,258.0,1462304871.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,680.0,0.0,0.0,118.0,254.0,1462304872.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,260.0,1462304873.603
0.0,0.0,99.749,0.251,0.0,0.0,0.0,20480.0,406.0,1240.0,0.0,0.0,140.0,290.0,1462304874.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,255.0,1462304875.603
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,144.0,280.0,1462304876.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,261.0,1462304877.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,680.0,0.0,0.0,125.0,263.0,1462304878.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,272.0,1462304879.603
0.0,0.0,99.625,0.375,0.0,0.0,0.0,24576.0,406.0,1586.0,0.0,0.0,132.0,275.0,1462304880.603
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,255.0,1462304881.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,145.0,297.0,1462304882.603
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,256.0,1462304883.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,20480.0,228.0,680.0,0.0,0.0,129.0,254.0,1462304884.603
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,266.0,1462304885.603
